response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,20X,Peri,200,2,3,positive_QTL,0.0181837112899329,0.00591079169084514,Inf,3.07635799754143,0.00209546087591665
QTL fixation,CV - GW,2X,Peri,200,2,3,positive_QTL,0.0237700705338355,0.00591079169084513,Inf,4.02146984314327,5.78361134062212e-05
QTL fixation,CV - GW,20X,WT,200,2,3,positive_QTL,0.0187052426237347,0.00591079169084515,Inf,3.16459175049361,0.00155300688781521
QTL fixation,CV - GW,2X,WT,200,2,3,positive_QTL,0.0175451208828919,0.00591079169084515,Inf,2.96831994774346,0.00299432472051089
QTL fixation,CV - GW,20X,Chr,2,8,3,positive_QTL,0.188809523809118,0.00591079169084521,Inf,31.9431869171691,6.71764535598534e-224
QTL fixation,CV - GW,2X,Chr,2,8,3,positive_QTL,0.143333333333076,0.00591079169084517,Inf,24.249430673572,6.70424019594705e-130
QTL fixation,CV - GW,20X,Peri,2,8,3,positive_QTL,0.175714285714347,0.00591079169084515,Inf,29.7277073706555,3.3676529103566e-194
QTL fixation,CV - GW,2X,Peri,2,8,3,positive_QTL,0.147142857142876,0.00591079169084515,Inf,24.8939338144459,8.65523769728727e-137
QTL fixation,CV - GW,20X,WT,2,8,3,positive_QTL,0.144523809523831,0.00591079169084516,Inf,24.4508379051277,4.93017046553265e-132
QTL fixation,CV - GW,2X,WT,2,8,3,positive_QTL,0.129761904761926,0.00591079169084519,Inf,21.9533882344229,8.03816142690114e-107
QTL fixation,CV - GW,20X,Chr,2,2,4,positive_QTL,0.252380952380777,0.00591079169084527,Inf,42.6983330797579,0
QTL fixation,CV - GW,2X,Chr,2,2,4,positive_QTL,0.226190476190517,0.00591079169084518,Inf,38.2673739866095,0
QTL fixation,CV - GW,20X,Peri,2,2,4,positive_QTL,0.242857142857202,0.00591079169084518,Inf,41.0870752277309,0
QTL fixation,CV - GW,2X,Peri,2,2,4,positive_QTL,0.224999999999995,0.00591079169084517,Inf,38.0659667550935,0
QTL fixation,CV - GW,20X,WT,2,2,4,positive_QTL,0.235238095238128,0.00591079169084518,Inf,39.7980689460723,0
QTL fixation,CV - GW,2X,WT,2,2,4,positive_QTL,0.214523809523807,0.00591079169084517,Inf,36.2935831178197,2.04261117238683e-288
QTL fixation,CV - GW,2X,Chr,200,2,4,positive_QTL,0.0209639166598916,0.00591079169084516,Inf,3.54671890947558,0.000390060528685741
QTL fixation,CV - GW,20X,Peri,200,2,4,positive_QTL,0.0198438086464899,0.00591079169084517,Inf,3.35721671214106,0.00078731377034995
QTL fixation,CV - GW,2X,Peri,200,2,4,positive_QTL,0.0217712301426034,0.00591079169084522,Inf,3.68330187922596,0.000230232236272357
QTL fixation,CV - GW,20X,WT,200,2,4,positive_QTL,0.0209131106234313,0.00591079169084517,Inf,3.53812343883176,0.000402981620305919
QTL fixation,CV - GW,2X,WT,200,2,4,positive_QTL,0.0186872578503881,0.00591079169084507,Inf,3.16154904923005,0.00156932386184003
QTL fixation,CV - GW,20X,Chr,2,8,4,positive_QTL,0.236428571428357,0.00591079169084522,Inf,39.9994761775386,0
QTL fixation,CV - GW,2X,Chr,2,8,4,positive_QTL,0.213095238095275,0.00591079169084522,Inf,36.051894440016,1.28801384526615e-284
QTL fixation,CV - GW,20X,Peri,2,8,4,positive_QTL,0.225000000000014,0.0059107916908452,Inf,38.0659667550965,0
QTL fixation,CV - GW,2X,Peri,2,8,4,positive_QTL,0.199285714285716,0.00591079169084518,Inf,33.7155705545123,3.41852901957081e-249
QTL fixation,CV - GW,20X,WT,2,8,4,positive_QTL,0.225714285714309,0.00591079169084512,Inf,38.1868110940036,0
QTL fixation,CV - GW,2X,WT,2,8,4,positive_QTL,0.218571428571431,0.00591079169084513,Inf,36.9783677049494,2.55039774002687e-299
