response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,20X,Chr,2,3,CV,negative_QTL,0.0602380952357397,0.00666463808439988,Inf,9.03846457570455,1.58887797557386e-19
QTL fixation,2 - 8,2X,Chr,2,3,CV,negative_QTL,0.067857142857328,0.00666463808439298,Inf,10.1816695817637,2.39417827795744e-24
QTL fixation,2 - 8,20X,Peri,2,3,CV,negative_QTL,0.0692857142862973,0.00666463808439212,Inf,10.3960205203876,2.58504719527245e-25
QTL fixation,2 - 8,2X,Peri,2,3,CV,negative_QTL,0.0740476190475965,0.00666463808439255,Inf,11.110523648839,1.11503705812423e-28
QTL fixation,2 - 8,20X,WT,2,3,CV,negative_QTL,0.0661904761911907,0.00666463808439202,Inf,9.93159348685458,3.03368176638518e-23
QTL fixation,2 - 8,2X,WT,2,3,CV,negative_QTL,0.0685714285714134,0.00666463808439258,Inf,10.2888450510157,7.91196645919359e-25
QTL fixation,2 - 8,20X,Chr,200,3,CV,negative_QTL,0.069517190929248,0.00666463808439301,Inf,10.4307525853565,1.79461205422748e-25
QTL fixation,2 - 8,2X,Chr,200,3,CV,negative_QTL,0.0578419897585463,0.00666463808439275,Inf,8.67893935516179,3.99476623812664e-18
QTL fixation,2 - 8,20X,Peri,200,3,CV,negative_QTL,0.0616678858814639,0.00666463808439257,Inf,9.25299845251605,2.18281593878365e-20
QTL fixation,2 - 8,2X,Peri,200,3,CV,negative_QTL,0.0662082418922302,0.00666463808439264,Inf,9.93425915313807,2.95363299419986e-23
QTL fixation,2 - 8,20X,WT,200,3,CV,negative_QTL,0.0683760058522134,0.00666463808439264,Inf,10.2595227207217,1.0723543745967e-24
QTL fixation,2 - 8,2X,WT,200,3,CV,negative_QTL,0.062716410631549,0.00666463808439266,Inf,9.41032503751691,4.94604999142903e-21
QTL fixation,2 - 8,20X,Chr,2,4,CV,negative_QTL,0.0723809523814956,0.00666463808439284,Inf,10.8604475539334,1.77875287640988e-27
QTL fixation,2 - 8,2X,Chr,2,4,CV,negative_QTL,0.0738095238098828,0.00666463808439267,Inf,11.0747984924689,1.66253736216444e-28
QTL fixation,2 - 8,20X,Peri,2,4,CV,negative_QTL,0.0754761904761006,0.00666463808439262,Inf,11.3248745873917,9.88202028663943e-30
QTL fixation,2 - 8,2X,Peri,2,4,CV,negative_QTL,0.0747619047618971,0.00666463808439267,Inf,11.2176991181225,3.33843454383558e-29
QTL fixation,2 - 8,20X,WT,2,4,CV,negative_QTL,0.0669047619046472,0.00666463808439262,Inf,10.0387689560107,1.02950921830802e-23
QTL fixation,2 - 8,2X,WT,2,4,CV,negative_QTL,0.0847619047619022,0.00666463808439269,Inf,12.7181556880633,4.68794780251283e-37
QTL fixation,2 - 8,20X,Chr,200,4,CV,negative_QTL,0.0795903438185252,0.00666463808439268,Inf,11.9421854286298,7.1324172504492e-33
QTL fixation,2 - 8,2X,Chr,200,4,CV,negative_QTL,0.0583711289929348,0.0066646380843927,Inf,8.75833439922698,1.98156570520815e-18
QTL fixation,2 - 8,20X,Peri,200,4,CV,negative_QTL,0.0606388685686508,0.00666463808439268,Inf,9.09859887375664,9.15046347682287e-20
QTL fixation,2 - 8,2X,Peri,200,4,CV,negative_QTL,0.0487759083150452,0.00666463808439266,Inf,7.31861320861057,2.50546606195708e-13
QTL fixation,2 - 8,20X,WT,200,4,CV,negative_QTL,0.0653986832479885,0.00666463808439269,Inf,9.81278839448758,9.9189078979303e-23
QTL fixation,2 - 8,2X,WT,200,4,CV,negative_QTL,0.0561033894172188,0.00666463808439265,Inf,8.41806992469742,3.82737332425438e-17
QTL fixation,2 - 8,20X,Chr,2,3,GW,negative_QTL,0.0397619047621608,0.00666463808439283,Inf,5.96610112337154,2.42989724500207e-09
QTL fixation,2 - 8,2X,Chr,2,3,GW,negative_QTL,0.0457142857145938,0.00666463808439268,Inf,6.85923003405812,6.92326797155041e-12
QTL fixation,2 - 8,20X,Peri,2,3,GW,negative_QTL,0.0504761904761912,0.00666463808439265,Inf,7.57373316255493,3.62648924249482e-14
