response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,Chr - WT,20X,200,2,1,CV,DV,-0.288805417261495,0.119201821214883,Inf,-2.42282722124581,0.0407937159055103
Genetic gain,Chr - WT,20X,200,2,2,CV,DV,-0.432946273158101,0.119201821214887,Inf,-3.63204411430614,0.000821296414638906
Genetic gain,Peri - WT,20X,200,2,2,CV,DV,-0.341707626741111,0.119201821214887,Inf,-2.86663092273658,0.0115595220432085
Genetic gain,Chr - WT,20X,200,2,3,CV,DV,-0.28999126657017,0.119201821214887,Inf,-2.43277546949051,0.0397449964840858
Genetic gain,Peri - WT,20X,200,2,3,CV,DV,-0.297590389133618,0.119201821214887,Inf,-2.49652552369269,0.0335540486326453
Genetic gain,Chr - WT,20X,200,8,4,CV,DV,0.758766805096336,0.119201821214887,Inf,6.36539607669667,5.8428017979395e-10
Genetic gain,Peri - WT,20X,200,8,4,CV,DV,0.849815557935885,0.119201821214887,Inf,7.12921622568091,3.05044878246008e-12
Genetic gain,Chr - Peri,20X,2,2,5,CV,DV,0.387762591469396,0.119201821214886,Inf,3.25299217341969,0.00327482360249154
Genetic gain,Peri - WT,2X,2,2,5,CV,DV,-0.282078182415602,0.119201821214887,Inf,-2.36639154956446,0.04719707534408
Genetic gain,Chr - WT,20X,200,2,5,CV,DV,-0.352934728798589,0.119201821214886,Inf,-2.96081658150467,0.00861906440128624
Genetic gain,Peri - WT,20X,200,2,5,CV,DV,-0.279722885275375,0.119201821214887,Inf,-2.34663264725725,0.0496301460899151
Genetic gain,Chr - Peri,20X,2,8,5,CV,DV,0.392758289515368,0.119201821214887,Inf,3.29490175160442,0.00283036053041907
Genetic gain,Chr - WT,20X,2,8,5,CV,DV,0.451498005059368,0.119201821214887,Inf,3.78767707118707,0.000446559164048899
Genetic gain,Chr - WT,2X,2,8,5,CV,DV,0.340266689625421,0.119201821214887,Inf,2.85454270880658,0.0119954749034271
Genetic gain,Chr - WT,20X,200,2,1,GW,DV,-0.359291531509631,0.119201821214888,Inf,-3.01414464852788,0.00727020607510864
Genetic gain,Peri - WT,20X,200,2,1,GW,DV,-0.309866658638133,0.119201821214886,Inf,-2.59951278831162,0.0252985551815073
Genetic gain,Chr - WT,20X,200,8,1,GW,DV,-0.322372881562366,0.119201821214887,Inf,-2.70442916288351,0.018761856251956
Genetic gain,Peri - WT,20X,200,8,1,GW,DV,-0.367668139747719,0.119201821214886,Inf,-3.0844171339037,0.00578413547030288
Genetic gain,Chr - WT,20X,200,2,2,GW,DV,-0.356299625264286,0.119201821214887,Inf,-2.98904514740576,0.00787935954151242
Genetic gain,Peri - WT,20X,200,2,2,GW,DV,-0.368256207168893,0.119201821214887,Inf,-3.08935051004828,0.00569095586059953
Genetic gain,Peri - WT,20X,2,8,2,GW,DV,-0.348718967697354,0.119201821214888,Inf,-2.92544999852571,0.00963357925863129
Genetic gain,Chr - WT,20X,200,8,2,GW,DV,-0.502175938829733,0.119201821214886,Inf,-4.21282102665575,7.48246364471461e-05
Genetic gain,Peri - WT,20X,200,8,2,GW,DV,-0.365508492541505,0.119201821214886,Inf,-3.06629956502595,0.00613831946201027
Genetic gain,Chr - WT,20X,2,2,3,GW,DV,-0.392364769020043,0.119201821214886,Inf,-3.29160045560651,0.00286325105839302
Genetic gain,Peri - WT,20X,2,2,3,GW,DV,-0.384263168305,0.119201821214886,Inf,-3.22363504507439,0.00362330443866865
Genetic gain,Chr - WT,20X,200,2,3,GW,DV,-0.348464219489501,0.119201821214887,Inf,-2.92331288178324,0.00969818167952796
Genetic gain,Peri - WT,20X,200,2,3,GW,DV,-0.480185245688381,0.119201821214886,Inf,-4.0283381645885,0.00016603575866958
Genetic gain,Chr - Peri,20X,2,8,3,GW,DV,0.345630392756528,0.119201821214886,Inf,2.89953953080513,0.0104434365718442
Genetic gain,Peri - WT,20X,2,8,3,GW,DV,-0.363796029298445,0.119201821214886,Inf,-3.05193348214561,0.00643300028127181
Genetic gain,Chr - WT,20X,200,8,3,GW,DV,-0.541502046202916,0.119201821214886,Inf,-4.5427329942111,1.65517086092581e-05
Genetic gain,Peri - WT,20X,200,8,3,GW,DV,-0.376691582277787,0.119201821214885,Inf,-3.16011599855279,0.00449612066301741
Genetic gain,Chr - WT,20X,200,2,4,GW,DV,-0.538828240949786,0.119201821214887,Inf,-4.52030208480149,1.84016747413196e-05
Genetic gain,Peri - WT,20X,200,2,4,GW,DV,-0.600626730165189,0.119201821214887,Inf,-5.038737865275,1.40206841126034e-06
Genetic gain,Chr - Peri,20X,200,8,4,GW,DV,-0.309950773484881,0.119201821214887,Inf,-2.60021843899624,0.0252486974214098
Genetic gain,Chr - WT,20X,200,8,4,GW,DV,-0.324709693995744,0.119201821214887,Inf,-2.72403299451596,0.0177204586053815
Genetic gain,Peri - WT,20X,2,2,5,GW,DV,-0.283983450145984,0.119201821214888,Inf,-2.38237509504189,0.0453029981997275
Genetic gain,Chr - WT,20X,200,2,5,GW,DV,-0.547944134414383,0.119201821214887,Inf,-4.59677653268901,1.27967754326441e-05
Genetic gain,Peri - WT,20X,200,2,5,GW,DV,-0.48858047412117,0.119201821214887,Inf,-4.0987668572647,0.000122960950349249
Genetic gain,Chr - Peri,2X,200,2,5,GW,DV,0.298607963197393,0.119201821214886,Inf,2.50506208843143,0.0327913436604004
