response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,CV - GW,20X,Chr,2,8,4,med_neg,-0.101849999999997,0.00912757190996592,Inf,-11.1584987776205,6.50812431065625e-29
QTL DV AF,CV - GW,2X,Chr,2,8,4,med_neg,-0.111465,0.00912757190996601,Inf,-12.2119005031662,2.68542031175391e-34
QTL DV AF,CV - GW,20X,Peri,2,8,4,med_neg,-0.109158750000001,0.00912757190996594,Inf,-11.9592319925539,5.80967473479645e-33
QTL DV AF,CV - GW,2X,Peri,2,8,4,med_neg,-0.102535,0.00912757190996602,Inf,-11.2335461184421,2.7904962172746e-29
QTL DV AF,CV - GW,20X,WT,2,8,4,med_neg,-0.143035000000002,0.00912757190996589,Inf,-15.6706516706628,2.40104895118562e-55
QTL DV AF,CV - GW,2X,WT,2,8,4,med_neg,-0.124159999999999,0.00912757190996595,Inf,-13.6027413670042,3.85700744311558e-42
QTL DV AF,CV - GW,20X,Chr,2,2,3,small_neg,-0.0494204545454328,0.00912757190996752,Inf,-5.41441415448773,6.14896947300478e-08
QTL DV AF,CV - GW,2X,Chr,2,2,3,small_neg,-0.0221045454545544,0.00912757190996598,Inf,-2.42173336705455,0.0154466795062032
QTL DV AF,CV - GW,20X,Peri,2,2,3,small_neg,-0.0311000000000041,0.00912757190996601,Inf,-3.40725883145849,0.000656188687946952
QTL DV AF,CV - GW,2X,Peri,2,2,3,small_neg,-0.0482227272727278,0.00912757190996594,Inf,-5.28319335617349,1.26951276410074e-07
QTL DV AF,CV - GW,20X,WT,2,2,3,small_neg,-0.0516727272727268,0.00912757190996602,Inf,-5.66116901432543,1.50345258837828e-08
QTL DV AF,CV - GW,2X,WT,2,2,3,small_neg,-0.0446227272727252,0.00912757190996597,Inf,-4.88878397375361,1.01460759284509e-06
QTL DV AF,CV - GW,20X,Chr,2,8,3,small_neg,-0.1434204545455,0.00912757190996602,Inf,-15.7128813621183,1.23439068074381e-55
QTL DV AF,CV - GW,2X,Chr,2,8,3,small_neg,-0.100245454545444,0.00912757190996596,Inf,-10.9827077271219,4.62839156426766e-28
QTL DV AF,CV - GW,20X,Peri,2,8,3,small_neg,-0.156070454545449,0.00912757190996598,Inf,-17.0987921086705,1.51511979166582e-65
QTL DV AF,CV - GW,2X,Peri,2,8,3,small_neg,-0.13625,0.00912757190996597,Inf,-14.9272995429634,2.18955249703739e-50
QTL DV AF,CV - GW,20X,WT,2,8,3,small_neg,-0.123072727272724,0.00912757190996596,Inf,-13.4836217656469,1.95280559639253e-41
QTL DV AF,CV - GW,2X,WT,2,8,3,small_neg,-0.124663636363637,0.00912757190996601,Inf,-13.6579188412114,1.8108543074292e-42
QTL DV AF,CV - GW,20X,Chr,2,2,4,small_neg,-0.128970454545469,0.00912757190996597,Inf,-14.1297659243475,2.48970474527135e-45
QTL DV AF,CV - GW,2X,Chr,2,2,4,small_neg,-0.151831818181816,0.00912757190996597,Inf,-16.6344149002034,3.92571795121646e-62
QTL DV AF,CV - GW,20X,Peri,2,2,4,small_neg,-0.135059090909089,0.00912757190996594,Inf,-14.7968257321123,1.53560329302912e-49
QTL DV AF,CV - GW,2X,Peri,2,2,4,small_neg,-0.170820454545454,0.0091275719099659,Inf,-18.7147749949737,3.75202600630679e-78
QTL DV AF,CV - GW,20X,WT,2,2,4,small_neg,-0.206474999999997,0.00912757190996594,Inf,-22.6210214541895,2.69175646268761e-113
QTL DV AF,CV - GW,2X,WT,2,2,4,small_neg,-0.147418181818182,0.00912757190996592,Inf,-16.1508650134242,1.11980273609409e-58
QTL DV AF,CV - GW,20X,Chr,2,8,4,small_neg,-0.229724999999994,0.00912757190996596,Inf,-25.1682487156489,8.92266112601456e-140
QTL DV AF,CV - GW,2X,Chr,2,8,4,small_neg,-0.234252272727273,0.00912757190996604,Inf,-25.6642483935407,2.93178921388956e-145
QTL DV AF,CV - GW,20X,Peri,2,8,4,small_neg,-0.231636363636363,0.00912757190996595,Inf,-25.3776542021489,4.45135999987733e-142
QTL DV AF,CV - GW,2X,Peri,2,8,4,small_neg,-0.229838636363637,0.00912757190996598,Inf,-25.1806985067613,6.51876085525801e-140
QTL DV AF,CV - GW,20X,WT,2,8,4,small_neg,-0.27575,0.009127571909966,Inf,-30.2106631117221,1.71576113353518e-200
QTL DV AF,CV - GW,2X,WT,2,8,4,small_neg,-0.283256818181818,0.00912757190996622,Inf,-31.0330963125621,1.92907373212211e-211
