response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,3 - 4,CV,2X,WT,200,8,med_neg,-0.0528850902879452,0.00912757190996595,Inf,-5.79399327768675,6.87322106528565e-09
QTL DV AF,3 - 4,GW,2X,WT,200,8,med_neg,-0.0486089550395257,0.00912757190996587,Inf,-5.32550776033354,1.00671417888223e-07
QTL DV AF,3 - 4,CV,20X,Chr,2,2,small_neg,-0.0247818181817969,0.00912757190996747,Inf,-2.71505044564314,0.00662656757739846
QTL DV AF,3 - 4,GW,20X,Chr,2,2,small_neg,-0.104331818181833,0.00912757190996602,Inf,-11.4304022155024,2.9474039726336e-30
QTL DV AF,3 - 4,GW,2X,Chr,2,2,small_neg,-0.140365909090906,0.00912757190996591,Inf,-15.37823097703,2.29122574618231e-53
QTL DV AF,3 - 4,GW,20X,Peri,2,2,small_neg,-0.100802272727272,0.00912757190996599,Inf,-11.0437117035704,2.35115908730827e-28
QTL DV AF,3 - 4,CV,2X,Peri,2,2,small_neg,-0.0227431818181821,0.00912757190996597,Inf,-2.49170119310152,0.0127132941454615
QTL DV AF,3 - 4,GW,2X,Peri,2,2,small_neg,-0.145340909090908,0.00912757190996592,Inf,-15.9232828319017,4.36842564190132e-57
QTL DV AF,3 - 4,GW,20X,WT,2,2,small_neg,-0.166604545454544,0.00912757190996594,Inf,-18.2528877447283,1.96255544846876e-74
QTL DV AF,3 - 4,CV,2X,WT,2,2,small_neg,-0.0512886363636343,0.00912757190996598,Inf,-5.61908872036763,1.91967267213379e-08
QTL DV AF,3 - 4,GW,2X,WT,2,2,small_neg,-0.154084090909091,0.0091275719099659,Inf,-16.8811697600383,6.19059219042668e-64
QTL DV AF,3 - 4,CV,20X,Chr,200,2,small_neg,-0.0432930068226224,0.00912757190996602,Inf,-4.74310224555476,2.10469972048053e-06
QTL DV AF,3 - 4,GW,20X,Chr,200,2,small_neg,-0.0401558489634706,0.00912757190996595,Inf,-4.39940099728235,1.08550084420553e-05
QTL DV AF,3 - 4,CV,2X,Chr,200,2,small_neg,-0.0459157407407363,0.009127571909966,Inf,-5.03044415246982,4.89344912955127e-07
QTL DV AF,3 - 4,GW,2X,Chr,200,2,small_neg,-0.0492313672260615,0.00912757190996595,Inf,-5.39369809536183,6.90221523902672e-08
QTL DV AF,3 - 4,CV,20X,Peri,200,2,small_neg,-0.0467013645224157,0.00912757190996597,Inf,-5.11651564984382,3.11231472918797e-07
QTL DV AF,3 - 4,GW,20X,Peri,200,2,small_neg,-0.0459583415597231,0.00912757190996595,Inf,-5.0351114198885,4.77570969244562e-07
QTL DV AF,3 - 4,CV,2X,Peri,200,2,small_neg,-0.0465680311890832,0.009127571909966,Inf,-5.10190789493947,3.3624639358708e-07
QTL DV AF,3 - 4,GW,2X,Peri,200,2,small_neg,-0.0496331934846996,0.00912757190996592,Inf,-5.43772144161446,5.39662578068402e-08
QTL DV AF,3 - 4,CV,20X,WT,200,2,small_neg,-0.0467783625730984,0.00912757190996596,Inf,-5.1249514147375,2.97614480878579e-07
QTL DV AF,3 - 4,GW,20X,WT,200,2,small_neg,-0.0463241362290227,0.00912757190996588,Inf,-5.07518721144711,3.87114669548282e-07
QTL DV AF,3 - 4,CV,2X,WT,200,2,small_neg,-0.0496361354775834,0.00912757190996601,Inf,-5.43804376094674,5.38687455086231e-08
QTL DV AF,3 - 4,GW,2X,WT,200,2,small_neg,-0.0484414610069103,0.00912757190996578,Inf,-5.3071574220106,1.11348008947873e-07
QTL DV AF,3 - 4,GW,20X,Chr,2,8,small_neg,-0.0721477272727212,0.00912757190996599,Inf,-7.9043723768362,2.69286910079689e-15
QTL DV AF,3 - 4,GW,2X,Chr,2,8,small_neg,-0.139011363636364,0.00912757190996599,Inf,-15.2298294669784,2.24175470518828e-52
QTL DV AF,3 - 4,GW,20X,Peri,2,8,small_neg,-0.092570454545454,0.00912757190996602,Inf,-10.1418488354368,3.60216529207384e-24
QTL DV AF,3 - 4,CV,2X,Peri,2,8,small_neg,-0.0203000000000003,0.00912757190996598,Inf,-2.22403068419934,0.0261463798544818
QTL DV AF,3 - 4,GW,2X,Peri,2,8,small_neg,-0.113888636363637,0.00912757190996594,Inf,-12.4774296479974,9.91354637369529e-36
QTL DV AF,3 - 4,CV,20X,WT,2,8,small_neg,-0.0224977272727245,0.00912757190996597,Inf,-2.46480964429985,0.0137086058410939
QTL DV AF,3 - 4,GW,20X,WT,2,8,small_neg,-0.175175000000001,0.00912757190996598,Inf,-19.1918509903751,4.32941098249963e-82
QTL DV AF,3 - 4,GW,2X,WT,2,8,small_neg,-0.160347727272727,0.00912757190996616,Inf,-17.5674022461163,4.37763982721604e-69
QTL DV AF,3 - 4,CV,20X,Chr,200,8,small_neg,-0.0759694200779656,0.00912757190996598,Inf,-8.32307001547893,8.57137809517935e-17
QTL DV AF,3 - 4,GW,20X,Chr,200,8,small_neg,-0.0680932872655477,0.00912757190996597,Inf,-7.46017538258995,8.64073865410187e-14
QTL DV AF,3 - 4,CV,2X,Chr,200,8,small_neg,-0.0758140838206644,0.00912757190996602,Inf,-8.30605166067069,9.89391724575132e-17
QTL DV AF,3 - 4,GW,2X,Chr,200,8,small_neg,-0.0741659921026655,0.00912757190996601,Inf,-8.1254897615966,4.45559602162187e-16
QTL DV AF,3 - 4,CV,20X,Peri,200,8,small_neg,-0.0786878654970752,0.00912757190996603,Inf,-8.62089789850453,6.64311240933125e-18
QTL DV AF,3 - 4,GW,20X,Peri,200,8,small_neg,-0.0765435093780858,0.00912757190996611,Inf,-8.38596618389939,5.03107976920902e-17
QTL DV AF,3 - 4,CV,2X,Peri,200,8,small_neg,-0.073714839181287,0.00912757190996603,Inf,-8.07606227684723,6.68917281850653e-16
QTL DV AF,3 - 4,GW,2X,Peri,200,8,small_neg,-0.0736564659427442,0.00912757190996613,Inf,-8.06966701213506,7.0490149936855e-16
QTL DV AF,3 - 4,CV,20X,WT,200,8,small_neg,-0.074060843079923,0.00912757190996594,Inf,-8.11396982795169,4.89923098296154e-16
QTL DV AF,3 - 4,GW,20X,WT,200,8,small_neg,-0.0695317620927938,0.00912757190996596,Inf,-7.61777204043448,2.58091568660829e-14
QTL DV AF,3 - 4,CV,2X,WT,200,8,small_neg,-0.0682828947368418,0.00912757190996599,Inf,-7.48094842860528,7.37881329990414e-14
QTL DV AF,3 - 4,GW,2X,WT,200,8,small_neg,-0.0721853158933861,0.00912757190996582,Inf,-7.90849051702036,2.60528486324979e-15
