response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Genetic gain,DV - R,CV,20X,Peri,200,2,1,-0.37426679245224,0.134862247914551,Inf,-2.77517836340217,0.00551714408612597
Genetic gain,DV - R,GW,20X,Peri,200,2,1,-0.432763887673172,0.13486224791455,Inf,-3.20893277670542,0.00133228637475055
Genetic gain,DV - R,CV,2X,Peri,200,2,1,-0.351945913686155,0.134862247914551,Inf,-2.60966963793418,0.00906296986267849
Genetic gain,DV - R,GW,2X,Peri,200,2,1,-0.378660740497178,0.134862247914551,Inf,-2.807759371897,0.00498874879939895
Genetic gain,DV - R,CV,20X,WT,200,2,1,-0.290832737005714,0.134862247914555,Inf,-2.15651704982686,0.0310433138998116
Genetic gain,DV - R,GW,20X,WT,200,2,1,-0.300899088232113,0.134862247914552,Inf,-2.23115877782759,0.0256706134451643
Genetic gain,DV - R,CV,2X,WT,200,2,1,-0.290705010190479,0.134862247914551,Inf,-2.15556995887144,0.031117260419264
Genetic gain,DV - R,GW,2X,WT,200,2,1,-0.278259522922704,0.134862247914551,Inf,-2.06328700007293,0.0390853684474983
Genetic gain,DV - R,CV,20X,Chr,200,8,1,-0.395659071493668,0.134862247914549,Inf,-2.93380154648145,0.00334838223568619
Genetic gain,DV - R,GW,20X,Chr,200,8,1,-0.59508733449126,0.134862247914551,Inf,-4.41255683998616,1.02156962874934e-05
Genetic gain,DV - R,CV,2X,Chr,200,8,1,-0.701809766858713,0.13486224791455,Inf,-5.20390085224879,1.95148150090761e-07
Genetic gain,DV - R,GW,2X,Chr,200,8,1,-0.934985830962942,0.134862247914552,Inf,-6.93289519803456,4.12313670622366e-12
Genetic gain,DV - R,CV,20X,Peri,200,8,1,-0.637171484510618,0.13486224791455,Inf,-4.72460969888574,2.30557733257578e-06
Genetic gain,DV - R,GW,20X,Peri,200,8,1,-1.02798269376479,0.134862247914551,Inf,-7.62246447512965,2.48877627758098e-14
Genetic gain,DV - R,CV,2X,Peri,200,8,1,-0.737345654149098,0.134862247914551,Inf,-5.46739851627183,4.56688517278051e-08
Genetic gain,DV - R,GW,2X,Peri,200,8,1,-1.02470780536531,0.134862247914553,Inf,-7.5981812642968,3.00321480251555e-14
Genetic gain,DV - R,CV,20X,WT,200,8,1,-0.795267384386693,0.134862247914552,Inf,-5.89688661344701,3.70424213835221e-09
Genetic gain,DV - R,GW,20X,WT,200,8,1,-0.9904661709489,0.13486224791455,Inf,-7.34428045109012,2.06868954846265e-13
Genetic gain,DV - R,CV,2X,WT,200,8,1,-0.70507840825725,0.13486224791455,Inf,-5.22813774173476,1.71225930330859e-07
Genetic gain,DV - R,GW,2X,WT,200,8,1,-0.852286437086754,0.134862247914554,Inf,-6.31968138056504,2.62103145930302e-10
Genetic gain,DV - R,CV,2X,Chr,2,2,2,-0.39489865450651,0.134862247914551,Inf,-2.9281630746413,0.00340971157871812
Genetic gain,DV - R,CV,20X,WT,2,2,2,-0.473154275812162,0.134862247914552,Inf,-3.50842643607683,0.000450765878358611
Genetic gain,DV - R,CV,20X,Chr,200,2,2,-0.326634232514732,0.134862247914551,Inf,-2.42198419176349,0.0154360220153564
Genetic gain,DV - R,GW,20X,Chr,200,2,2,-0.418706674034904,0.13486224791455,Inf,-3.10469890951394,0.00190472808682657
