response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,20X - 2X,Peri,200,2,3,CV,DV,0.0633638705629296,0.0203763376163228,Inf,3.10967906775214,0.00187290720199706
Prediction accuracy,20X - 2X,Chr,200,2,1,GW,DV,-0.049633855345009,0.0203763376163225,Inf,-2.43585752648944,0.0148565348113603
Prediction accuracy,20X - 2X,Peri,200,8,1,GW,DV,-0.0415957345294404,0.0203763376163239,Inf,-2.04137442717465,0.0412136243208569
Prediction accuracy,20X - 2X,Peri,200,2,2,GW,DV,-0.0437948186765139,0.0203763376163227,Inf,-2.14929785230058,0.0316107966621787
Prediction accuracy,20X - 2X,Chr,200,8,2,GW,DV,-0.0586333987154218,0.0203763376163228,Inf,-2.87752391128682,0.00400809533088947
Prediction accuracy,20X - 2X,Peri,2,2,3,GW,DV,0.0427267125764822,0.0209161129772752,Inf,2.04276543270271,0.0410756639785014
Prediction accuracy,20X - 2X,Chr,200,2,3,GW,DV,-0.0570077617096982,0.0203763376163222,Inf,-2.79774328356401,0.00514609960026227
Prediction accuracy,20X - 2X,Peri,200,2,3,GW,DV,-0.0570320898843915,0.0203763376163227,Inf,-2.79893722602561,0.00512711038755971
Prediction accuracy,20X - 2X,WT,2,2,4,GW,DV,-0.0686733319562291,0.0224340213967481,Inf,-3.06112447437461,0.00220507403099252
Prediction accuracy,20X - 2X,Chr,200,2,4,GW,DV,-0.0455224786158585,0.0203763376163218,Inf,-2.2340854118649,0.0254774536869804
Prediction accuracy,20X - 2X,WT,2,2,5,GW,DV,0.0679753605591295,0.0213097200710386,Inf,3.18987580937361,0.00142333944631283
Prediction accuracy,20X - 2X,Peri,200,2,5,GW,DV,-0.0474370693643934,0.0203763376163227,Inf,-2.328046887405,0.0199096140945939
Prediction accuracy,20X - 2X,WT,200,2,5,GW,DV,0.0616927022737065,0.020376337616323,Inf,3.02766392250421,0.00246452007695492
Prediction accuracy,20X - 2X,WT,200,2,1,CV,R,0.0439369574675006,0.0203763376163229,Inf,2.156273531329,0.031062312802761
Prediction accuracy,20X - 2X,Chr,2,8,1,GW,R,0.293324234061635,0.117642840078874,Inf,2.4933453992183,0.0126545679441735
Prediction accuracy,20X - 2X,Chr,200,8,1,GW,R,-0.0712109121437688,0.0203763376163236,Inf,-3.49478466074892,0.000474444375346303
Prediction accuracy,20X - 2X,Peri,200,8,1,GW,R,-0.0422317109399905,0.0203763376163234,Inf,-2.07258594430428,0.0382108302485052
Prediction accuracy,20X - 2X,Peri,2,2,2,GW,R,-0.061707708226314,0.0225085965858108,Inf,-2.74151735720448,0.00611561295167627
Prediction accuracy,20X - 2X,WT,200,2,2,GW,R,0.0547403531093175,0.0203763376163229,Inf,2.68646673116893,0.00722121391130944
Prediction accuracy,20X - 2X,Chr,200,8,2,GW,R,-0.0677876695625858,0.0203763376163223,Inf,-3.32678378416173,0.000878545125849778
Prediction accuracy,20X - 2X,Chr,200,2,3,GW,R,-0.0621337272962899,0.0203763376163224,Inf,-3.04930790146105,0.00229369269298243
Prediction accuracy,20X - 2X,Chr,200,8,3,GW,R,-0.0665851313334247,0.0203763376163228,Inf,-3.26776737739591,0.00108399421543568
Prediction accuracy,20X - 2X,WT,2,2,4,GW,R,0.045416824181146,0.0216601482020368,Inf,2.09679194054985,0.0360119973523971
Prediction accuracy,20X - 2X,Chr,200,2,4,GW,R,-0.0587342920865933,0.0203763376163225,Inf,-2.88247540811966,0.00394563933273038
Prediction accuracy,20X - 2X,Peri,200,2,4,GW,R,-0.0590128385646355,0.0203763376163223,Inf,-2.89614550346691,0.00377777194474062
Prediction accuracy,20X - 2X,Chr,200,8,4,GW,R,-0.0585861037897459,0.0203763376163219,Inf,-2.87520284031891,0.00403768014306499
Prediction accuracy,20X - 2X,WT,2,2,5,GW,R,0.0646247982800641,0.0211940491359751,Inf,3.04919545413194,0.00229455144565851
Prediction accuracy,20X - 2X,Chr,200,8,5,GW,R,-0.0687396504767039,0.0203763376163218,Inf,-3.37350370665444,0.000742180472470645
Prediction accuracy,20X - 2X,Peri,200,8,5,GW,R,-0.0594067703512222,0.020376337616324,Inf,-2.91547830968554,0.00355143792238392
