response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,Chr - WT,20X,200,8,1,CV,DV,0.0495855982862542,0.0203763376163212,Inf,2.43348923736603,0.0396706414035255
Prediction accuracy,Chr - WT,20X,200,2,2,CV,DV,0.0705130334505651,0.0203763376163232,Inf,3.46053519421852,0.00156318177456738
Prediction accuracy,Chr - WT,2X,200,2,2,CV,DV,0.0719906079018594,0.020376337616323,Inf,3.5330494251425,0.00119504596570541
Prediction accuracy,Chr - WT,20X,200,2,3,CV,DV,0.0538665168745003,0.0203763376163223,Inf,2.64358187858798,0.022344161645691
Prediction accuracy,Peri - WT,20X,200,2,3,CV,DV,0.0897273317107795,0.0203763376163229,Inf,4.40350633172183,3.1695275323318e-05
Prediction accuracy,Peri - WT,20X,200,2,5,CV,DV,0.0739500006168556,0.0203763376163226,Inf,3.62920962585628,0.000830276234607186
Prediction accuracy,Peri - WT,2X,200,2,1,GW,DV,-0.0518283775378596,0.0203763376163223,Inf,-2.54355706671953,0.02953408517543
Prediction accuracy,Chr - WT,20X,200,8,1,GW,DV,-0.055596488263709,0.0203763376163214,Inf,-2.72848287609724,0.0174912803799762
Prediction accuracy,Peri - WT,2X,2,2,2,GW,DV,0.0657034537029516,0.0229297350478199,Inf,2.86542576989779,0.0116023418050454
Prediction accuracy,Chr - WT,20X,200,2,2,GW,DV,-0.0569231119438649,0.0203763376163229,Inf,-2.79358896656018,0.0144245300910951
Prediction accuracy,Chr - WT,20X,200,8,2,GW,DV,-0.0908989745945823,0.0203763376163241,Inf,-4.46100650205956,2.42921414433939e-05
Prediction accuracy,Chr - WT,20X,200,2,3,GW,DV,-0.0744634775032232,0.020376337616323,Inf,-3.65440929107752,0.000753554482857188
Prediction accuracy,Peri - WT,20X,200,2,3,GW,DV,-0.0803316051301018,0.020376337616323,Inf,-3.94239664863769,0.000237953218203746
Prediction accuracy,Chr - WT,2X,2,2,4,GW,DV,-0.066570724762996,0.0222992715598601,Inf,-2.98533181159276,0.00797328301846467
Prediction accuracy,Peri - WT,2X,2,2,4,GW,DV,-0.0581608119936492,0.0219267305974575,Inf,-2.65250725524914,0.0217839016077948
Prediction accuracy,Chr - WT,20X,200,2,4,GW,DV,-0.0900640737627676,0.0203763376163224,Inf,-4.4200324640588,2.93720604016556e-05
Prediction accuracy,Peri - WT,20X,200,2,4,GW,DV,-0.0776831592457039,0.0203763376163227,Inf,-3.8124201075013,0.000404434892478323
Prediction accuracy,Chr - Peri,20X,200,8,4,GW,DV,-0.0547977432931635,0.0203763376163219,Inf,-2.68928324240512,0.0196028782156449
Prediction accuracy,Chr - WT,20X,200,8,4,GW,DV,-0.058937976472062,0.0203763376163225,Inf,-2.89247153153026,0.0106746752644368
Prediction accuracy,Chr - WT,20X,200,2,5,GW,DV,-0.0870939468576503,0.020376337616323,Inf,-4.27426893377942,5.69536511669799e-05
Prediction accuracy,Peri - WT,20X,200,2,5,GW,DV,-0.110488470650887,0.0203763376163226,Inf,-5.4223910464842,1.76193329037844e-07
Prediction accuracy,Chr - Peri,20X,200,8,5,GW,DV,-0.0541818264128926,0.020376337616323,Inf,-2.65905617746974,0.0213806584212581
Prediction accuracy,Chr - WT,20X,200,2,1,CV,R,-0.0572323816514696,0.0203763376163222,Inf,-2.80876685148877,0.0137820580041035
Prediction accuracy,Peri - WT,20X,200,2,1,CV,R,-0.0484002431930177,0.0203763376163225,Inf,-2.37531611933278,0.0461314501025643
Prediction accuracy,Peri - WT,2X,200,2,2,CV,R,0.0573015873010586,0.0203763376163238,Inf,2.81216322481589,0.0136418162950436
Prediction accuracy,Chr - WT,20X,200,2,1,GW,R,-0.0519241524285962,0.0203763376163234,Inf,-2.5482573662796,0.0291561561551418
Prediction accuracy,Peri - WT,20X,200,2,1,GW,R,-0.0524132812827743,0.0203763376163228,Inf,-2.57226211450226,0.0272904631590813
Prediction accuracy,Peri - WT,2X,200,2,1,GW,R,-0.0529008801447242,0.0203763376163226,Inf,-2.59619177601119,0.0255343509202698
Prediction accuracy,Chr - WT,20X,200,8,1,GW,R,-0.0901116789210346,0.0203763376163225,Inf,-4.42236876016673,2.90570377051713e-05
Prediction accuracy,Peri - WT,20X,200,8,1,GW,R,-0.0542828375845809,0.0203763376163218,Inf,-2.66401345554362,0.0210797731411602
Prediction accuracy,Peri - WT,20X,2,2,2,GW,R,-0.0735188692887173,0.0230022648766169,Inf,-3.19615784285023,0.00397986670399153
Prediction accuracy,Chr - WT,20X,200,2,2,GW,R,-0.0713740437885898,0.020376337616323,Inf,-3.50279059625582,0.00133760159759688
Prediction accuracy,Chr - Peri,20X,200,8,2,GW,R,-0.0625201155298297,0.0203763376163214,Inf,-3.06827049625204,0.00609885911675856
Prediction accuracy,Chr - WT,20X,200,8,2,GW,R,-0.0891322683298822,0.0203763376163228,Inf,-4.37430268423121,3.62352771203778e-05
Prediction accuracy,Peri - WT,2X,2,2,3,GW,R,-0.059596799097618,0.0217921177457927,Inf,-2.73478694419793,0.01717107651877
Prediction accuracy,Chr - Peri,20X,200,2,3,GW,R,-0.0488733781630417,0.0203763376163224,Inf,-2.39853594317615,0.0434534636583089
Prediction accuracy,Chr - WT,20X,200,2,3,GW,R,-0.0509985463076322,0.0203763376163227,Inf,-2.50283182718661,0.0329891582251269
Prediction accuracy,Chr - Peri,20X,200,8,3,GW,R,-0.0623196075227581,0.0203763376163225,Inf,-3.05843025847966,0.00629818686709482
Prediction accuracy,Chr - WT,20X,200,8,3,GW,R,-0.0818270491039268,0.0203763376163212,Inf,-4.01578785376938,0.000175074239338491
Prediction accuracy,Chr - WT,20X,200,2,4,GW,R,-0.0506438946634805,0.0203763376163228,Inf,-2.48542675416368,0.0345683709497089
Prediction accuracy,Chr - Peri,20X,200,8,4,GW,R,-0.0618070314774126,0.0203763376163221,Inf,-3.03327480341233,0.00683482070274422
Prediction accuracy,Chr - WT,20X,200,8,4,GW,R,-0.0768166701683622,0.0203763376163224,Inf,-3.76989582793468,0.000479335637369793
Prediction accuracy,Peri - WT,20X,2,2,5,GW,R,-0.0504801011473151,0.0207450718836044,Inf,-2.43335387944408,0.0396847329076995
Prediction accuracy,Chr - WT,2X,2,2,5,GW,R,0.0598959149771208,0.0210874862025672,Inf,2.840353487455,0.0125258416087082
Prediction accuracy,Chr - WT,20X,200,8,5,GW,R,-0.100912282954441,0.0203763376163225,Inf,-4.95242495754512,2.19193044626032e-06
Prediction accuracy,Peri - WT,20X,200,8,5,GW,R,-0.0649782369921255,0.0203763376163239,Inf,-3.18890657465698,0.00407916340078229
