response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,1,CV,DV,-0.948095238097623,0.00541011292048494,Inf,-175.244999879345,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,1,CV,DV,-0.994761904770194,0.00541011292048579,Inf,-183.870821069826,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,1,CV,DV,-0.943809523817835,0.00541011292048887,Inf,-174.452832628224,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,1,CV,DV,-0.997619047619705,0.00541011292048771,Inf,-184.398932569742,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,1,CV,DV,-0.945238095238241,0.00541011292048615,Inf,-174.716888377498,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,1,CV,DV,-0.994285714286369,0.00541011292048731,Inf,-183.782802484797,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,1,CV,DV,-0.951428571429363,0.00541011292048711,Inf,-175.861129963938,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,1,CV,DV,-0.997142857142999,0.00541011292048732,Inf,-184.310913986095,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,1,CV,DV,-0.945238095237153,0.0054101129204886,Inf,-174.716888377218,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,1,CV,DV,-0.995238095238568,0.00541011292048799,Inf,-183.958839651872,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,1,CV,DV,-0.946666666667971,0.00541011292048775,Inf,-174.980944128357,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,1,CV,DV,-0.996666666666759,0.00541011292048745,Inf,-184.222895402516,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,1,CV,DV,-0.839525249142504,0.00541011292048771,Inf,-155.177028923607,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,1,CV,DV,-0.927120563456365,0.00541011292048743,Inf,-171.368061458657,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,1,CV,DV,-0.851510771253962,0.00541011292048799,Inf,-157.39242115064,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,1,CV,DV,-0.928870668192601,0.00541011292048759,Inf,-171.691549112599,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,1,CV,DV,-0.84223310300477,0.00541011292048741,Inf,-155.67754599268,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,1,CV,DV,-0.929125967684658,0.0054101129204874,Inf,-171.738738421924,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,1,CV,DV,-0.847720561466316,0.00541011292048742,Inf,-156.691842467115,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,1,CV,DV,-0.92921729798504,0.00541011292048736,Inf,-171.755619825646,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,1,CV,DV,-0.853466328198342,0.00541011292048768,Inf,-157.753884390533,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,1,CV,DV,-0.930627455185075,0.00541011292048752,Inf,-172.016271908279,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,1,CV,DV,-0.851337519976643,0.00541011292048747,Inf,-157.360397553391,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,1,CV,DV,-0.929136367663013,0.00541011292048732,Inf,-171.740660743791,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,2,CV,DV,-0.523809523805723,0.00541011292048761,Inf,-96.8204419212958,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,2,CV,DV,-0.428571428572644,0.00541011292048725,Inf,-79.2167252091377,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,2,CV,DV,-0.517142857143855,0.00541011292048736,Inf,-95.588181752271,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,2,CV,DV,-0.419523809523847,0.00541011292048732,Inf,-77.5443721211753,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,2,CV,DV,-0.519047619048885,0.00541011292048728,Inf,-95.9402560865837,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,2,CV,DV,-0.416190476190134,0.0054101129204873,Inf,-76.9282420361472,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,2,CV,DV,-0.532380952380731,0.00541011292048726,Inf,-98.404776426142,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,2,CV,DV,-0.421904761904734,0.00541011292048731,Inf,-77.9844650389907,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,2,CV,DV,-0.515238095239271,0.00541011292048734,Inf,-95.2361074180422,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,2,CV,DV,-0.429999999999757,0.00541011292048731,Inf,-79.4807809595637,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,2,CV,DV,-0.516190476190265,0.00541011292048728,Inf,-95.4121445849178,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,2,CV,DV,-0.410952380952333,0.00541011292048732,Inf,-75.9600376169813,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,2,CV,DV,-0.29229236415912,0.00541011292048734,Inf,-54.0270357485978,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,2,CV,DV,-0.324187097672093,0.00541011292048727,Inf,-59.9224272093187,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,2,CV,DV,-0.296346359862114,0.0054101129204873,Inf,-54.7763723636698,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,2,CV,DV,-0.3263972434859,0.00541011292048733,Inf,-60.3309484077273,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,2,CV,DV,-0.292356722680838,0.00541011292048734,Inf,-54.0389317150338,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,2,CV,DV,-0.325993805800601,0.0054101129204873,Inf,-60.2563773791321,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,2,CV,DV,-0.295862899826518,0.00541011292048739,Inf,-54.6870100818273,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,2,CV,DV,-0.327583919537358,0.00541011292048736,Inf,-60.5502924526478,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,2,CV,DV,-0.2965104208134,0.0054101129204873,Inf,-54.8066972300261,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,2,CV,DV,-0.325945234132218,0.00541011292048734,Inf,-60.2473994392813,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,2,CV,DV,-0.296224066520801,0.00541011292048732,Inf,-54.7537677816378,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,2,CV,DV,-0.325045621287939,0.00541011292048725,Inf,-60.0811158778299,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,3,CV,DV,-0.384285714280392,0.00541011292048745,Inf,-71.030996936339,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,3,CV,DV,-0.333333333335466,0.00541011292048736,Inf,-61.6130084962141,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,3,CV,DV,-0.377619047620889,0.00541011292048726,Inf,-69.7987367677492,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,3,CV,DV,-0.320476190475916,0.00541011292048726,Inf,-59.236506739503,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,3,CV,DV,-0.388095238096156,0.00541011292048736,Inf,-71.7351456060172,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,3,CV,DV,-0.310476190475934,0.00541011292048732,Inf,-57.3881164846311,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,3,CV,DV,-0.38571428571415,0.00541011292048735,Inf,-71.2950526879954,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,3,CV,DV,-0.360476190476168,0.00541011292048735,Inf,-66.6300677590469,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,3,CV,DV,-0.367142857144002,0.00541011292048733,Inf,-67.8623279291795,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,3,CV,DV,-0.335238095237788,0.00541011292048732,Inf,-61.9650828300255,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,3,CV,DV,-0.401904761904655,0.00541011292048733,Inf,-74.2876845292264,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,3,CV,DV,-0.337142857142845,0.00541011292048734,Inf,-62.3171571643416,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,3,CV,DV,-0.0472107701862035,0.00541011292048735,Inf,-8.7263927537303,2.62924449896896e-18
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,3,CV,DV,-0.065146691895953,0.0054101129204874,Inf,-12.0416510437797,2.14616769644186e-33
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,3,CV,DV,-0.0457136052019052,0.00541011292048737,Inf,-8.44965823703863,2.92156780348163e-17
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,3,CV,DV,-0.0672322995601282,0.00541011292048737,Inf,-12.427152731975,1.86147082725562e-35
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,3,CV,DV,-0.0434229669012489,0.00541011292048736,Inf,-8.02625888580109,1.0049004702265e-15
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,3,CV,DV,-0.068712605327306,0.00541011292048739,Inf,-12.7007710074036,5.85500176451314e-37
