response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 200,Chr,20X,2,3,CV,0.154868541855258,0.0450292735313062,Inf,3.43928581809313,0.000583251098119736
Bulmer effect,2 - 200,Peri,20X,2,3,CV,0.344088995420039,0.0451432452042319,Inf,7.62215905975192,2.49467360516502e-14
Bulmer effect,2 - 200,WT,20X,2,3,CV,0.516039145217158,0.045029273531307,Inf,11.4600815147146,2.09317702375061e-30
Bulmer effect,2 - 200,Chr,2X,2,3,CV,0.364316294901032,0.0450292735313077,Inf,8.09065450828854,5.93449664256824e-16
Bulmer effect,2 - 200,Peri,2X,2,3,CV,0.429425347830081,0.0450292735313075,Inf,9.53658174235289,1.47617807150446e-21
Bulmer effect,2 - 200,WT,2X,2,3,CV,0.48771337034707,0.045029273531307,Inf,10.8310290639706,2.45381978760974e-27
Bulmer effect,2 - 200,Chr,20X,8,3,CV,0.454663704309148,0.0450292735313075,Inf,10.0970694984238,5.69176504845651e-24
Bulmer effect,2 - 200,Peri,20X,8,3,CV,0.545385815354775,0.0450292735313074,Inf,12.1118057784251,9.14582197556713e-34
Bulmer effect,2 - 200,WT,20X,8,3,CV,0.77976215865625,0.0450292735313072,Inf,17.3167830059286,3.51464836156101e-67
Bulmer effect,2 - 200,Chr,2X,8,3,CV,0.601711816337927,0.0450292735313074,Inf,13.3626809661847,9.99001750354785e-41
Bulmer effect,2 - 200,Peri,2X,8,3,CV,0.670265098107482,0.0450292735313073,Inf,14.8850968613,4.11889536062996e-50
Bulmer effect,2 - 200,WT,2X,8,3,CV,0.837122044300612,0.045029273531307,Inf,18.5906184721944,3.82739096051677e-77
Bulmer effect,2 - 200,Chr,20X,2,4,CV,1.12220544651086,0.0450292735313075,Inf,24.9216866830113,4.33096684722039e-137
Bulmer effect,2 - 200,Peri,20X,2,4,CV,1.24174204919704,0.0450292735313074,Inf,27.5763287261051,2.13976864545796e-167
Bulmer effect,2 - 200,WT,20X,2,4,CV,1.22062463182161,0.0450292735313072,Inf,27.1073578607249,8.06397910401846e-162
Bulmer effect,2 - 200,Chr,2X,2,4,CV,1.19539021059554,0.0450292735313073,Inf,26.5469574978693,2.78456803242431e-155
