response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,20X - 2X,Chr,200,2,1,CV,DV,-0.332515170827803,0.119201821214891,Inf,-2.78951418224024,0.00527871844571309
Genetic gain,20X - 2X,Chr,200,2,2,CV,DV,-0.259182417215552,0.119201821214886,Inf,-2.17431591710601,0.0296814178447189
Genetic gain,20X - 2X,WT,2,8,3,CV,DV,0.343272443817657,0.119201821214886,Inf,2.8797583822049,0.00397980040501973
Genetic gain,20X - 2X,Peri,200,8,3,CV,DV,0.289154771871153,0.119201821214885,Inf,2.4257580037296,0.0152764529416899
Genetic gain,20X - 2X,WT,2,2,4,CV,DV,0.24263662330469,0.119201821214887,Inf,2.03551104196039,0.0417994786499322
Genetic gain,20X - 2X,Chr,200,8,4,CV,DV,0.541116176998066,0.119201821214887,Inf,4.53949588591091,5.6388880567264e-06
Genetic gain,20X - 2X,Peri,200,8,4,CV,DV,0.577404706746899,0.119201821214887,Inf,4.84392520904528,1.27298866639166e-06
Genetic gain,20X - 2X,Chr,200,2,5,CV,DV,-0.278991908343123,0.119201821214886,Inf,-2.34050038413577,0.0192579186021919
Genetic gain,20X - 2X,Chr,200,2,1,GW,DV,-0.355605386792334,0.119201821214888,Inf,-2.98322108813484,0.00285231872790612
Genetic gain,20X - 2X,Chr,200,8,1,GW,DV,-0.300651363969869,0.119201821214888,Inf,-2.52220445044945,0.0116621904352097
Genetic gain,20X - 2X,Chr,2,2,2,GW,DV,-0.298366484447258,0.119201821214887,Inf,-2.50303629094214,0.01231329174014
Genetic gain,20X - 2X,Peri,2,8,2,GW,DV,-0.314288025401321,0.119201821214887,Inf,-2.63660422465148,0.00837404706741259
Genetic gain,20X - 2X,Chr,200,8,2,GW,DV,-0.489797339052425,0.119201821214887,Inf,-4.10897529971004,3.97418574845431e-05
Genetic gain,20X - 2X,Peri,2,2,3,GW,DV,-0.323265449136728,0.119201821214887,Inf,-2.71191703148539,0.00668953344056146
Genetic gain,20X - 2X,Chr,200,2,3,GW,DV,-0.3316449439297,0.119201821214886,Inf,-2.78221373255565,0.00539894716139378
Genetic gain,20X - 2X,Peri,200,2,3,GW,DV,-0.61135941158783,0.119201821214885,Inf,-5.12877576329755,2.91632464935992e-07
Genetic gain,20X - 2X,Chr,200,8,3,GW,DV,-0.618388099675925,0.119201821214886,Inf,-5.18774036649281,2.12861087190563e-07
Genetic gain,20X - 2X,Peri,200,8,3,GW,DV,-0.264385953664734,0.119201821214881,Inf,-2.21796907941645,0.0265569407614517
Genetic gain,20X - 2X,Chr,200,2,4,GW,DV,-0.302571377379659,0.119201821214886,Inf,-2.53831169940106,0.0111388727142363
Genetic gain,20X - 2X,Peri,200,2,4,GW,DV,-0.345042564273519,0.119201821214886,Inf,-2.89460815914472,0.00379632097698338
Genetic gain,20X - 2X,Chr,2,2,5,GW,DV,-0.327602020852663,0.119201821214887,Inf,-2.74829711084773,0.00599056974324369
Genetic gain,20X - 2X,Chr,200,2,5,GW,DV,-0.624338239351079,0.119201821214887,Inf,-5.23765688298986,1.62628044713984e-07
Genetic gain,20X - 2X,Peri,200,2,5,GW,DV,-0.266366615860473,0.119201821214885,Inf,-2.23458511913416,0.0254445986812405
Genetic gain,20X - 2X,Chr,2,8,5,GW,DV,-0.343078318855109,0.119201821214887,Inf,-2.87812984196471,0.0040004044865125
Genetic gain,20X - 2X,Chr,200,8,5,GW,DV,-0.555952605261117,0.119201821214888,Inf,-4.66396066431644,3.10180697510321e-06
Genetic gain,20X - 2X,Peri,200,8,5,GW,DV,-0.352642976736593,0.119201821214885,Inf,-2.9583690344872,0.00309271628522952
