response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,4 - 5,GW,2X,Chr,200,2,DV,-1.66850222368923,0.0686706200495174,Inf,-24.2971771987219,0
Bulmer effect,1 - 2,CV,20X,Peri,200,2,DV,2.32379218276461,0.0686706200495136,Inf,33.8396854592122,0
Bulmer effect,1 - 3,CV,20X,Peri,200,2,DV,2.57125409240349,0.0686706200495127,Inf,37.4432922048697,0
Bulmer effect,1 - 4,CV,20X,Peri,200,2,DV,3.19361671013582,0.0686706200495134,Inf,46.5063036831928,0
Bulmer effect,1 - 5,CV,20X,Peri,200,2,DV,2.01996927354779,0.0686706200495124,Inf,29.4153347107012,0
Bulmer effect,2 - 3,CV,20X,Peri,200,2,DV,0.247461909638876,0.0686706200495119,Inf,3.6036067456571,0.00289933799399644
Bulmer effect,2 - 4,CV,20X,Peri,200,2,DV,0.86982452737121,0.0686706200495137,Inf,12.6666182239805,0
Bulmer effect,2 - 5,CV,20X,Peri,200,2,DV,-0.303822909216815,0.068670620049511,Inf,-4.42435074851167,9.45462690700172e-05
Bulmer effect,3 - 4,CV,20X,Peri,200,2,DV,0.622362617732334,0.0686706200495127,Inf,9.06301147832361,6.58362253602718e-14
Bulmer effect,3 - 5,CV,20X,Peri,200,2,DV,-0.551284818855691,0.0686706200495119,Inf,-8.02795749416871,7.56061879769732e-14
Bulmer effect,4 - 5,CV,20X,Peri,200,2,DV,-1.17364743658803,0.0686706200495129,Inf,-17.0909689724922,0
Bulmer effect,1 - 2,GW,20X,Peri,200,2,DV,3.25793758051405,0.0686706200495107,Inf,47.4429614610312,0
Bulmer effect,1 - 3,GW,20X,Peri,200,2,DV,3.76998378395008,0.0686706200495105,Inf,54.8995157060178,0
Bulmer effect,1 - 4,GW,20X,Peri,200,2,DV,4.35137776670069,0.0686706200495102,Inf,63.3659309259685,0
Bulmer effect,1 - 5,GW,20X,Peri,200,2,DV,2.44400073799999,0.0686706200495051,Inf,35.5901947039082,0
Bulmer effect,2 - 3,GW,20X,Peri,200,2,DV,0.512046203436031,0.0686706200495121,Inf,7.45655424498631,9.2059693201918e-13
Bulmer effect,2 - 4,GW,20X,Peri,200,2,DV,1.09344018618664,0.068670620049513,Inf,15.9229694649363,0
Bulmer effect,2 - 5,GW,20X,Peri,200,2,DV,-0.813936842514067,0.0686706200495101,Inf,-11.852766757126,0
Bulmer effect,3 - 4,GW,20X,Peri,200,2,DV,0.581393982750604,0.0686706200495119,Inf,8.4664152199502,4.80726569662693e-14
Bulmer effect,3 - 5,GW,20X,Peri,200,2,DV,-1.3259830459501,0.0686706200495108,Inf,-19.3093210021124,0
Bulmer effect,4 - 5,GW,20X,Peri,200,2,DV,-1.9073770287007,0.0686706200495102,Inf,-27.775736222063,0
Bulmer effect,1 - 2,CV,2X,Peri,200,2,DV,2.36611891860361,0.0686706200495136,Inf,34.4560587467765,0
Bulmer effect,1 - 3,CV,2X,Peri,200,2,DV,2.73715609058517,0.0686706200495132,Inf,39.8592016296287,0
Bulmer effect,1 - 4,CV,2X,Peri,200,2,DV,3.28701066915607,0.0686706200495121,Inf,47.8663315809018,0
Bulmer effect,1 - 5,CV,2X,Peri,200,2,DV,2.05646978990465,0.0686706200495149,Inf,29.9468650264383,0
Bulmer effect,2 - 3,CV,2X,Peri,200,2,DV,0.371037171981559,0.0686706200495135,Inf,5.40314288285194,6.52238451137599e-07
Bulmer effect,2 - 4,CV,2X,Peri,200,2,DV,0.920891750552457,0.0686706200495139,Inf,13.4102728341242,0
Bulmer effect,2 - 5,CV,2X,Peri,200,2,DV,-0.309649128698963,0.0686706200495142,Inf,-4.50919372033767,6.37937120295806e-05
Bulmer effect,3 - 4,CV,2X,Peri,200,2,DV,0.549854578570899,0.0686706200495118,Inf,8.00712995127249,7.80486786311485e-14
Bulmer effect,3 - 5,CV,2X,Peri,200,2,DV,-0.680686300680522,0.068670620049513,Inf,-9.91233660318973,4.50750547997814e-14
Bulmer effect,4 - 5,CV,2X,Peri,200,2,DV,-1.23054087925142,0.0686706200495128,Inf,-17.9194665544621,0
Bulmer effect,1 - 2,GW,2X,Peri,200,2,DV,3.38083455756147,0.0686706200495152,Inf,49.2326202257051,0
Bulmer effect,1 - 3,GW,2X,Peri,200,2,DV,3.79480125567689,0.0686706200495132,Inf,55.2609143901825,0
Bulmer effect,1 - 4,GW,2X,Peri,200,2,DV,4.40609559128108,0.0686706200495127,Inf,64.1627465734868,0
Bulmer effect,1 - 5,GW,2X,Peri,200,2,DV,2.68830701078908,0.0686706200495152,Inf,39.1478482187968,0
Bulmer effect,2 - 3,GW,2X,Peri,200,2,DV,0.413966698115425,0.0686706200495145,Inf,6.02829416447583,1.65516286232403e-08
