response,contrast,Map_type,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,20X - 2X,WT,2,2,4,CV,med_neg,DV,-0.0220337500000021,0.00754599282974136,Inf,-2.91992723782609,0.00350113120652789
QTL AF,20X - 2X,WT,2,2,5,CV,med_neg,DV,0.0357125000000037,0.00754599282974147,Inf,4.73264430616048,2.21613642874597e-06
QTL AF,20X - 2X,Peri,2,2,3,GW,med_neg,DV,0.0204675000000111,0.00754599282974135,Inf,2.71236674375592,0.00668046355296578
QTL AF,20X - 2X,WT,2,2,3,GW,med_neg,DV,-0.0211012499999933,0.00754599282974143,Inf,-2.79635171621497,0.00516831215859743
QTL AF,20X - 2X,Chr,2,2,5,GW,med_neg,DV,0.0226887499999551,0.00754599282974149,Inf,3.00672827444661,0.00264075697736252
QTL AF,20X - 2X,Peri,2,2,2,CV,small_neg,DV,0.0244954545454515,0.00754599282974142,Inf,3.24615396517557,0.00116975557696426
QTL AF,20X - 2X,WT,2,2,2,CV,small_neg,DV,-0.0174136363636423,0.00754599282974151,Inf,-2.30766669894104,0.0210176816246192
QTL AF,20X - 2X,Peri,2,2,3,CV,small_neg,DV,0.0176136363636356,0.00754599282974145,Inf,2.33417083226133,0.0195867785414813
QTL AF,20X - 2X,WT,2,2,3,CV,small_neg,DV,0.0277886363636277,0.00754599282974163,Inf,3.68256861497431,0.000230895693465266
QTL AF,20X - 2X,Peri,2,8,3,CV,small_neg,DV,0.0196977272727369,0.00754599282974139,Inf,2.61035594880255,0.00904480560032686
QTL AF,20X - 2X,WT,2,2,4,CV,small_neg,DV,-0.0164818181818237,0.00754599282974138,Inf,-2.18418153233106,0.0289489114063835
QTL AF,20X - 2X,WT,2,8,5,CV,small_neg,DV,0.0321454545454609,0.00754599282974143,Inf,4.25993706471126,2.0448447301825e-05
QTL AF,20X - 2X,Chr,2,2,1,GW,small_neg,DV,0.0157000000001475,0.00754599282974109,Inf,2.08057446573086,0.0374728731069202
QTL AF,20X - 2X,Peri,2,2,2,GW,small_neg,DV,0.018806818181826,0.00754599282974139,Inf,2.49229208218986,0.0126921616181092
QTL AF,20X - 2X,WT,2,2,3,GW,small_neg,DV,0.0180772727272798,0.00754599282974145,Inf,2.39561223223415,0.0165926336137205
QTL AF,20X - 2X,Chr,2,8,3,GW,small_neg,DV,0.0166931818181884,0.00754599282974158,Inf,2.21219158231828,0.0269534302318867
QTL AF,20X - 2X,WT,2,8,3,GW,small_neg,DV,-0.021731818181821,0.00754599282974145,Inf,-2.87991503201118,0.00397782358064545
QTL AF,20X - 2X,Chr,2,2,4,GW,small_neg,DV,0.0211840909090714,0.00754599282974161,Inf,2.80732984870817,0.0049954062130011
QTL AF,20X - 2X,Chr,2,8,4,GW,small_neg,DV,0.0268159090909189,0.00754599282974148,Inf,3.55366214836936,0.000379906919735086
QTL AF,20X - 2X,WT,2,8,4,GW,small_neg,DV,0.0207454545454517,0.00754599282974133,Inf,2.74920146540383,0.00597406547485224
QTL AF,20X - 2X,Peri,2,2,5,GW,small_neg,DV,0.0344590909090983,0.00754599282974144,Inf,4.56654169790393,4.95836442195369e-06
QTL AF,20X - 2X,Chr,2,8,5,GW,small_neg,DV,0.017290909090913,0.00754599282974151,Inf,2.29140279894823,0.0219401278482778
QTL AF,20X - 2X,Peri,2,8,5,GW,small_neg,DV,0.0306068181818159,0.00754599282974144,Inf,4.05603594813707,4.99125808729813e-05
QTL AF,20X - 2X,Chr,2,2,2,CV,large_neg,R,0.0152818181818998,0.00754599282974241,Inf,2.02515673241389,0.0428512729494859
QTL AF,20X - 2X,WT,2,2,2,CV,large_neg,R,-0.0163681818181975,0.00754599282974149,Inf,-2.16912236567263,0.0300733951077218
QTL AF,20X - 2X,Peri,2,8,5,CV,large_neg,R,-0.0160886363636299,0.0075459928297414,Inf,-2.13207681568673,0.0330005322154322
QTL AF,20X - 2X,Peri,2,8,5,GW,large_neg,R,-0.0179749999999978,0.00754599282974124,Inf,-2.38205898223921,0.0172161397083025
QTL AF,20X - 2X,WT,2,2,3,CV,med_neg,R,-0.015433749999995,0.00754599282974143,Inf,-2.04529083822677,0.0408261934178131
QTL AF,20X - 2X,Chr,2,2,4,CV,med_neg,R,0.0200887499999836,0.00754599282974144,Inf,2.6621745412753,0.00776376087146661
QTL AF,20X - 2X,WT,2,2,4,CV,med_neg,R,0.0210950000000072,0.00754599282974136,Inf,2.79552346205055,0.00518157406055515
QTL AF,20X - 2X,Peri,2,8,5,CV,med_neg,R,0.016051249999998,0.00754599282974158,Inf,2.12712234985621,0.0334099187198645
QTL AF,20X - 2X,Chr,2,2,2,GW,med_neg,R,0.0261475000000066,0.00754599282974152,Inf,3.46508413007627,0.000530065631664591
QTL AF,20X - 2X,Chr,2,2,3,GW,med_neg,R,0.0165050000000059,0.00754599282974147,Inf,2.18725360232967,0.0287240157892548
QTL AF,20X - 2X,Chr,2,2,5,GW,med_neg,R,0.0313612500000078,0.00754599282974151,Inf,4.15601375559246,3.238483344417e-05
QTL AF,20X - 2X,Chr,2,8,5,GW,med_neg,R,0.0216449999999983,0.00754599282974147,Inf,2.86840982868253,0.00412540773195146
QTL AF,20X - 2X,Peri,2,8,5,GW,med_neg,R,0.0291274999999993,0.00754599282974136,Inf,3.85999571656069,0.000113389012669659
QTL AF,20X - 2X,Chr,2,2,2,CV,small_neg,R,0.0152568181818019,0.00754599282974147,Inf,2.02184371573603,0.043192499941155
