response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,3 - 4,CV,20X,Chr,2,2,negative_QTL,-0.0159523809546515,0.00666463808439977,Inf,-2.39358548095687,0.01668459300217
QTL fixation,3 - 4,GW,20X,Chr,2,2,negative_QTL,-0.049523809523188,0.00666463808439287,Inf,-7.43083253675274,1.07916268265004e-13
QTL fixation,3 - 4,GW,2X,Chr,2,2,negative_QTL,-0.0399999999996893,0.0066646380843927,Inf,-6.00182627971376,1.9511039254939e-09
QTL fixation,3 - 4,GW,20X,Peri,2,2,negative_QTL,-0.0309523809523974,0.00666463808439263,Inf,-4.64427033553139,3.41280451110899e-06
QTL fixation,3 - 4,GW,2X,Peri,2,2,negative_QTL,-0.0473809523809823,0.00666463808439267,Inf,-7.1093061290064,1.16627800534073e-12
QTL fixation,3 - 4,GW,20X,WT,2,2,negative_QTL,-0.0566666666667374,0.00666463808439266,Inf,-8.50258722967121,1.85411240300756e-17
QTL fixation,3 - 4,CV,2X,WT,2,2,negative_QTL,-0.019523809523839,0.00666463808439258,Inf,-2.92946282703038,0.00339548423701034
QTL fixation,3 - 4,GW,2X,WT,2,2,negative_QTL,-0.0630952380952634,0.00666463808439271,Inf,-9.46716645319724,2.87537651887153e-21
QTL fixation,3 - 4,CV,20X,Chr,200,2,negative_QTL,-0.0245793708849646,0.00666463808439302,Inf,-3.68802785293377,0.000225998916505033
QTL fixation,3 - 4,GW,20X,Chr,200,2,negative_QTL,-0.016120987654312,0.00666463808439272,Inf,-2.41888418398355,0.0155681960718787
QTL fixation,3 - 4,CV,2X,Chr,200,2,negative_QTL,-0.0215167032431585,0.00666463808439277,Inf,-3.22848787446482,0.00124446534554784
QTL fixation,3 - 4,CV,20X,Peri,200,2,negative_QTL,-0.0165691294806445,0.0066646380843926,Inf,-2.48612591874216,0.012914226204943
QTL fixation,3 - 4,GW,2X,Peri,200,2,negative_QTL,-0.0150222222222234,0.00666463808439265,Inf,-2.25401920284354,0.0241949599495425
QTL fixation,3 - 4,CV,20X,WT,200,2,negative_QTL,-0.0182857839551548,0.00666463808439264,Inf,-2.74370246720175,0.00607505723180475
QTL fixation,3 - 4,GW,20X,WT,200,2,negative_QTL,-0.0168419753086372,0.00666463808439271,Inf,-2.52706525026135,0.0115020130838145
QTL fixation,3 - 4,CV,2X,WT,200,2,negative_QTL,-0.0181370397464093,0.00666463808439267,Inf,-2.72138404467647,0.00650091877271075
QTL fixation,3 - 4,GW,2X,WT,200,2,negative_QTL,-0.0181160493827144,0.0066646380843927,Inf,-2.7182345317653,0.00656312985139532
QTL fixation,3 - 4,GW,20X,Chr,2,8,negative_QTL,-0.0199999999995648,0.00666463808439268,Inf,-3.0009131398149,0.00269171334593834
QTL fixation,3 - 4,GW,2X,Chr,2,8,negative_QTL,-0.0400000000000422,0.0066646380843927,Inf,-6.00182627976672,1.95110392485733e-09
QTL fixation,3 - 4,GW,20X,Peri,2,8,negative_QTL,-0.0335714285714519,0.00666463808439269,Inf,-5.03724705623098,4.72275043321057e-07
QTL fixation,3 - 4,GW,2X,Peri,2,8,negative_QTL,-0.0390476190476209,0.00666463808439271,Inf,-5.85892565405208,4.65871188556924e-09
QTL fixation,3 - 4,GW,20X,WT,2,8,negative_QTL,-0.0590476190476528,0.00666463808439269,Inf,-8.85983879393706,8.01302265518893e-19
QTL fixation,3 - 4,GW,2X,WT,2,8,negative_QTL,-0.0464285714285739,0.00666463808439271,Inf,-6.96640550329365,3.25141111062997e-12
QTL fixation,3 - 4,CV,20X,Chr,200,8,negative_QTL,-0.0145062179956875,0.00666463808439268,Inf,-2.17659500966127,0.0295107978450984
QTL fixation,3 - 4,CV,2X,Chr,200,8,negative_QTL,-0.02098756400877,0.0066646380843927,Inf,-3.14909283039972,0.00163778160803749
QTL fixation,3 - 4,GW,2X,Chr,200,8,negative_QTL,-0.0175975308641974,0.00666463808439268,Inf,-2.64043307999086,0.00828001431794202
QTL fixation,3 - 4,CV,20X,Peri,200,8,negative_QTL,-0.0175981467934577,0.00666463808439266,Inf,-2.64052549750139,0.00827775636261565
QTL fixation,3 - 4,GW,20X,Peri,200,8,negative_QTL,-0.022992592592591,0.00666463808439269,Inf,-3.44993866155092,0.0005607139402392
QTL fixation,3 - 4,CV,2X,Peri,200,8,negative_QTL,-0.0284979273347975,0.00666463808439266,Inf,-4.27599022991727,1.90289568600211e-05
QTL fixation,3 - 4,GW,2X,Peri,200,8,negative_QTL,-0.0152740740740742,0.00666463808439255,Inf,-2.29180847941969,0.0219166971675128
QTL fixation,3 - 4,CV,20X,WT,200,8,negative_QTL,-0.0212631065593797,0.0066646380843927,Inf,-3.19043679343576,0.00142057910965602
QTL fixation,3 - 4,GW,20X,WT,200,8,negative_QTL,-0.0230962962962974,0.00666463808439268,Inf,-3.46549895190626,0.000529248589766866
QTL fixation,3 - 4,CV,2X,WT,200,8,negative_QTL,-0.0247500609607395,0.00666463808439266,Inf,-3.71363915749597,0.000204300041664234
QTL fixation,3 - 4,GW,2X,WT,200,8,negative_QTL,-0.0196888888888886,0.00666463808439268,Inf,-2.95423226881534,0.00313447995917644
QTL fixation,3 - 4,GW,20X,Chr,2,2,positive_QTL,0.0459523809517068,0.00666463808439261,Inf,6.89495519033795,5.38817846937877e-12
QTL fixation,3 - 4,CV,2X,Chr,2,2,positive_QTL,0.022619047618966,0.00666463808439267,Inf,3.39388986056655,0.000689073998480318
QTL fixation,3 - 4,GW,2X,Chr,2,2,positive_QTL,0.0842857142858291,0.00666463808439272,Inf,12.6467053752266,1.16665339107577e-36
QTL fixation,3 - 4,CV,20X,Peri,2,2,positive_QTL,0.0147619047619301,0.0066646380843927,Inf,2.2149596984868,0.0267628308746613
QTL fixation,3 - 4,GW,20X,Peri,2,2,positive_QTL,0.0400000000000097,0.0066646380843927,Inf,6.00182627976184,1.95110392491593e-09
QTL fixation,3 - 4,CV,2X,Peri,2,2,positive_QTL,0.0197619047618646,0.00666463808439267,Inf,2.96518798344704,0.00302498024674033
QTL fixation,3 - 4,GW,2X,Peri,2,2,positive_QTL,0.0728571428571423,0.0066646380843927,Inf,10.9318978667063,8.11335372717095e-28
QTL fixation,3 - 4,CV,20X,WT,2,2,positive_QTL,0.0240476190476605,0.00666463808439267,Inf,3.6082407991479,0.000308280298725576
QTL fixation,3 - 4,GW,20X,WT,2,2,positive_QTL,0.0945238095238508,0.00666463808439272,Inf,14.1828871015828,1.16934933761775e-45
QTL fixation,3 - 4,CV,2X,WT,2,2,positive_QTL,0.0238095238094991,0.00666463808439273,Inf,3.57251564271079,0.000353568355916436
QTL fixation,3 - 4,GW,2X,WT,2,2,positive_QTL,0.0911904761904746,0.0066646380843927,Inf,13.6827349115963,1.28757233747388e-42
QTL fixation,3 - 4,CV,2X,Chr,200,2,positive_QTL,0.0158668617410481,0.00666463808439271,Inf,2.38075369436867,0.0172772597477815
QTL fixation,3 - 4,GW,2X,Chr,200,2,positive_QTL,0.0274049382716057,0.00666463808439268,Inf,4.11199196784337,3.92259949437309e-05
QTL fixation,3 - 4,CV,20X,Peri,200,2,positive_QTL,0.0187832236040109,0.00666463808439269,Inf,2.81834112612921,0.00482724938000909
QTL fixation,3 - 4,GW,20X,Peri,200,2,positive_QTL,0.0173975308641955,0.00666463808439269,Inf,2.61042394859177,0.00904300765341073
QTL fixation,3 - 4,CV,2X,Peri,200,2,positive_QTL,0.0267398195562029,0.00666463808439273,Inf,4.01219379321171,6.01570830818082e-05
QTL fixation,3 - 4,GW,2X,Peri,200,2,positive_QTL,0.0185185185185196,0.00666463808439256,Inf,2.77862327766706,0.00545897947121349
QTL fixation,3 - 4,CV,20X,WT,200,2,positive_QTL,0.0214094123384478,0.00666463808439271,Inf,3.21238934017805,0.00131635849171084
QTL fixation,3 - 4,GW,20X,WT,200,2,positive_QTL,0.0198246913580246,0.00666463808439272,Inf,2.97460883951826,0.00293362364755313
QTL fixation,3 - 4,CV,2X,WT,200,2,positive_QTL,0.0202731041209495,0.00666463808439271,Inf,3.04189122713583,0.00235096832672962
QTL fixation,3 - 4,GW,2X,WT,200,2,positive_QTL,0.0177358024691346,0.00666463808439269,Inf,2.66118013379727,0.00778672866225105
QTL fixation,3 - 4,CV,20X,Chr,2,8,positive_QTL,0.0157142857142516,0.0066646380843927,Inf,2.35786032418646,0.0183806074218768
QTL fixation,3 - 4,GW,20X,Chr,2,8,positive_QTL,0.0499999999999573,0.0066646380843927,Inf,7.50228284969407,6.2715857433181e-14
QTL fixation,3 - 4,CV,2X,Chr,2,8,positive_QTL,0.0266666666666754,0.00666463808439271,Inf,4.00121751984157,6.30173940846761e-05
QTL fixation,3 - 4,GW,2X,Chr,2,8,positive_QTL,0.0900000000000008,0.00666463808439267,Inf,13.5041091294611,1.47891888668852e-41
QTL fixation,3 - 4,CV,20X,Peri,2,8,positive_QTL,0.0183333333333396,0.00666463808439271,Inf,2.75083704489111,0.00594432053959605
QTL fixation,3 - 4,GW,20X,Peri,2,8,positive_QTL,0.0642857142857116,0.00666463808439273,Inf,9.64579223532875,5.12141940079228e-22
QTL fixation,3 - 4,CV,2X,Peri,2,8,positive_QTL,0.041666666666664,0.00666463808439271,Inf,6.25190237474999,4.05482844149771e-10
QTL fixation,3 - 4,GW,2X,Peri,2,8,positive_QTL,0.090476190476192,0.00666463808439265,Inf,13.5755594423155,5.59151371129191e-42
QTL fixation,3 - 4,CV,20X,WT,2,8,positive_QTL,0.0216666666666672,0.0066646380843927,Inf,3.25098923487029,0.00115004212153211
