response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,2X,WT,2,4,CV,negative_QTL,DV,0.0766666666669242,0.0057683467791485,Inf,13.2909253902799,2.61326138176472e-40
QTL fixation,2 - 8,20X,Chr,200,4,CV,negative_QTL,DV,0.0268975065976333,0.00576834677914853,Inf,4.66294895703265,3.11710087406689e-06
QTL fixation,2 - 8,2X,Chr,200,4,CV,negative_QTL,DV,0.0235623917297414,0.00576834677914858,Inf,4.08477378907155,4.41197770932653e-05
QTL fixation,2 - 8,20X,Peri,200,4,CV,negative_QTL,DV,0.0275849691607719,0.00576834677914858,Inf,4.78212739575334,1.73449691762396e-06
QTL fixation,2 - 8,2X,Peri,200,4,CV,negative_QTL,DV,0.0242271248644845,0.00576834677914854,Inf,4.20001185644054,2.66901003566563e-05
QTL fixation,2 - 8,20X,WT,200,4,CV,negative_QTL,DV,0.0257429147936208,0.00576834677914846,Inf,4.4627890415113,8.08996914144455e-06
QTL fixation,2 - 8,2X,WT,200,4,CV,negative_QTL,DV,0.0250051567611,0.00576834677914852,Inf,4.33489138542935,1.45832108802326e-05
QTL fixation,2 - 8,2X,Peri,2,5,CV,negative_QTL,DV,0.0219047619048082,0.00576834677914855,Inf,3.79740725436092,0.000146217456673178
QTL fixation,2 - 8,20X,Chr,200,5,CV,negative_QTL,DV,0.0304703086475426,0.0057683467791486,Inf,5.28232955024246,1.27551488984298e-07
QTL fixation,2 - 8,2X,Chr,200,5,CV,negative_QTL,DV,0.0267761707343543,0.00576834677914855,Inf,4.64191418434568,3.45196234601578e-06
QTL fixation,2 - 8,20X,Peri,200,5,CV,negative_QTL,DV,0.0326996678872062,0.00576834677914857,Inf,5.66881103705641,1.43791843869508e-08
QTL fixation,2 - 8,2X,Peri,200,5,CV,negative_QTL,DV,0.023972820729776,0.00576834677914859,Inf,4.15592571799479,3.23973079331151e-05
QTL fixation,2 - 8,20X,WT,200,5,CV,negative_QTL,DV,0.0257394786279611,0.00576834677914854,Inf,4.4621933481885,8.11249753274895e-06
QTL fixation,2 - 8,2X,WT,200,5,CV,negative_QTL,DV,0.027499457616613,0.00576834677914851,Inf,4.76730312331747,1.86708295222147e-06
QTL fixation,2 - 8,20X,Chr,200,1,GW,negative_QTL,DV,0.0117082282302419,0.00576834677914859,Inf,2.02973723295638,0.0423832561026891
QTL fixation,2 - 8,20X,Chr,2,2,GW,negative_QTL,DV,-0.04738095238272,0.00576834677914853,Inf,-8.21395699613502,2.14016255211079e-16
QTL fixation,2 - 8,2X,Chr,2,2,GW,negative_QTL,DV,-0.0480952380948934,0.00576834677914848,Inf,-8.33778549319345,7.56947273717262e-17
QTL fixation,2 - 8,20X,Peri,2,2,GW,negative_QTL,DV,-0.0566666666662716,0.00576834677914854,Inf,-9.82372746227927,8.89908159701444e-23
QTL fixation,2 - 8,2X,Peri,2,2,GW,negative_QTL,DV,-0.0611904761905153,0.00576834677914865,Inf,-10.6079746127098,2.73615876785804e-26
QTL fixation,2 - 8,20X,WT,2,2,GW,negative_QTL,DV,-0.0511904761900459,0.00576834677914854,Inf,-8.87437564868492,7.03268142830961e-19
QTL fixation,2 - 8,2X,WT,2,2,GW,negative_QTL,DV,-0.0561904761905425,0.00576834677914852,Inf,-9.74117513074291,2.01213875201153e-22
QTL fixation,2 - 8,20X,Chr,2,3,GW,negative_QTL,DV,-0.0290476190471618,0.00576834677914851,Inf,-5.03569222851918,4.76125043418517e-07
QTL fixation,2 - 8,2X,Chr,2,3,GW,negative_QTL,DV,-0.0302380952386422,0.00576834677914852,Inf,-5.24207305773418,1.58782473589612e-07
QTL fixation,2 - 8,20X,Peri,2,3,GW,negative_QTL,DV,-0.0361904761906385,0.00576834677914851,Inf,-6.27397720287211,3.51940061088335e-10
QTL fixation,2 - 8,2X,Peri,2,3,GW,negative_QTL,DV,-0.0369047619047135,0.00576834677914845,Inf,-6.3978057002602,1.57625683913805e-10
QTL fixation,2 - 8,20X,WT,2,3,GW,negative_QTL,DV,-0.0390476190477518,0.00576834677914853,Inf,-6.76929119256517,1.29414840977318e-11
QTL fixation,2 - 8,2X,WT,2,3,GW,negative_QTL,DV,-0.045714285714236,0.00576834677914856,Inf,-7.92502383516264,2.28102575202024e-15
QTL fixation,2 - 8,20X,Chr,2,4,GW,negative_QTL,DV,0.0519047619038562,0.00576834677914852,Inf,8.99820414602707,2.29439872918231e-19
QTL fixation,2 - 8,2X,Chr,2,4,GW,negative_QTL,DV,0.0692857142861651,0.00576834677914853,Inf,12.0113642502597,3.09693464972015e-33
QTL fixation,2 - 8,20X,Peri,2,4,GW,negative_QTL,DV,0.0492857142861676,0.0057683467791486,Inf,8.54416632237254,1.29467469001328e-17
QTL fixation,2 - 8,2X,Peri,2,4,GW,negative_QTL,DV,0.0628571428570385,0.00576834677914861,Inf,10.8969077733423,1.19240987579911e-27
QTL fixation,2 - 8,20X,WT,2,4,GW,negative_QTL,DV,0.051190476190922,0.00576834677914853,Inf,8.87437564883682,7.03268141871161e-19
QTL fixation,2 - 8,2X,WT,2,4,GW,negative_QTL,DV,0.0688095238094317,0.00576834677914856,Inf,11.9288119185491,8.37603783329549e-33
QTL fixation,2 - 8,2X,WT,2,5,GW,negative_QTL,DV,0.020000000000051,0.00576834677914856,Inf,3.46719792789626,0.000525914481662778
QTL fixation,2 - 8,20X,Chr,200,5,GW,negative_QTL,DV,0.0200576361004397,0.00576834677914854,Inf,3.47718971628825,0.000506699148875169
QTL fixation,2 - 8,2X,Chr,200,5,GW,negative_QTL,DV,0.0145913878708128,0.00576834677914851,Inf,2.52956148953422,0.0114205160694009
QTL fixation,2 - 8,2X,WT,200,5,GW,negative_QTL,DV,0.011471808830263,0.0057683467791486,Inf,1.98875159027042,0.0467286285068947
QTL fixation,2 - 8,20X,Chr,2,1,CV,positive_QTL,DV,-0.0233333333268075,0.00576834677914836,Inf,-4.04506424807083,5.23087766575831e-05
QTL fixation,2 - 8,2X,Chr,2,1,CV,positive_QTL,DV,-0.0269047619016841,0.00576834677914853,Inf,-4.66420673579122,3.09809802947217e-06
QTL fixation,2 - 8,20X,Peri,2,1,CV,positive_QTL,DV,-0.0245238095232856,0.00576834677914834,Inf,-4.25144507815226,2.12395599197938e-05
QTL fixation,2 - 8,2X,Peri,2,1,CV,positive_QTL,DV,-0.022857142856719,0.00576834677914851,Inf,-3.96251191751218,7.41653037665403e-05
QTL fixation,2 - 8,20X,WT,2,1,CV,positive_QTL,DV,-0.0249999999991949,0.00576834677914856,Inf,-4.33399740971972,1.46425897838415e-05
QTL fixation,2 - 8,2X,WT,2,1,CV,positive_QTL,DV,-0.0249999999996664,0.00576834677914849,Inf,-4.33399740980151,1.46425897783984e-05
QTL fixation,2 - 8,20X,Chr,200,1,CV,positive_QTL,DV,-0.0623939074126202,0.00576834677914848,Inf,-10.816601324692,2.87232042199365e-27
QTL fixation,2 - 8,2X,Chr,200,1,CV,positive_QTL,DV,-0.0541460880492951,0.00576834677914857,Inf,-9.38676021438629,6.18741727363471e-21
QTL fixation,2 - 8,20X,Peri,200,1,CV,positive_QTL,DV,-0.0621273151353989,0.00576834677914856,Inf,-10.7703849151332,4.75011132457883e-27
QTL fixation,2 - 8,2X,Peri,200,1,CV,positive_QTL,DV,-0.0576454580691629,0.00576834677914862,Inf,-9.99341063847605,1.6287903963919e-23
QTL fixation,2 - 8,20X,WT,200,1,CV,positive_QTL,DV,-0.0535202272858378,0.00576834677914849,Inf,-9.27826105727616,1.72267003551835e-20
QTL fixation,2 - 8,2X,WT,200,1,CV,positive_QTL,DV,-0.0577090280306408,0.00576834677914849,Inf,-10.0044311204119,1.4572681854366e-23
QTL fixation,2 - 8,20X,Chr,2,2,CV,positive_QTL,DV,0.0402380952359054,0.00576834677914864,Inf,6.9756720212033,3.04412147683273e-12
QTL fixation,2 - 8,2X,Chr,2,2,CV,positive_QTL,DV,0.0361904761909167,0.00576834677914853,Inf,6.27397720292031,3.51940060979324e-10
QTL fixation,2 - 8,20X,Peri,2,2,CV,positive_QTL,DV,0.04214285714369,0.00576834677914859,Inf,7.30588134819287,2.75455166606024e-13
