response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,20X,WT,2,2,3,negative_QTL,-0.0178571428563982,0.00666463808439195,Inf,-2.67938673192445,0.00737571524817928
QTL fixation,CV - GW,2X,Chr,200,2,3,negative_QTL,0.016925246778071,0.00666463808439276,Inf,2.53955977260139,0.0110992077666088
QTL fixation,CV - GW,20X,Peri,200,2,3,negative_QTL,0.015653844139168,0.0066646380843926,Inf,2.34879132834332,0.0188344588084066
QTL fixation,CV - GW,2X,Peri,200,2,3,negative_QTL,0.0277335952387489,0.00666463808439264,Inf,4.16130551840405,3.16433412353884e-05
QTL fixation,CV - GW,20X,WT,200,2,3,negative_QTL,0.0279378561687518,0.00666463808439264,Inf,4.19195398384454,2.76562100422065e-05
QTL fixation,CV - GW,2X,WT,200,2,3,negative_QTL,0.0259429967397243,0.0066646380843927,Inf,3.89263399020539,9.91616995407768e-05
QTL fixation,CV - GW,20X,Chr,2,8,3,negative_QTL,-0.0333333333329505,0.00666463808439293,Inf,-5.00152189974271,5.68795043353411e-07
QTL fixation,CV - GW,2X,Chr,2,8,3,negative_QTL,-0.0266666666663406,0.00666463808439268,Inf,-4.00121751979134,6.30173940980539e-05
QTL fixation,CV - GW,20X,Peri,2,8,3,negative_QTL,-0.0245238095238054,0.00666463808439264,Inf,-3.67969111199537,0.000233516632378187
QTL fixation,CV - GW,2X,Peri,2,8,3,negative_QTL,-0.0307142857143001,0.00666463808439269,Inf,-4.60854517910389,4.05496269831699e-06
QTL fixation,CV - GW,20X,WT,2,8,3,negative_QTL,-0.0385714285714357,0.00666463808439263,Inf,-5.78747534119864,7.14521723546544e-09
QTL fixation,CV - GW,2X,WT,2,8,3,negative_QTL,-0.040476190476209,0.0066646380843927,Inf,-6.07327659261745,1.25326314376633e-09
QTL fixation,CV - GW,20X,Chr,2,2,4,negative_QTL,-0.046428571427908,0.0066646380843929,Inf,-6.96640550319356,3.25141111294215e-12
QTL fixation,CV - GW,2X,Chr,2,2,4,negative_QTL,-0.0399999999995766,0.0066646380843927,Inf,-6.00182627969686,1.951103925697e-09
QTL fixation,CV - GW,20X,Peri,2,2,4,negative_QTL,-0.025238095238194,0.00666463808439262,Inf,-3.78686658129225,0.000152558961317539
QTL fixation,CV - GW,2X,Peri,2,2,4,negative_QTL,-0.0392857142857264,0.00666463808439267,Inf,-5.89465081048079,3.75474538357413e-09
QTL fixation,CV - GW,20X,WT,2,2,4,negative_QTL,-0.0654761904763125,0.00666463808439267,Inf,-9.82441801748326,8.83830494372508e-23
QTL fixation,CV - GW,2X,WT,2,2,4,negative_QTL,-0.0471428571428634,0.00666463808439271,Inf,-7.07358097257566,1.50985753268199e-12
QTL fixation,CV - GW,2X,Chr,200,2,4,negative_QTL,0.0305382463175248,0.00666463808439271,Inf,4.5821312321579,4.60260891419506e-06
QTL fixation,CV - GW,20X,Peri,200,2,4,negative_QTL,0.0199242081877154,0.00666463808439268,Inf,2.98954090761119,0.00279397032335475
QTL fixation,CV - GW,2X,Peri,200,2,4,negative_QTL,0.023776966774138,0.00666463808439268,Inf,3.56763060095029,0.000360223848003361
QTL fixation,CV - GW,20X,WT,200,2,4,negative_QTL,0.0293816648152694,0.00666463808439271,Inf,4.40859120078487,1.04045205501529e-05
QTL fixation,CV - GW,2X,WT,200,2,4,negative_QTL,0.0259639871034193,0.00666463808439271,Inf,3.89578350311653,9.78817934495461e-05
QTL fixation,CV - GW,20X,Chr,2,8,4,negative_QTL,-0.0495238095236196,0.00666463808439267,Inf,-7.43083253681772,1.0791626821198e-13
QTL fixation,CV - GW,2X,Chr,2,8,4,negative_QTL,-0.0680952380952187,0.0066646380843927,Inf,-10.2173947381606,1.65735320399533e-24
QTL fixation,CV - GW,20X,Peri,2,8,4,negative_QTL,-0.0528571428571579,0.00666463808439268,Inf,-7.9309847268285,2.17414959498407e-15
QTL fixation,CV - GW,2X,Peri,2,8,4,negative_QTL,-0.0609523809523842,0.0066646380843927,Inf,-9.14564004534965,5.92777896365586e-20
QTL fixation,CV - GW,20X,WT,2,8,4,negative_QTL,-0.0892857142857218,0.00666463808439268,Inf,-13.3969336601806,6.30132357147214e-41
QTL fixation,CV - GW,2X,WT,2,8,4,negative_QTL,-0.0835714285714327,0.00666463808439271,Inf,-12.5395299059285,4.536787596065e-36
QTL fixation,CV - GW,2X,Peri,200,8,4,negative_QTL,0.0135467374714386,0.00666463808439262,Inf,2.0326291240274,0.0420900068024829
QTL fixation,CV - GW,20X,Chr,2,2,3,positive_QTL,0.265000000000899,0.00666463808439266,Inf,39.7620991035477,0
QTL fixation,CV - GW,2X,Chr,2,2,3,positive_QTL,0.221904761904582,0.00666463808439264,Inf,33.2958457900726,4.43434610851722e-243
QTL fixation,CV - GW,20X,Peri,2,2,3,positive_QTL,0.277619047619065,0.00666463808439271,Inf,41.6555323940538,0
QTL fixation,CV - GW,2X,Peri,2,2,3,positive_QTL,0.218333333333295,0.00666463808439269,Inf,32.7599684436864,2.18978282205976e-235
QTL fixation,CV - GW,20X,WT,2,2,3,positive_QTL,0.208333333333347,0.00666463808439267,Inf,31.2595118737543,1.65786855409851e-214
QTL fixation,CV - GW,2X,WT,2,2,3,positive_QTL,0.204047619047591,0.00666463808439274,Inf,30.616459058059,7.39166820893279e-206
QTL fixation,CV - GW,2X,Chr,200,2,3,positive_QTL,0.0191012454053765,0.00666463808439269,Inf,2.86605891625353,0.004156168885218
QTL fixation,CV - GW,20X,Peri,200,2,3,positive_QTL,0.0211307973665063,0.0066646380843927,Inf,3.17058437366473,0.00152132644263631
QTL fixation,CV - GW,2X,Peri,200,2,3,positive_QTL,0.0319308280726446,0.00666463808439269,Inf,4.79108207652272,1.65884246102812e-06
QTL fixation,CV - GW,20X,WT,200,2,3,positive_QTL,0.030977300929308,0.00666463808439271,Inf,4.64800946983915,3.35153530824656e-06
QTL fixation,CV - GW,2X,WT,200,2,3,positive_QTL,0.02845883479188,0.00666463808439276,Inf,4.27012456363157,1.95363825460447e-05
QTL fixation,CV - GW,20X,Chr,2,8,3,positive_QTL,0.28857142857143,0.00666463808439265,Inf,43.2988895897004,0
QTL fixation,CV - GW,2X,Chr,2,8,3,positive_QTL,0.220476190476198,0.00666463808439267,Inf,33.0814948515377,5.48542417684163e-240
QTL fixation,CV - GW,20X,Peri,2,8,3,positive_QTL,0.247142857142866,0.0066646380843927,Inf,37.082712371378,5.33701471372906e-301
QTL fixation,CV - GW,2X,Peri,2,8,3,positive_QTL,0.219761904761901,0.00666463808439272,Inf,32.9743193822543,1.89637612267921e-238
QTL fixation,CV - GW,20X,WT,2,8,3,positive_QTL,0.186666666666668,0.00666463808439269,Inf,28.008522638882,1.27940470444679e-172
QTL fixation,CV - GW,2X,WT,2,8,3,positive_QTL,0.171666666666664,0.00666463808439272,Inf,25.7578377839712,2.63343219601843e-146
QTL fixation,CV - GW,20X,Chr,2,2,4,positive_QTL,0.302857142856845,0.00666463808439269,Inf,45.442398975284,0
QTL fixation,CV - GW,2X,Chr,2,2,4,positive_QTL,0.283571428571445,0.00666463808439273,Inf,42.5486613047322,0
QTL fixation,CV - GW,20X,Peri,2,2,4,positive_QTL,0.302857142857145,0.0066646380843927,Inf,45.4423989753288,0
QTL fixation,CV - GW,2X,Peri,2,2,4,positive_QTL,0.271428571428573,0.00666463808439275,Inf,40.7266783269453,0
QTL fixation,CV - GW,20X,WT,2,2,4,positive_QTL,0.278809523809538,0.00666463808439272,Inf,41.8341581761889,0
QTL fixation,CV - GW,2X,WT,2,2,4,positive_QTL,0.271428571428567,0.00666463808439272,Inf,40.7266783269446,0
QTL fixation,CV - GW,2X,Chr,200,2,4,positive_QTL,0.0306393219359341,0.00666463808439272,Inf,4.59729718972819,4.28006912416231e-06
QTL fixation,CV - GW,20X,Peri,200,2,4,positive_QTL,0.0197451046266908,0.00666463808439268,Inf,2.96266719612729,0.00304986123255711
QTL fixation,CV - GW,2X,Peri,200,2,4,positive_QTL,0.0237095270349613,0.00666463808439266,Inf,3.55751156097801,0.0003743846291167
QTL fixation,CV - GW,20X,WT,200,2,4,positive_QTL,0.0293925799488848,0.00666463808439274,Inf,4.41022896917934,1.03261375399027e-05
QTL fixation,CV - GW,2X,WT,200,2,4,positive_QTL,0.025921533140065,0.00666463808439274,Inf,3.88941347029302,0.00010048678905141
QTL fixation,CV - GW,20X,Chr,2,8,4,positive_QTL,0.322857142857135,0.00666463808439269,Inf,48.4433121152077,0
QTL fixation,CV - GW,2X,Chr,2,8,4,positive_QTL,0.283809523809524,0.00666463808439266,Inf,42.5843864611573,0
QTL fixation,CV - GW,20X,Peri,2,8,4,positive_QTL,0.293095238095238,0.00666463808439272,Inf,43.9776675618155,0
QTL fixation,CV - GW,2X,Peri,2,8,4,positive_QTL,0.268571428571429,0.00666463808439264,Inf,40.2979764498202,0
QTL fixation,CV - GW,20X,WT,2,8,4,positive_QTL,0.254761904761905,0.00666463808439271,Inf,38.2259173770452,0
QTL fixation,CV - GW,2X,WT,2,8,4,positive_QTL,0.264761904761906,0.00666463808439265,Inf,39.7263739469858,0
QTL fixation,CV - GW,2X,Peri,200,8,4,positive_QTL,0.0132242650843969,0.0066646380843925,Inf,1.98424354285133,0.0472286965848611
