response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 200,Chr,20X,2,4,CV,large_neg,DV,-0.063644469782485,0.00754599282974326,Inf,-8.43420756134622,3.3345445329022e-17
QTL AF,2 - 200,Peri,20X,2,4,CV,large_neg,DV,-0.062469256973677,0.0075459928297412,Inf,-8.27846757652161,1.24770460298936e-16
QTL AF,2 - 200,WT,20X,2,4,CV,large_neg,DV,-0.0747215148275678,0.00754599282974104,Inf,-9.90214495474574,4.07441116915826e-23
QTL AF,2 - 200,Chr,2X,2,4,CV,large_neg,DV,-0.0561427420442131,0.0075459928297401,Inf,-7.44007360077848,1.00629218406593e-13
QTL AF,2 - 200,Peri,2X,2,4,CV,large_neg,DV,-0.0549750441144547,0.00754599282974132,Inf,-7.28532949273147,3.20885076897351e-13
QTL AF,2 - 200,WT,2X,2,4,CV,large_neg,DV,-0.0647183539344314,0.00754599282974139,Inf,-8.57651940502167,9.77871804950937e-18
QTL AF,2 - 200,Chr,20X,8,4,CV,large_neg,DV,0.0623440370496223,0.00754599282974034,Inf,8.26187334871449,1.43403817290645e-16
QTL AF,2 - 200,Peri,20X,8,4,CV,large_neg,DV,0.060615185604,0.00754599282974132,Inf,8.03276480267712,9.5300254540768e-16
QTL AF,2 - 200,WT,20X,8,4,CV,large_neg,DV,0.0496109571349475,0.00754599282974129,Inf,6.57447711047565,4.88244397989348e-11
QTL AF,2 - 200,Chr,2X,8,4,CV,large_neg,DV,0.0510138741201295,0.00754599282974067,Inf,6.76039260454514,1.37618308395737e-11
QTL AF,2 - 200,Peri,2X,8,4,CV,large_neg,DV,0.0478974665784414,0.00754599282974137,Inf,6.34740419970463,2.18978252726275e-10
QTL AF,2 - 200,WT,2X,8,4,CV,large_neg,DV,0.0488187936441826,0.00754599282974144,Inf,6.46949907661858,9.83283314738888e-11
QTL AF,2 - 200,Chr,20X,2,5,CV,large_neg,DV,-0.175088689358706,0.00754599282974374,Inf,-23.2028698289462,4.25938887394819e-119
QTL AF,2 - 200,Peri,20X,2,5,CV,large_neg,DV,-0.148725622632595,0.00754599282974077,Inf,-19.7092186526374,1.79720425713265e-86
QTL AF,2 - 200,WT,20X,2,5,CV,large_neg,DV,-0.161944671578975,0.00754599282974208,Inf,-21.4610158309029,3.60344479832096e-102
QTL AF,2 - 200,Chr,2X,2,5,CV,large_neg,DV,-0.16089974749625,0.00754599282974024,Inf,-21.322541794913,7.01433844539333e-101
