response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
prediction accuracy,2 - 8,20X,Chr,2,3,CV,-0.363933740199557,0.0234565506358836,Inf,-15.5152283832737,2.7365934437807e-54
prediction accuracy,2 - 8,2X,Chr,2,3,CV,-0.265719210144128,0.0234565506358834,Inf,-11.3281451424335,9.51994034661516e-30
prediction accuracy,2 - 8,20X,Peri,2,3,CV,-0.290944279104069,0.0235157451409896,Inf,-12.3723180940983,3.6901549719105e-35
prediction accuracy,2 - 8,2X,Peri,2,3,CV,-0.292354173374318,0.0234565506358832,Inf,-12.4636472733157,1.17854673738349e-35
prediction accuracy,2 - 8,20X,WT,2,3,CV,-0.317193180430957,0.0234565506358832,Inf,-13.5225841750885,1.15061784182463e-41
prediction accuracy,2 - 8,2X,WT,2,3,CV,-0.338946970972109,0.0234565506358833,Inf,-14.4499920825356,2.5071467914051e-47
prediction accuracy,2 - 8,20X,Chr,200,3,CV,-0.370516231759969,0.0234565506358834,Inf,-15.7958532570071,3.32266727626953e-56
prediction accuracy,2 - 8,2X,Chr,200,3,CV,-0.370549678055155,0.0234565506358833,Inf,-15.7972791399387,3.24837297121892e-56
prediction accuracy,2 - 8,20X,Peri,200,3,CV,-0.381147987879226,0.0234565506358833,Inf,-16.2491064349485,2.26643714296311e-59
prediction accuracy,2 - 8,2X,Peri,200,3,CV,-0.373273617842227,0.0234565506358833,Inf,-15.9134061796453,5.11531144629708e-57
prediction accuracy,2 - 8,20X,WT,200,3,CV,-0.373308533579518,0.0234565506358833,Inf,-15.9148947078535,4.99509691398413e-57
prediction accuracy,2 - 8,2X,WT,200,3,CV,-0.382953440497846,0.0234565506358834,Inf,-16.3260765166389,6.43946963216984e-60
prediction accuracy,2 - 8,20X,Chr,2,4,CV,-0.367622596350456,0.0234565506358833,Inf,-15.6724917511134,2.33252710488256e-55
prediction accuracy,2 - 8,2X,Chr,2,4,CV,-0.345547966937478,0.0234565506358833,Inf,-14.7314058363239,4.05188216413055e-49
prediction accuracy,2 - 8,20X,Peri,2,4,CV,-0.355530720830826,0.0234565506358834,Inf,-15.1569907421487,6.81196736461482e-52
prediction accuracy,2 - 8,2X,Peri,2,4,CV,-0.320163984688361,0.0234565506358834,Inf,-13.6492355444019,2.04007406926095e-42
prediction accuracy,2 - 8,20X,WT,2,4,CV,-0.333419779188145,0.0234565506358832,Inf,-14.2143567638665,7.46340541963689e-46
prediction accuracy,2 - 8,2X,WT,2,4,CV,-0.379759418770376,0.0234565506358833,Inf,-16.18990893697,5.94164405846762e-59
prediction accuracy,2 - 8,20X,Chr,200,4,CV,-0.356839357749354,0.0234565506358832,Inf,-15.2127805698537,2.90919373196966e-52
prediction accuracy,2 - 8,2X,Chr,200,4,CV,-0.376537539764914,0.0234565506358834,Inf,-16.0525537454299,5.48595643189157e-58
prediction accuracy,2 - 8,20X,Peri,200,4,CV,-0.384038624138744,0.0234565506358833,Inf,-16.3723400810369,3.01398946008994e-60
prediction accuracy,2 - 8,2X,Peri,200,4,CV,-0.389103915282745,0.0234565506358835,Inf,-16.5882836450599,8.47066454879291e-62
prediction accuracy,2 - 8,20X,WT,200,4,CV,-0.393465938752043,0.0234565506358834,Inf,-16.7742454915825,3.76612251309973e-63
prediction accuracy,2 - 8,2X,WT,200,4,CV,-0.372290966655841,0.0234565506358834,Inf,-15.8715137803048,9.98043910792385e-57
prediction accuracy,2 - 8,20X,Chr,2,3,GW,-0.204188723688805,0.023456550635883,Inf,-8.70497656959181,3.17640370216311e-18
prediction accuracy,2 - 8,2X,Chr,2,3,GW,-0.199503394486963,0.0234565506358833,Inf,-8.50523154848555,1.81233514801558e-17
prediction accuracy,2 - 8,20X,Peri,2,3,GW,-0.169071395872014,0.0234565506358832,Inf,-7.20785415112883,5.68404618665777e-13
