response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,Chr,20X,2,3,CV,negative_QTL,-0.184173546520463,0.00591079169084486,Inf,-31.1588626622939,3.84720215331492e-213
QTL fixation,2 - 200,Peri,20X,2,3,CV,negative_QTL,-0.18916605705907,0.00591079169084524,Inf,-32.0035059520122,9.74582049738301e-225
QTL fixation,2 - 200,WT,20X,2,3,CV,negative_QTL,-0.242017278015633,0.00591079169084497,Inf,-40.9449851515636,0
QTL fixation,2 - 200,Chr,2X,2,3,CV,negative_QTL,-0.21146741213029,0.00591079169084499,Inf,-35.7764954663897,2.56292677026237e-280
QTL fixation,2 - 200,Peri,2X,2,3,CV,negative_QTL,-0.211907722854942,0.00591079169084518,Inf,-35.8509881481954,1.77499307700908e-281
QTL fixation,2 - 200,WT,2X,2,3,CV,negative_QTL,-0.235874873724132,0.00591079169084511,Inf,-39.9058004513109,0
QTL fixation,2 - 200,Chr,20X,8,3,CV,negative_QTL,-0.20202198070227,0.00591079169084506,Inf,-34.1784977831603,5.04645569776573e-256
QTL fixation,2 - 200,Peri,20X,8,3,CV,negative_QTL,-0.229845159717073,0.00591079169084514,Inf,-38.8856809271532,0
QTL fixation,2 - 200,WT,20X,8,3,CV,negative_QTL,-0.277746194307926,0.0059107916908451,Inf,-46.9896773283537,0
QTL fixation,2 - 200,Chr,2X,8,3,CV,negative_QTL,-0.251691921830259,0.0059107916908451,Inf,-42.5817614618513,0
QTL fixation,2 - 200,Peri,2X,8,3,CV,negative_QTL,-0.25502159751979,0.00591079169084515,Inf,-43.1450829023084,0
QTL fixation,2 - 200,WT,2X,8,3,CV,negative_QTL,-0.271045041279144,0.00591079169084513,Inf,-45.8559623576229,0
QTL fixation,2 - 200,Chr,20X,2,4,CV,negative_QTL,-0.208992231860552,0.00591079169084517,Inf,-35.3577393336743,7.62431995847891e-274
QTL fixation,2 - 200,Peri,20X,2,4,CV,negative_QTL,-0.212167241439372,0.00591079169084517,Inf,-35.8948940406721,3.66975935081237e-282
QTL fixation,2 - 200,WT,20X,2,4,CV,negative_QTL,-0.259731250217753,0.00591079169084511,Inf,-43.9418717157697,0
QTL fixation,2 - 200,Chr,2X,2,4,CV,negative_QTL,-0.228121189953193,0.00591079169084517,Inf,-38.5940161461813,0
QTL fixation,2 - 200,Peri,2X,2,4,CV,negative_QTL,-0.226343748911432,0.00591079169084516,Inf,-38.2933049834934,0
QTL fixation,2 - 200,WT,2X,2,4,CV,negative_QTL,-0.24020082209914,0.00591079169084514,Inf,-40.6376733714322,0
QTL fixation,2 - 200,Chr,20X,8,4,CV,negative_QTL,-0.238224474866045,0.00591079169084519,Inf,-40.3033108466696,0
QTL fixation,2 - 200,Peri,20X,8,4,CV,negative_QTL,-0.262128400738542,0.00591079169084515,Inf,-44.3474266136863,0
QTL fixation,2 - 200,WT,20X,8,4,CV,negative_QTL,-0.307550597415309,0.00591079169084516,Inf,-52.0320480743137,0
QTL fixation,2 - 200,Chr,2X,8,4,CV,negative_QTL,-0.28075521649784,0.00591079169084516,Inf,-47.4987499445605,0
QTL fixation,2 - 200,Peri,2X,8,4,CV,negative_QTL,-0.288697007698473,0.00591079169084513,Inf,-48.8423586548683,0
QTL fixation,2 - 200,WT,2X,8,4,CV,negative_QTL,-0.310122444003211,0.00591079169084511,Inf,-52.4671584152665,0
QTL fixation,2 - 200,Chr,20X,2,3,GW,negative_QTL,-0.178574250442336,0.00591079169084524,Inf,-30.2115621362391,1.6697377324373e-200
QTL fixation,2 - 200,Peri,20X,2,3,GW,negative_QTL,-0.179733333333156,0.00591079169084517,Inf,-30.4076581841876,4.35085031752723e-203
QTL fixation,2 - 200,WT,20X,2,3,GW,negative_QTL,-0.210101587301405,0.00591079169084512,Inf,-35.5454223884796,9.77816393542334e-277
QTL fixation,2 - 200,Chr,2X,2,3,GW,negative_QTL,-0.200434920634273,0.00591079169084517,Inf,-33.909995668552,4.74537929907567e-252
QTL fixation,2 - 200,Peri,2X,2,3,GW,negative_QTL,-0.194355908289296,0.00591079169084517,Inf,-32.8815357493178,4.03636695985148e-237
QTL fixation,2 - 200,WT,2X,2,3,GW,negative_QTL,-0.211474074074117,0.00591079169084514,Inf,-35.7776225478654,2.46155868417354e-280
QTL fixation,2 - 200,Chr,20X,8,3,GW,negative_QTL,-0.185860670193283,0.00591079169084519,Inf,-31.4442937451423,5.02358033668741e-217
QTL fixation,2 - 200,Peri,20X,8,3,GW,negative_QTL,-0.196610229276909,0.00591079169084515,Inf,-33.262926450517,1.32752709939632e-242
QTL fixation,2 - 200,WT,20X,8,3,GW,negative_QTL,-0.233281481481517,0.00591079169084516,Inf,-39.4670449717981,0
QTL fixation,2 - 200,Chr,2X,8,3,GW,negative_QTL,-0.223122398589139,0.00591079169084515,Inf,-37.7483102533826,0
QTL fixation,2 - 200,Peri,2X,8,3,GW,negative_QTL,-0.22139012345681,0.00591079169084514,Inf,-37.4552403529475,4.93552511054026e-307
QTL fixation,2 - 200,WT,2X,8,3,GW,negative_QTL,-0.232312522045868,0.00591079169084514,Inf,-39.3031144044008,0
QTL fixation,2 - 200,Chr,20X,2,4,GW,negative_QTL,-0.151520987653562,0.00591079169084525,Inf,-25.6346350165309,6.27347568387459e-145
QTL fixation,2 - 200,Peri,20X,2,4,GW,negative_QTL,-0.151785185185217,0.00591079169084516,Inf,-25.6793325030058,1.98931625057715e-145
QTL fixation,2 - 200,WT,20X,2,4,GW,negative_QTL,-0.160110758377436,0.00591079169084516,Inf,-27.087870246793,1.36835198638539e-161
QTL fixation,2 - 200,Chr,2X,2,4,GW,negative_QTL,-0.162065255732056,0.00591079169084518,Inf,-27.418536163788,1.64895414161677e-165
QTL fixation,2 - 200,Peri,2X,2,4,GW,negative_QTL,-0.144491710758379,0.00591079169084516,Inf,-24.4454073694007,5.63141845266887e-132
QTL fixation,2 - 200,WT,2X,2,4,GW,negative_QTL,-0.160580952380956,0.00591079169084513,Inf,-27.1674186437107,1.57665748620323e-162
QTL fixation,2 - 200,Chr,20X,8,4,GW,negative_QTL,-0.185410229277112,0.00591079169084518,Inf,-31.3680872165198,5.51425270749887e-216
QTL fixation,2 - 200,Peri,20X,8,4,GW,negative_QTL,-0.192284303350972,0.00591079169084516,Inf,-32.531057328376,3.88051086428168e-232
QTL fixation,2 - 200,WT,20X,8,4,GW,negative_QTL,-0.19556895943562,0.00591079169084514,Inf,-33.0867622586877,4.60741944286468e-240
QTL fixation,2 - 200,Chr,2X,8,4,GW,negative_QTL,-0.204704056437395,0.00591079169084517,Inf,-34.6322569199059,8.26360446918078e-263
QTL fixation,2 - 200,Peri,2X,8,4,GW,negative_QTL,-0.20871463844797,0.00591079169084513,Inf,-35.3107755042756,4.01291169716677e-273
QTL fixation,2 - 200,WT,2X,8,4,GW,negative_QTL,-0.206541093474425,0.00591079169084507,Inf,-34.9430506567041,1.65119116666783e-267
QTL fixation,2 - 200,Chr,20X,2,3,CV,positive_QTL,0.440966489009777,0.00591079169084532,Inf,74.6036253811396,0
