response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,1 - 2,CV,20X,Chr,2,2,negative_QTL,DV,-0.212142857136898,0.00541011292048632,Inf,-39.2122789773172,0
QTL fixation,1 - 3,CV,20X,Chr,2,2,negative_QTL,DV,-0.281904761899256,0.00541011292048535,Inf,-52.1070014697523,0
QTL fixation,1 - 4,CV,20X,Chr,2,2,negative_QTL,DV,-0.146904761896057,0.00541011292048438,Inf,-27.1537330283494,0
QTL fixation,1 - 5,CV,20X,Chr,2,2,negative_QTL,DV,-0.29785714285138,0.00541011292048461,Inf,-55.0556240191562,0
QTL fixation,2 - 3,CV,20X,Chr,2,2,negative_QTL,DV,-0.0697619047623583,0.00541011292048763,Inf,-12.8947224924227,0
QTL fixation,2 - 4,CV,20X,Chr,2,2,negative_QTL,DV,0.0652380952408411,0.00541011292048703,Inf,12.0585459489759,0
QTL fixation,2 - 5,CV,20X,Chr,2,2,negative_QTL,DV,-0.0857142857144824,0.00541011292048719,Inf,-15.8433450418191,0
QTL fixation,3 - 4,CV,20X,Chr,2,2,negative_QTL,DV,0.135000000003199,0.00541011292048719,Inf,24.9532684413993,0
QTL fixation,3 - 5,CV,20X,Chr,2,2,negative_QTL,DV,-0.0159523809521241,0.00541011292048739,Inf,-2.94862254939532,0.0264852558583213
QTL fixation,4 - 5,CV,20X,Chr,2,2,negative_QTL,DV,-0.150952380955323,0.00541011292048678,Inf,-27.9018909907968,0
QTL fixation,1 - 2,GW,20X,Chr,2,2,negative_QTL,DV,-0.268809523813743,0.00541011292048728,Inf,-49.6864904234812,0
QTL fixation,1 - 3,GW,20X,Chr,2,2,negative_QTL,DV,-0.342619047623189,0.00541011292048739,Inf,-63.3293708761116,0
QTL fixation,1 - 4,GW,20X,Chr,2,2,negative_QTL,DV,-0.176190476195774,0.00541011292048703,Inf,-32.5668759202003,0
QTL fixation,1 - 5,GW,20X,Chr,2,2,negative_QTL,DV,-0.368095238099519,0.00541011292048708,Inf,-68.0383650968931,0
QTL fixation,2 - 3,GW,20X,Chr,2,2,negative_QTL,DV,-0.0738095238094462,0.00541011292048739,Inf,-13.6428804526314,0
QTL fixation,2 - 4,GW,20X,Chr,2,2,negative_QTL,DV,0.0926190476179694,0.00541011292048716,Inf,17.1196145032827,0
QTL fixation,2 - 5,GW,20X,Chr,2,2,negative_QTL,DV,-0.0992857142857755,0.00541011292048721,Inf,-18.3518746734096,0
QTL fixation,3 - 4,GW,20X,Chr,2,2,negative_QTL,DV,0.166428571427416,0.00541011292048722,Inf,30.7624949559144,0
QTL fixation,3 - 5,GW,20X,Chr,2,2,negative_QTL,DV,-0.0254761904763293,0.00541011292048725,Inf,-4.70899422077772,2.45438781378837e-05
QTL fixation,4 - 5,GW,20X,Chr,2,2,negative_QTL,DV,-0.191904761903745,0.00541011292048695,Inf,-35.4714891766939,0
QTL fixation,1 - 2,CV,2X,Chr,2,2,negative_QTL,DV,-0.213333333339187,0.00541011292048764,Inf,-39.4323254384047,0
QTL fixation,1 - 3,CV,2X,Chr,2,2,negative_QTL,DV,-0.283095238100869,0.00541011292048728,Inf,-52.3270479307057,0
QTL fixation,1 - 4,CV,2X,Chr,2,2,negative_QTL,DV,-0.142380952388003,0.00541011292048736,Inf,-26.317556487375,0
QTL fixation,1 - 5,CV,2X,Chr,2,2,negative_QTL,DV,-0.29619047619622,0.00541011292048738,Inf,-54.7475589787758,0
QTL fixation,2 - 3,CV,2X,Chr,2,2,negative_QTL,DV,-0.0697619047616817,0.0054101129204873,Inf,-12.8947224922984,0
QTL fixation,2 - 4,CV,2X,Chr,2,2,negative_QTL,DV,0.0709523809511836,0.00541011292048724,Inf,13.1147689510321,0
QTL fixation,2 - 5,CV,2X,Chr,2,2,negative_QTL,DV,-0.082857142857033,0.00541011292048733,Inf,-15.3152335403693,0
QTL fixation,3 - 4,CV,2X,Chr,2,2,negative_QTL,DV,0.140714285712865,0.0054101129204873,Inf,26.0094914433303,0
QTL fixation,4 - 5,CV,2X,Chr,2,2,negative_QTL,DV,-0.153809523808217,0.00541011292048733,Inf,-28.4300024914012,0
QTL fixation,1 - 2,GW,2X,Chr,2,2,negative_QTL,DV,-0.261904761905614,0.00541011292048736,Inf,-48.410220961159,0
QTL fixation,1 - 3,GW,2X,Chr,2,2,negative_QTL,DV,-0.337380952381728,0.00541011292048735,Inf,-62.3611664562699,0
QTL fixation,1 - 4,GW,2X,Chr,2,2,negative_QTL,DV,-0.184047619048181,0.00541011292048735,Inf,-34.0191825481532,0
QTL fixation,1 - 5,GW,2X,Chr,2,2,negative_QTL,DV,-0.362380952381697,0.00541011292048737,Inf,-66.9821420934504,0
QTL fixation,2 - 3,GW,2X,Chr,2,2,negative_QTL,DV,-0.0754761904761138,0.00541011292048731,Inf,-13.9509454951109,0
QTL fixation,2 - 4,GW,2X,Chr,2,2,negative_QTL,DV,0.077857142857433,0.0054101129204873,Inf,14.391038413006,0
QTL fixation,2 - 5,GW,2X,Chr,2,2,negative_QTL,DV,-0.100476190476083,0.00541011292048733,Inf,-18.5719211322916,0
QTL fixation,3 - 4,GW,2X,Chr,2,2,negative_QTL,DV,0.153333333333547,0.00541011292048733,Inf,28.3419839081168,0
QTL fixation,3 - 5,GW,2X,Chr,2,2,negative_QTL,DV,-0.0249999999999689,0.00541011292048733,Inf,-4.62097563718077,3.75698540383551e-05
