response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,Chr - Peri,20X,200,2,3,CV,negative_QTL,-0.0159448914901006,0.00591079169084511,Inf,-2.69758981944783,0.0191376249265518
QTL fixation,Chr - WT,20X,200,2,3,CV,negative_QTL,-0.0549865886371039,0.00591079169084502,Inf,-9.30274513349376,3.11972669919669e-14
QTL fixation,Peri - WT,20X,200,2,3,CV,negative_QTL,-0.0390416971470033,0.00591079169084514,Inf,-6.60515531404576,1.19142917753834e-10
QTL fixation,Chr - WT,2X,200,2,3,CV,negative_QTL,-0.019407461594716,0.00591079169084514,Inf,-3.28339461273437,0.0029465308773523
QTL fixation,Peri - WT,2X,200,2,3,CV,negative_QTL,-0.0165861984881883,0.00591079169084517,Inf,-2.80608746775454,0.0138935952396611
QTL fixation,Chr - Peri,20X,200,8,3,CV,negative_QTL,-0.027346988539412,0.00591079169084513,Inf,-4.62662025152537,1.10882490329534e-05
QTL fixation,Chr - WT,20X,200,8,3,CV,negative_QTL,-0.0740575469398078,0.00591079169084511,Inf,-12.5292094212204,0
QTL fixation,Peri - WT,20X,200,8,3,CV,negative_QTL,-0.0467105584003958,0.00591079169084515,Inf,-7.90258916969495,5.11812814352197e-14
QTL fixation,Chr - WT,2X,200,8,3,CV,negative_QTL,-0.0198293099243967,0.00591079169084516,Inf,-3.35476378826022,0.00229104598679231
QTL fixation,Peri - WT,2X,200,8,3,CV,negative_QTL,-0.0181663009022137,0.00591079169084517,Inf,-3.07341247202981,0.00599698999652243
QTL fixation,Chr - WT,20X,200,2,4,CV,negative_QTL,-0.0514533040722117,0.00591079169084514,Inf,-8.70497672112258,2.4757973449141e-14
QTL fixation,Peri - WT,20X,200,2,4,CV,negative_QTL,-0.0408973421116944,0.00591079169084515,Inf,-6.9190971786466,1.36588518273584e-11
QTL fixation,Chr - WT,2X,200,2,4,CV,negative_QTL,-0.0206510607168938,0.00591079169084517,Inf,-3.49378929202984,0.00138295951351031
QTL fixation,Peri - WT,2X,200,2,4,CV,negative_QTL,-0.0183808827115338,0.00591079169084517,Inf,-3.10971586767348,0.00532054261069037
QTL fixation,Chr - Peri,20X,200,8,4,CV,negative_QTL,-0.0305705925384011,0.00591079169084517,Inf,-5.17199626333472,6.93366233428527e-07
QTL fixation,Chr - WT,20X,200,8,4,CV,negative_QTL,-0.0790880273104,0.00591079169084517,Inf,-13.380276525883,0
QTL fixation,Peri - WT,20X,200,8,4,CV,negative_QTL,-0.0485174347719989,0.00591079169084517,Inf,-8.2082802625483,3.50830475781549e-14
QTL fixation,Chr - WT,2X,200,8,4,CV,negative_QTL,-0.0277005608388258,0.00591079169084518,Inf,-4.68643834661427,8.29806239754927e-06
QTL fixation,Peri - WT,2X,200,8,4,CV,negative_QTL,-0.0171397220190224,0.00591079169084516,Inf,-2.8997337269674,0.0104371469162796
QTL fixation,Chr - WT,20X,200,2,3,GW,negative_QTL,-0.0334320987654292,0.00591079169084516,Inf,-5.65611182292382,4.64145899492507e-08
QTL fixation,Peri - WT,20X,200,2,3,GW,negative_QTL,-0.0358444444444523,0.00591079169084516,Inf,-6.06423746923267,3.97608856950171e-09
QTL fixation,Chr - WT,2X,200,2,3,GW,negative_QTL,-0.0205629629629502,0.00591079169084518,Inf,-3.47888473126177,0.00146121147518086
QTL fixation,Peri - WT,2X,200,2,3,GW,negative_QTL,-0.0216419753086412,0.00591079169084518,Inf,-3.66143427828136,0.000733377000068036
QTL fixation,Peri - WT,20X,2,8,3,GW,negative_QTL,-0.0161904761904525,0.00591079169084518,Inf,-2.73913834851071,0.0169530784733292
QTL fixation,Chr - WT,20X,200,8,3,GW,negative_QTL,-0.060516049382708,0.00591079169084518,Inf,-10.2382307731191,2.4980018054066e-14
QTL fixation,Peri - WT,20X,200,8,3,GW,negative_QTL,-0.0528617283950601,0.00591079169084518,Inf,-8.94325686979192,2.07611705604904e-14
QTL fixation,Chr - WT,2X,200,8,3,GW,negative_QTL,-0.0225234567901197,0.00591079169084518,Inf,-3.81056514392221,0.000407458787125448
QTL fixation,Peri - WT,2X,200,8,3,GW,negative_QTL,-0.0178271604938277,0.00591079169084516,Inf,-3.01603599420346,0.00722607242268403
QTL fixation,Chr - WT,20X,2,2,4,GW,negative_QTL,-0.0311904761896934,0.0059107916908452,Inf,-5.27686946538855,3.9355308900646e-07
QTL fixation,Peri - WT,20X,2,2,4,GW,negative_QTL,-0.0311904761904975,0.00591079169084519,Inf,-5.2768694655246,3.93553089117482e-07
QTL fixation,Chr - Peri,2X,2,2,4,GW,negative_QTL,-0.0190476190477502,0.0059107916908452,Inf,-3.22251570415714,0.00363723920200365
QTL fixation,Chr - WT,2X,2,2,4,GW,negative_QTL,-0.0245238095239376,0.00591079169084517,Inf,-4.14898896909544,9.8960311996743e-05
QTL fixation,Chr - WT,20X,200,2,4,GW,negative_QTL,-0.0397802469135675,0.00591079169084517,Inf,-6.73010469565025,5.08830755308054e-11
QTL fixation,Peri - WT,20X,200,2,4,GW,negative_QTL,-0.0395160493827164,0.00591079169084516,Inf,-6.68540720931178,6.91032786548362e-11
QTL fixation,Chr - WT,2X,200,2,4,GW,negative_QTL,-0.0230395061728377,0.00591079169084515,Inf,-3.89787144901793,0.000285903456647585
QTL fixation,Peri - WT,2X,200,2,4,GW,negative_QTL,-0.021565432098765,0.00591079169084519,Inf,-3.64848453924814,0.000770973377505091
QTL fixation,Chr - Peri,20X,2,8,4,GW,negative_QTL,-0.0183333333335396,0.00591079169084518,Inf,-3.1016713652648,0.00546416106799952
QTL fixation,Chr - WT,20X,2,8,4,GW,negative_QTL,-0.060952380952596,0.00591079169084519,Inf,-10.3120502532683,3.01980662698043e-14
QTL fixation,Peri - WT,20X,2,8,4,GW,negative_QTL,-0.0426190476190564,0.00591079169084518,Inf,-7.21037888800347,1.69564362551e-12
QTL fixation,Chr - WT,2X,2,8,4,GW,negative_QTL,-0.0200000000000059,0.00591079169084518,Inf,-3.3836414893427,0.00206627421024708
QTL fixation,Peri - WT,2X,2,8,4,GW,negative_QTL,-0.0207142857142853,0.00591079169084522,Inf,-3.50448582824667,0.00132921521125629
QTL fixation,Chr - Peri,20X,200,8,4,GW,negative_QTL,-0.0252074074073999,0.00591079169084519,Inf,-4.26464147712089,5.94562755203976e-05
