response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,20X,Chr,2,1,CV,negative_QTL,DV,0.0233333333464549,0.00541011292048281,Inf,4.3129105971364,1.61119282479671e-05
QTL fixation,2 - 8,2X,Chr,2,1,CV,negative_QTL,DV,0.0269047618987633,0.005410112920488,Inf,4.97304997033895,6.59076634243065e-07
QTL fixation,2 - 8,20X,Peri,2,1,CV,negative_QTL,DV,0.0245238095243782,0.00541011292048654,Inf,4.53295705372684,5.81636440909934e-06
QTL fixation,2 - 8,2X,Peri,2,1,CV,negative_QTL,DV,0.0228571428568037,0.00541011292048728,Inf,4.22489201107931,2.39055383234209e-05
QTL fixation,2 - 8,20X,WT,2,1,CV,negative_QTL,DV,0.025000000000331,0.00541011292048844,Inf,4.62097563724676,3.81939629985447e-06
QTL fixation,2 - 8,2X,WT,2,1,CV,negative_QTL,DV,0.0249999999995075,0.00541011292048756,Inf,4.6209756370953,3.81939630264328e-06
QTL fixation,2 - 8,20X,Chr,200,1,CV,negative_QTL,DV,0.0343510544334984,0.00541011292048776,Inf,6.34941542595408,2.16134649063891e-10
QTL fixation,2 - 8,2X,Chr,200,1,CV,negative_QTL,DV,0.0331698313949187,0.00541011292048829,Inf,6.13107931061906,8.72848760494441e-10
QTL fixation,2 - 8,20X,Peri,200,1,CV,negative_QTL,DV,0.0341675951116043,0.0054101129204876,Inf,6.31550498367876,2.69280708441903e-10
QTL fixation,2 - 8,2X,Peri,200,1,CV,negative_QTL,DV,0.0331423670699392,0.00541011292048739,Inf,6.12600283155521,9.01142026720065e-10
QTL fixation,2 - 8,20X,WT,200,1,CV,negative_QTL,DV,0.033419493418566,0.00541011292048757,Inf,6.17722659577209,6.52374112176476e-10
QTL fixation,2 - 8,2X,WT,200,1,CV,negative_QTL,DV,0.0321525715176725,0.0054101129204874,Inf,5.9430499862424,2.79767075982107e-09
QTL fixation,2 - 8,20X,Chr,2,2,CV,negative_QTL,DV,-0.047619047616216,0.00541011292048751,Inf,-8.80185835602208,1.34568962094596e-18
QTL fixation,2 - 8,2X,Chr,2,2,CV,negative_QTL,DV,-0.0488095238102966,0.00541011292048737,Inf,-9.02190481560218,1.84846795387122e-19
QTL fixation,2 - 8,20X,Peri,2,2,CV,negative_QTL,DV,-0.0514285714293168,0.00541011292048724,Inf,-9.50600702520736,1.98121682888468e-21
QTL fixation,2 - 8,2X,Peri,2,2,CV,negative_QTL,DV,-0.0552380952380452,0.00541011292048728,Inf,-10.2101556935839,1.78578058577281e-24
QTL fixation,2 - 8,20X,WT,2,2,CV,negative_QTL,DV,-0.0426190476196891,0.00541011292048728,Inf,-7.8776632292271,3.33560286460842e-15
QTL fixation,2 - 8,2X,WT,2,2,CV,negative_QTL,DV,-0.0526190476190138,0.00541011292048727,Inf,-9.72605348397691,2.33475941477587e-22
QTL fixation,2 - 8,20X,Chr,200,2,CV,negative_QTL,DV,0.0205204362742851,0.0054101129204873,Inf,3.79297744351643,0.000148851682373963
QTL fixation,2 - 8,2X,Chr,200,2,CV,negative_QTL,DV,0.0224639664445568,0.00541011292048738,Inf,4.15221766619488,3.29268853301594e-05
QTL fixation,2 - 8,20X,Peri,200,2,CV,negative_QTL,DV,0.0228152291541824,0.0054101129204873,Inf,4.21714472313221,2.47415194807575e-05
QTL fixation,2 - 8,2X,Peri,200,2,CV,negative_QTL,DV,0.0212296905846653,0.00541011292048729,Inf,3.9240753190699,8.70634956529919e-05
QTL fixation,2 - 8,20X,WT,200,2,CV,negative_QTL,DV,0.0226905805784265,0.00541011292048725,Inf,4.19410480186113,2.7395131079843e-05
QTL fixation,2 - 8,2X,WT,200,2,CV,negative_QTL,DV,0.0234663658200496,0.00541011292048733,Inf,4.33750018991023,1.44112409972885e-05
QTL fixation,2 - 8,20X,Chr,2,3,CV,negative_QTL,DV,-0.0254761904724263,0.00541011292048768,Inf,-4.70899422005591,2.48942129556688e-06
QTL fixation,2 - 8,2X,Chr,2,3,CV,negative_QTL,DV,-0.0285714285726281,0.00541011292048735,Inf,-5.28111501414915,1.28400051018116e-07
QTL fixation,2 - 8,20X,Peri,2,3,CV,negative_QTL,DV,-0.0388095238098983,0.00541011292048732,Inf,-7.17351456065403,7.30964741406058e-13
QTL fixation,2 - 8,2X,Peri,2,3,CV,negative_QTL,DV,-0.0126190476190793,0.00541011292048729,Inf,-2.33249246449049,0.0196747988805445
