response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,Chr - WT,20X,200,8,1,GW,R,-0.142253889402881,0.0304226666147105,Inf,-4.67591783470077,8.7342785882738e-06
Prediction accuracy,Peri - WT,20X,200,8,1,GW,R,-0.0773632437851409,0.0304226666147106,Inf,-2.542947492569,0.0295834063169936
Prediction accuracy,Chr - WT,20X,200,8,2,GW,R,-0.121289000161589,0.0304226666147114,Inf,-3.98679713707073,0.000197761303390664
Prediction accuracy,Chr - WT,20X,200,2,3,GW,R,-0.0850996056665467,0.0304226666147072,Inf,-2.79724347455483,0.0142674572806738
Prediction accuracy,Chr - WT,20X,200,8,3,GW,R,-0.121755638851215,0.030422666614707,Inf,-4.00213565737711,0.000185433201491336
Prediction accuracy,Chr - WT,20X,200,2,4,GW,R,-0.0808170683747675,0.030422666614707,Inf,-2.65647549566542,0.0215387755594798
Prediction accuracy,Chr - WT,20X,200,8,4,GW,R,-0.121138640375141,0.0304226666147069,Inf,-3.98185477654942,0.000201895719883383
Prediction accuracy,Chr - WT,20X,200,2,5,GW,R,-0.12296371495749,0.0304226666147077,Inf,-4.04184539490839,0.000156801602393175
Prediction accuracy,Peri - WT,20X,200,2,5,GW,R,-0.0811512622026586,0.0304226666147078,Inf,-2.66746052311621,0.0208727402240184
Prediction accuracy,Chr - WT,20X,200,8,5,GW,R,-0.152801462058163,0.0304226666147099,Inf,-5.02261895688923,1.52492755511879e-06
Prediction accuracy,Peri - WT,20X,200,8,5,GW,R,-0.0819034872256836,0.0304226666147073,Inf,-2.69218633142727,0.0194391599556089
