response,contrast,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
prediction accuracy,CV - GW,20X,Chr,2,2,3,0.123123979829387,0.0234565506358831,Inf,5.24902325753879,1.52907772123653e-07
prediction accuracy,CV - GW,2X,Chr,2,2,3,0.159420068125009,0.0234565506358834,Inf,6.79639860948401,1.07266733872036e-11
prediction accuracy,CV - GW,20X,Peri,2,2,3,0.143848682322765,0.0235157451409895,Inf,6.11712201592232,9.52804129437834e-10
prediction accuracy,CV - GW,2X,Peri,2,2,3,0.147599754670657,0.0234565506358832,Inf,6.29247483834484,3.12443986141666e-10
prediction accuracy,CV - GW,20X,WT,2,2,3,0.117901104906688,0.0234565506358833,Inf,5.02636157962311,4.99872990795239e-07
prediction accuracy,CV - GW,2X,WT,2,2,3,0.120652566040008,0.0234565506358832,Inf,5.14366190975396,2.69434234361611e-07
prediction accuracy,CV - GW,20X,Chr,200,2,3,0.0469383602050972,0.0234565506358834,Inf,2.00107683920464,0.0453841098640557
prediction accuracy,CV - GW,2X,Chr,200,2,3,0.0547246744984229,0.0234565506358832,Inf,2.33302310079243,0.0196469329136583
prediction accuracy,CV - GW,20X,Peri,200,2,3,0.0519348844556931,0.0234565506358832,Inf,2.21408873205101,0.0268226756098639
prediction accuracy,CV - GW,20X,Chr,2,8,3,0.282868996340139,0.0234565506358835,Inf,12.0592750712208,1.73301567719366e-33
prediction accuracy,CV - GW,2X,Chr,2,8,3,0.225635883782174,0.0234565506358832,Inf,9.61931220343207,6.627281174873e-22
prediction accuracy,CV - GW,20X,Peri,2,8,3,0.26572156555482,0.0234565506358833,Inf,11.3282455583356,9.50903425119727e-30
prediction accuracy,CV - GW,2X,Peri,2,8,3,0.238803223645617,0.0234565506358833,Inf,10.1806624235833,2.41908947326688e-24
prediction accuracy,CV - GW,20X,WT,2,8,3,0.275657734739026,0.0234565506358833,Inf,11.7518444641784,6.90940177569561e-32
prediction accuracy,CV - GW,2X,WT,2,8,3,0.280185371419293,0.0234565506358833,Inf,11.9448667354642,6.90609591859714e-33
prediction accuracy,CV - GW,20X,Chr,200,8,3,0.0844753815096411,0.0234565506358832,Inf,3.60135566481854,0.000316562154857119
prediction accuracy,CV - GW,2X,Chr,200,8,3,0.0465014288083555,0.0234565506358833,Inf,1.98244957369046,0.0474289458883965
prediction accuracy,CV - GW,20X,Peri,200,8,3,0.0625000945297548,0.0234565506358834,Inf,2.66450491804807,0.00771017389796302
prediction accuracy,CV - GW,20X,Chr,2,2,4,0.163534237378949,0.0234565506358835,Inf,6.97179393157562,3.12924696231532e-12
prediction accuracy,CV - GW,2X,Chr,2,2,4,0.095169493815126,0.0234565506358833,Inf,4.05726721257719,4.96502646324286e-05
prediction accuracy,CV - GW,20X,Peri,2,2,4,0.133453208781752,0.0234565506358833,Inf,5.68937909300263,1.27502129080262e-08
prediction accuracy,CV - GW,2X,Peri,2,2,4,0.154527582994066,0.0234565506358833,Inf,6.58782211386501,4.46324925745487e-11
prediction accuracy,CV - GW,20X,WT,2,2,4,0.14808185999909,0.0234565506358832,Inf,6.31302795955679,2.73628038048271e-10
prediction accuracy,CV - GW,2X,WT,2,2,4,0.0873320203198626,0.0234565506358833,Inf,3.7231399311655,0.000196760397418199
prediction accuracy,CV - GW,20X,Chr,200,2,4,0.0500003314230335,0.0234565506358832,Inf,2.13161483967486,0.0330385227990595
prediction accuracy,CV - GW,20X,Chr,2,8,4,0.308967518362919,0.0234565506358833,Inf,13.1719076329265,1.27339000812641e-39
prediction accuracy,CV - GW,2X,Chr,2,8,4,0.228592425310324,0.0234565506358832,Inf,9.74535552386929,1.93101751726755e-22
prediction accuracy,CV - GW,20X,Peri,2,8,4,0.28093820967282,0.0234565506358832,Inf,11.9769617465855,4.69206015596746e-33
prediction accuracy,CV - GW,2X,Peri,2,8,4,0.254844886845956,0.0234565506358832,Inf,10.8645508370741,1.70057933339615e-27
prediction accuracy,CV - GW,20X,WT,2,8,4,0.247044305276711,0.0234565506358832,Inf,10.5319963327766,6.15158158666372e-26
prediction accuracy,CV - GW,2X,WT,2,8,4,0.251231854711447,0.0234565506358833,Inf,10.7105199997786,9.08500661066205e-27
prediction accuracy,CV - GW,20X,Chr,200,8,4,0.0473681372082293,0.0234565506358833,Inf,2.01939909850882,0.0434457551765936
