response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,2,CV,DV,-0.278845794617302,0.00576834677914851,Inf,-48.3406780648621,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,2,CV,DV,-0.29934259915937,0.00576834677914847,Inf,-51.894001976691,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,2,CV,DV,-0.274831558397652,0.00576834677914853,Inf,-47.6447704897209,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,2,CV,DV,-0.29565771960158,0.00576834677914857,Inf,-51.2551916383259,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,2,CV,DV,-0.277100352816178,0.00576834677914841,Inf,-48.0380884550577,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,2,CV,DV,-0.299299807038794,0.00576834677914847,Inf,-51.8865835391016,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,2,CV,DV,-0.279735913248215,0.00576834677914851,Inf,-48.4949889384958,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,2,CV,DV,-0.300141603105519,0.00576834677914844,Inf,-52.0325172180144,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,2,CV,DV,-0.279975468296099,0.00576834677914853,Inf,-48.5365181767776,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,2,CV,DV,-0.299716283548565,0.00576834677914844,Inf,-51.9587838636863,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,3,CV,DV,-0.36928571428407,0.00576834677914846,Inf,-64.0193331682089,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,3,CV,DV,-0.330476190477264,0.0057683467791485,Inf,-57.2913181419456,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,3,CV,DV,-0.366428571429132,0.00576834677914853,Inf,-63.5240191788922,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,3,CV,DV,-0.31428571428584,0.00576834677914851,Inf,-54.4845388668248,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,3,CV,DV,-0.373571428571567,0.00576834677914853,Inf,-64.7623041530645,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,3,CV,DV,-0.308333333333224,0.00576834677914851,Inf,-53.4526347215793,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,3,CV,DV,-0.373333333333211,0.00576834677914854,Inf,-64.721027987211,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,3,CV,DV,-0.355476190476196,0.00576834677914852,Inf,-61.6253155516196,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,3,CV,DV,-0.355000000000369,0.00576834677914849,Inf,-61.5427632200666,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,3,CV,DV,-0.325952380952203,0.00576834677914849,Inf,-56.5070709913731,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,3,CV,DV,-0.384047619047519,0.00576834677914853,Inf,-66.5784554485832,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,3,CV,DV,-0.332142857142856,0.00576834677914848,Inf,-57.5802513024168,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,3,CV,DV,-0.02978527159836,0.00576834677914854,Inf,-5.16357159836991,2.42281847043415e-07
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,3,CV,DV,-0.0362464589809712,0.0057683467791485,Inf,-6.28368237360405,3.30645912295825e-10
