response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,Chr,20X,2,1,CV,negative_QTL,DV,-0.0214728528578597,0.00541011292048469,Inf,-3.96902119668437,7.21684627151626e-05
QTL fixation,2 - 200,Peri,20X,2,1,CV,negative_QTL,DV,-0.0203843570311968,0.00541011292048671,Inf,-3.76782468883532,0.000164676280520932
QTL fixation,2 - 200,WT,20X,2,1,CV,negative_QTL,DV,-0.0258941051880674,0.00541011292048817,Inf,-4.78624116883145,1.69933844443431e-06
QTL fixation,2 - 200,Chr,2X,2,1,CV,negative_QTL,DV,-0.0225022344150818,0.00541011292048842,Inf,-4.1592910805733,3.1923686282789e-05
QTL fixation,2 - 200,Peri,2X,2,1,CV,negative_QTL,DV,-0.0263804864672549,0.00541011292048734,Inf,-4.87614341049254,1.08179973760008e-06
QTL fixation,2 - 200,WT,2X,2,1,CV,negative_QTL,DV,-0.0258293026982938,0.00541011292048757,Inf,-4.77426313977306,1.80366423002069e-06
QTL fixation,2 - 200,Peri,20X,8,1,CV,negative_QTL,DV,-0.0107405714439707,0.00541011292048741,Inf,-1.98527675888197,0.0471136883277804
QTL fixation,2 - 200,WT,20X,8,1,CV,negative_QTL,DV,-0.0174746117698324,0.00541011292048775,Inf,-3.22999021030729,0.0012379445685406
QTL fixation,2 - 200,Chr,2X,8,1,CV,negative_QTL,DV,-0.0162371649189264,0.00541011292048801,Inf,-3.00126174029318,0.00268863352246481
QTL fixation,2 - 200,Peri,2X,8,1,CV,negative_QTL,DV,-0.0160952622541194,0.00541011292048738,Inf,-2.97503259001652,0.00292957422456818
QTL fixation,2 - 200,WT,2X,8,1,CV,negative_QTL,DV,-0.0186767311801288,0.00541011292048736,Inf,-3.45218879062626,0.000556058514390594
QTL fixation,2 - 200,Chr,20X,2,2,CV,negative_QTL,DV,-0.0784744291848814,0.00541011292048751,Inf,-14.5051370162178,1.12412791005974e-47
QTL fixation,2 - 200,Peri,20X,2,2,CV,negative_QTL,DV,-0.077614235909707,0.00541011292048727,Inf,-14.3461397295043,1.12634547746494e-46
QTL fixation,2 - 200,WT,20X,2,2,CV,negative_QTL,DV,-0.0877859518166582,0.00541011292048728,Inf,-16.2262697852805,3.28846003079896e-59
QTL fixation,2 - 200,Chr,2X,2,2,CV,negative_QTL,DV,-0.0834076314757159,0.00541011292048731,Inf,-15.4169853201887,1.25843216715087e-53
QTL fixation,2 - 200,Peri,2X,2,2,CV,negative_QTL,DV,-0.0902904892516581,0.00541011292048727,Inf,-16.6892060440628,1.5704535180525e-62
