response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 8,20X,Chr,2,3,CV,0.250327121689875,0.0450292735313064,Inf,5.55920853388488,2.71000748668313e-08
Bulmer effect,2 - 8,2X,Chr,2,3,CV,0.427528525085682,0.0450292735313078,Inf,9.49445752857709,2.21360911131668e-21
Bulmer effect,2 - 8,20X,Peri,2,3,CV,0.346118204483061,0.0451432452042318,Inf,7.66710950701912,1.75915583098409e-14
Bulmer effect,2 - 8,2X,Peri,2,3,CV,0.292451933821448,0.0450292735313074,Inf,6.49470690701052,8.3195217921325e-11
Bulmer effect,2 - 8,20X,WT,2,3,CV,0.266836855753315,0.045029273531307,Inf,5.92585300244284,3.10680413648868e-09
Bulmer effect,2 - 8,2X,WT,2,3,CV,0.301685424890707,0.0450292735313071,Inf,6.69976220426824,2.08758969957662e-11
Bulmer effect,2 - 8,20X,Chr,200,3,CV,0.550122284143765,0.0450292735313074,Inf,12.2169922142156,2.52245686959121e-34
Bulmer effect,2 - 8,2X,Chr,200,3,CV,0.664924046522577,0.0450292735313074,Inf,14.7664839864733,2.40959535410199e-49
Bulmer effect,2 - 8,20X,Peri,200,3,CV,0.547415024417797,0.0450292735313074,Inf,12.1568699978515,5.27409830362794e-34
Bulmer effect,2 - 8,2X,Peri,200,3,CV,0.53329168409885,0.0450292735313072,Inf,11.8432220259577,2.33314051916037e-32
Bulmer effect,2 - 8,20X,WT,200,3,CV,0.530559869192408,0.0450292735313071,Inf,11.7825544936569,4.8015492166019e-32
Bulmer effect,2 - 8,2X,WT,200,3,CV,0.651094098844249,0.045029273531307,Inf,14.459351612492,2.18849694499141e-47
Bulmer effect,2 - 8,20X,Chr,2,4,CV,0.363007704398557,0.0450292735313076,Inf,8.06159362411584,7.5306184628352e-16
Bulmer effect,2 - 8,2X,Chr,2,4,CV,0.358801162042527,0.0450292735313074,Inf,7.96817567560943,1.6103384057347e-15
Bulmer effect,2 - 8,20X,Peri,2,4,CV,0.444763790494951,0.0450292735313074,Inf,9.87721443442169,5.22655764294925e-23
Bulmer effect,2 - 8,2X,Peri,2,4,CV,0.395015679479275,0.0450292735313072,Inf,8.77241955068707,1.74867448370849e-18
Bulmer effect,2 - 8,20X,WT,2,4,CV,0.329198625210464,0.0450292735313072,Inf,7.31076918177649,2.65617465837194e-13
Bulmer effect,2 - 8,2X,WT,2,4,CV,0.43618010695244,0.0450292735313071,Inf,9.6865899168722,3.43816753633472e-22
Bulmer effect,2 - 8,20X,Chr,200,4,CV,0.219505950634256,0.0450292735313073,Inf,4.87473888473108,1.08952470493648e-06
Bulmer effect,2 - 8,2X,Chr,200,4,CV,0.217861099733194,0.0450292735313072,Inf,4.83821040509843,1.3101341046462e-06
Bulmer effect,2 - 8,20X,Peri,200,4,CV,0.235475068958764,0.0450292735313073,Inf,5.22937748029727,1.70081773085855e-07
Bulmer effect,2 - 8,2X,Peri,200,4,CV,0.219106731235264,0.0450292735313072,Inf,4.86587310992096,1.13952613950167e-06
Bulmer effect,2 - 8,20X,WT,200,4,CV,0.234031957902423,0.0450292735313073,Inf,5.19732919385673,2.02172158014147e-07
Bulmer effect,2 - 8,2X,WT,200,4,CV,0.227464242528573,0.0450292735313072,Inf,5.05147484492338,4.38411680558003e-07
