response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,2 - 8,20X,Chr,200,1,CV,DV,-0.546047375847357,0.0203763376163203,Inf,-26.7981119143806,3.39917632398114e-158
Prediction accuracy,2 - 8,2X,Chr,200,1,CV,DV,-0.545053310206216,0.0203763376163232,Inf,-26.749326619401,1.25725268183704e-157
Prediction accuracy,2 - 8,20X,Peri,200,1,CV,DV,-0.534454976735546,0.0203763376163214,Inf,-26.2291971599179,1.23472018216207e-151
Prediction accuracy,2 - 8,2X,Peri,200,1,CV,DV,-0.496885763849026,0.0203763376163225,Inf,-24.3854304539495,2.44143534937489e-131
Prediction accuracy,2 - 8,20X,WT,200,1,CV,DV,-0.485835023654143,0.0203763376163213,Inf,-23.8430984410562,1.1941414417917e-125
Prediction accuracy,2 - 8,2X,WT,200,1,CV,DV,-0.497588550455041,0.0203763376163235,Inf,-24.4199207838224,1.05076778066769e-131
Prediction accuracy,2 - 8,20X,Chr,200,2,CV,DV,-0.470036243879483,0.0203763376163243,Inf,-23.0677491083048,9.76123701781905e-118
Prediction accuracy,2 - 8,2X,Chr,200,2,CV,DV,-0.468243160025692,0.0203763376163227,Inf,-22.9797507698635,7.43124618969059e-117
Prediction accuracy,2 - 8,20X,Peri,200,2,CV,DV,-0.516024918317569,0.0203763376163232,Inf,-25.3247137947003,1.70712115752587e-141
Prediction accuracy,2 - 8,2X,Peri,200,2,CV,DV,-0.493103139797104,0.0203763376163242,Inf,-24.1997923808478,2.23594871172529e-129
Prediction accuracy,2 - 8,20X,WT,200,2,CV,DV,-0.507109266295518,0.020376337616323,Inf,-24.8871645064069,1.02464114146249e-136
Prediction accuracy,2 - 8,2X,WT,200,2,CV,DV,-0.514592807511585,0.0203763376163242,Inf,-25.2544307618522,1.01249914288267e-140
Prediction accuracy,2 - 8,20X,Chr,200,3,CV,DV,-0.455133731978482,0.0203763376163219,Inf,-22.3363854951987,1.63771010545003e-110
Prediction accuracy,2 - 8,2X,Chr,200,3,CV,DV,-0.468758357160556,0.0203763376163234,Inf,-23.0050348589158,4.15061414784278e-117
Prediction accuracy,2 - 8,20X,Peri,200,3,CV,DV,-0.425174273128993,0.0203763376163228,Inf,-20.8660791323167,1.08908710938122e-96
Prediction accuracy,2 - 8,2X,Peri,200,3,CV,DV,-0.466272254313047,0.0203763376163236,Inf,-22.8830255511429,6.85757686117598e-116
Prediction accuracy,2 - 8,20X,WT,200,3,CV,DV,-0.481747487069793,0.0203763376163222,Inf,-23.6424963180771,1.40991884448749e-123
Prediction accuracy,2 - 8,2X,WT,200,3,CV,DV,-0.473708785661813,0.0203763376163244,Inf,-23.2479847252975,1.49089648356627e-119
Prediction accuracy,2 - 8,20X,Chr,200,4,CV,DV,-0.512546311797002,0.0203763376163213,Inf,-25.1539958479318,1.27786661125543e-139
Prediction accuracy,2 - 8,2X,Chr,200,4,CV,DV,-0.521319473383474,0.0203763376163214,Inf,-25.5845521996995,2.26663360757567e-144
Prediction accuracy,2 - 8,20X,Peri,200,4,CV,DV,-0.511363172731832,0.0203763376163219,Inf,-25.0959314848718,5.50887676714339e-139
Prediction accuracy,2 - 8,2X,Peri,200,4,CV,DV,-0.481911793657293,0.0203763376163187,Inf,-23.6505599157008,1.16476140221857e-123
Prediction accuracy,2 - 8,20X,WT,200,4,CV,DV,-0.494996286946694,0.0203763376163215,Inf,-24.2927014789057,2.34136666352256e-130
Prediction accuracy,2 - 8,2X,WT,200,4,CV,DV,-0.511392922203767,0.0203763376163218,Inf,-25.0973914858052,5.31037050541156e-139
Prediction accuracy,2 - 8,20X,Chr,200,5,CV,DV,-0.486538172994877,0.0203763376163246,Inf,-23.8776065726888,5.23410130247523e-126
Prediction accuracy,2 - 8,2X,Chr,200,5,CV,DV,-0.461517475481657,0.0203763376163235,Inf,-22.6496774921875,1.4053598823522e-113
Prediction accuracy,2 - 8,20X,Peri,200,5,CV,DV,-0.461272167014855,0.0203763376163231,Inf,-22.6376386031874,1.84675032432973e-113
Prediction accuracy,2 - 8,2X,Peri,200,5,CV,DV,-0.463288937509008,0.0203763376163212,Inf,-22.7366147063602,1.94679288768562e-114
Prediction accuracy,2 - 8,20X,WT,200,5,CV,DV,-0.492910753347075,0.0203763376163223,Inf,-24.1903507209378,2.81087595731616e-129
Prediction accuracy,2 - 8,2X,WT,200,5,CV,DV,-0.467654392684788,0.0203763376163245,Inf,-22.9508561101838,1.44475038714673e-116
Prediction accuracy,2 - 8,20X,Chr,200,1,GW,DV,-0.332756295474043,0.0203763376163225,Inf,-16.3305252268439,5.98667313884244e-60
Prediction accuracy,2 - 8,2X,Chr,200,1,GW,DV,-0.303061700115277,0.0203763376163238,Inf,-14.8732174457342,4.91913174501574e-50
Prediction accuracy,2 - 8,20X,Peri,200,1,GW,DV,-0.340902810348718,0.0203763376163217,Inf,-16.730327930749,7.8803219582303e-63
Prediction accuracy,2 - 8,2X,Peri,200,1,GW,DV,-0.365443542513967,0.020376337616322,Inf,-17.934701976141,6.32016444982367e-72
Prediction accuracy,2 - 8,20X,WT,200,1,GW,DV,-0.346629743316942,0.0203763376163211,Inf,-17.0113859440225,6.76190544586862e-65
Prediction accuracy,2 - 8,2X,WT,200,1,GW,DV,-0.288337576724752,0.0203763376163232,Inf,-14.1506085221993,1.85148178288752e-45
Prediction accuracy,2 - 8,20X,Chr,200,2,GW,DV,-0.322422409862624,0.0203763376163242,Inf,-15.8233739513778,2.14673742715254e-56
Prediction accuracy,2 - 8,2X,Chr,200,2,GW,DV,-0.347136445484349,0.0203763376163222,Inf,-17.036253129526,4.42167871795307e-65
Prediction accuracy,2 - 8,20X,Peri,200,2,GW,DV,-0.353181830577465,0.0203763376163232,Inf,-17.3329396689293,2.65408795694034e-67
Prediction accuracy,2 - 8,2X,Peri,200,2,GW,DV,-0.325043423546149,0.0203763376163241,Inf,-15.9520042152103,2.75898626829325e-57
Prediction accuracy,2 - 8,20X,WT,200,2,GW,DV,-0.356398272513341,0.020376337616323,Inf,-17.4907914868783,1.6840212862933e-68
Prediction accuracy,2 - 8,2X,WT,200,2,GW,DV,-0.350714963404208,0.0203763376163238,Inf,-17.2118743813533,2.16315518122289e-66
Prediction accuracy,2 - 8,20X,Chr,200,3,GW,DV,-0.338875729301973,0.0203763376163232,Inf,-16.6308458214053,4.16670468218318e-62
Prediction accuracy,2 - 8,2X,Chr,200,3,GW,DV,-0.32050162015276,0.020376337616323,Inf,-15.72910825231,9.55472424807292e-56
Prediction accuracy,2 - 8,20X,Peri,200,3,GW,DV,-0.372259528686869,0.0203763376163227,Inf,-18.2692069446604,1.4555056427793e-74
Prediction accuracy,2 - 8,2X,Peri,200,3,GW,DV,-0.333238413457756,0.020376337616323,Inf,-16.3541859058522,4.06099272413562e-60
Prediction accuracy,2 - 8,20X,WT,200,3,GW,DV,-0.308660340058545,0.020376337616322,Inf,-15.1479792821699,7.81321578462738e-52
Prediction accuracy,2 - 8,2X,WT,200,3,GW,DV,-0.30923921768325,0.0203763376163245,Inf,-15.1763885888651,5.06934571704051e-52
Prediction accuracy,2 - 8,2X,WT,2,4,GW,DV,0.0793483886704618,0.0284814335539185,Inf,2.78596891972613,0.00533679884261674
Prediction accuracy,2 - 8,20X,Chr,200,4,GW,DV,-0.39168098498108,0.0203763376163216,Inf,-19.222344680201,2.40646071098901e-82
Prediction accuracy,2 - 8,2X,Chr,200,4,GW,DV,-0.373025067261028,0.020376337616321,Inf,-18.3067769235549,7.30688266848777e-75
Prediction accuracy,2 - 8,20X,Peri,200,4,GW,DV,-0.434097813757179,0.0203763376163218,Inf,-21.3040155660485,1.04194737439019e-100
Prediction accuracy,2 - 8,2X,Peri,200,4,GW,DV,-0.402348679249975,0.0203763376163188,Inf,-19.7458781271737,8.7038629348352e-87
Prediction accuracy,2 - 8,20X,WT,200,4,GW,DV,-0.360554887690374,0.0203763376163214,Inf,-17.6947837476726,4.59992786160116e-70
Prediction accuracy,2 - 8,2X,WT,200,4,GW,DV,-0.372692560717951,0.0203763376163229,Inf,-18.290458655308,9.85821399902422e-75
Prediction accuracy,2 - 8,20X,Chr,200,5,GW,DV,-0.322568801733451,0.0203763376163242,Inf,-15.8305583568182,1.91514146447573e-56
Prediction accuracy,2 - 8,2X,Chr,200,5,GW,DV,-0.321056891611905,0.0203763376163235,Inf,-15.7563590502499,6.21096545131395e-56
Prediction accuracy,2 - 8,20X,Peri,200,5,GW,DV,-0.40014515193958,0.020376337616323,Inf,-19.6377366469936,7.36063932692777e-86
Prediction accuracy,2 - 8,2X,Peri,200,5,GW,DV,-0.352311468843956,0.0203763376163215,Inf,-17.2902253328269,5.57339853634031e-67
Prediction accuracy,2 - 8,20X,WT,200,5,GW,DV,-0.282915332340564,0.0203763376163222,Inf,-13.8845035681946,7.864335450333e-44
Prediction accuracy,2 - 8,2X,WT,200,5,GW,DV,-0.339218946839924,0.0203763376163248,Inf,-16.6476897481397,3.14511279991304e-62
Prediction accuracy,2 - 8,20X,Chr,200,1,CV,R,-0.530304499787778,0.0203763376163221,Inf,-26.0255061421335,2.54811655903798e-149
Prediction accuracy,2 - 8,2X,Chr,200,1,CV,R,-0.535002745001308,0.0203763376163232,Inf,-26.2560797271401,6.09176915156632e-152
Prediction accuracy,2 - 8,20X,Peri,200,1,CV,R,-0.538966132617376,0.0203763376163216,Inf,-26.4505890492147,3.59225366420285e-154
Prediction accuracy,2 - 8,2X,Peri,200,1,CV,R,-0.501402822592754,0.0203763376163249,Inf,-24.6071120352386,1.06010124014144e-133
Prediction accuracy,2 - 8,20X,WT,200,1,CV,R,-0.478696397268078,0.0203763376163212,Inf,-23.492759409554,4.83664663249848e-122
Prediction accuracy,2 - 8,2X,WT,200,1,CV,R,-0.516236316885949,0.0203763376163238,Inf,-25.3350885034602,1.31207486977071e-141
Prediction accuracy,2 - 8,20X,Chr,200,2,CV,R,-0.480638373706689,0.0203763376163243,Inf,-23.5880648798059,5.11022056318217e-123
Prediction accuracy,2 - 8,2X,Chr,200,2,CV,R,-0.47090953380147,0.0203763376163239,Inf,-23.1106071497468,3.62195119784291e-118
Prediction accuracy,2 - 8,20X,Peri,200,2,CV,R,-0.477206645712414,0.0203763376163244,Inf,-23.4196475685651,2.69572851189272e-121
Prediction accuracy,2 - 8,2X,Peri,200,2,CV,R,-0.458783323194567,0.0203763376163285,Inf,-22.5154947779685,2.92653704734285e-112
Prediction accuracy,2 - 8,20X,WT,200,2,CV,R,-0.499342102472566,0.0203763376163234,Inf,-24.505979036809,1.27552930310494e-132
Prediction accuracy,2 - 8,2X,WT,200,2,CV,R,-0.505449889489455,0.0203763376163258,Inf,-24.8057280462649,7.775798366914e-136
Prediction accuracy,2 - 8,20X,Chr,200,3,CV,R,-0.429954405885754,0.0203763376163217,Inf,-21.1006714740217,7.84146868128947e-99
Prediction accuracy,2 - 8,2X,Chr,200,3,CV,R,-0.399124201187459,0.0203763376163229,Inf,-19.5876319239887,1.97149356909526e-85
Prediction accuracy,2 - 8,20X,Peri,200,3,CV,R,-0.450731025596185,0.0203763376163227,Inf,-22.1203159313144,2.01512336737393e-108
Prediction accuracy,2 - 8,2X,Peri,200,3,CV,R,-0.430010513252002,0.0203763376163187,Inf,-21.103425029021,7.39785867567675e-99
Prediction accuracy,2 - 8,20X,WT,200,3,CV,R,-0.410840161923411,0.0203763376163207,Inf,-20.1626106545439,2.08581150523316e-90
Prediction accuracy,2 - 8,2X,WT,200,3,CV,R,-0.44598670921278,0.0203763376163224,Inf,-21.8874813330302,3.41889526722738e-106
Prediction accuracy,2 - 8,20X,Chr,200,4,CV,R,-0.511951884610686,0.020376337616321,Inf,-25.1248234226657,2.66372710366923e-139
Prediction accuracy,2 - 8,2X,Chr,200,4,CV,R,-0.45886386158133,0.0203763376163194,Inf,-22.5194473227528,2.67685786829348e-112
Prediction accuracy,2 - 8,20X,Peri,200,4,CV,R,-0.467228494744465,0.0203763376163219,Inf,-22.9299545159776,2.33575528792611e-116
Prediction accuracy,2 - 8,2X,Peri,200,4,CV,R,-0.453358340986264,0.0203763376163229,Inf,-22.2492554610545,1.14680632674731e-109
Prediction accuracy,2 - 8,20X,WT,200,4,CV,R,-0.458054853297851,0.0203763376163203,Inf,-22.4797440012466,6.55160508188177e-112
Prediction accuracy,2 - 8,2X,WT,200,4,CV,R,-0.486065614373642,0.0203763376163199,Inf,-23.854415034051,9.11255403483186e-126
Prediction accuracy,2 - 8,20X,Chr,200,5,CV,R,-0.430514573929946,0.0203763376163227,Inf,-21.1281625793772,4.38272753559139e-99
Prediction accuracy,2 - 8,2X,Chr,200,5,CV,R,-0.423524628183851,0.0203763376163234,Inf,-20.7851202781685,5.90161634039608e-96
Prediction accuracy,2 - 8,20X,Peri,200,5,CV,R,-0.459163033840479,0.0203763376163219,Inf,-22.5341296599188,1.92177365270767e-112
Prediction accuracy,2 - 8,2X,Peri,200,5,CV,R,-0.430912577373401,0.0203763376163242,Inf,-21.1476952083962,2.89756858671343e-99
Prediction accuracy,2 - 8,20X,WT,200,5,CV,R,-0.463817485624498,0.0203763376163215,Inf,-22.7625540152505,1.07781840593201e-114
Prediction accuracy,2 - 8,2X,WT,200,5,CV,R,-0.398659182337036,0.0203763376163237,Inf,-19.5648104111539,3.08548903880352e-85
Prediction accuracy,2 - 8,20X,Chr,2,1,GW,R,-0.211648259628754,0.103860158000784,Inf,-2.03781954218821,0.0415679832665731
Prediction accuracy,2 - 8,20X,Chr,200,1,GW,R,-0.354124972451327,0.0203763376163241,Inf,-17.3792258019728,1.18543012825038e-67
Prediction accuracy,2 - 8,2X,Chr,200,1,GW,R,-0.391104649553794,0.0203763376163236,Inf,-19.1940601357369,4.14920598478308e-82
Prediction accuracy,2 - 8,20X,Peri,200,1,GW,R,-0.390442942641959,0.0203763376163218,Inf,-19.1615858548205,7.74763191986228e-82
Prediction accuracy,2 - 8,2X,Peri,200,1,GW,R,-0.416631439715693,0.0203763376163229,Inf,-20.4468264886788,6.41128737406703e-93
Prediction accuracy,2 - 8,20X,WT,200,1,GW,R,-0.392312498943766,0.0203763376163211,Inf,-19.2533371958625,1.32356065222983e-82
Prediction accuracy,2 - 8,2X,WT,200,1,GW,R,-0.358787896444237,0.0203763376163239,Inf,-17.608065943941,2.13620328055431e-69
Prediction accuracy,2 - 8,20X,WT,2,2,GW,R,0.055665166516906,0.0280820431702007,Inf,1.98223349275295,0.0474531137259884
