response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,CV - GW,20X,Chr,200,2,1,DV,0.290628230593806,0.119201821214898,Inf,2.43811904576407,0.0147639110363457
Genetic gain,CV - GW,2X,Chr,200,2,1,DV,0.267538014629276,0.119201821214885,Inf,2.24441213986979,0.0248058961416735
Genetic gain,CV - GW,20X,Peri,200,2,1,DV,0.332313892839602,0.119201821214884,Inf,2.78782563431262,0.00530630955925939
Genetic gain,CV - GW,20X,Chr,200,8,1,DV,0.943883390132437,0.119201821214886,Inf,7.91836383465055,2.4065629512811e-15
Genetic gain,CV - GW,2X,Chr,200,8,1,DV,0.686461233831463,0.119201821214885,Inf,5.75881498147568,8.47064844826364e-09
Genetic gain,CV - GW,20X,Peri,200,8,1,DV,1.07360933210107,0.119201821214885,Inf,9.00665208936426,2.12442728677711e-19
Genetic gain,CV - GW,2X,Peri,200,8,1,DV,0.785871403033076,0.119201821214885,Inf,6.59278016915857,4.31665521515191e-11
Genetic gain,CV - GW,20X,WT,200,8,1,DV,0.607759852889475,0.119201821214887,Inf,5.09857858458269,3.42213459813857e-07
Genetic gain,CV - GW,2X,WT,200,8,1,DV,0.635663174565848,0.119201821214886,Inf,5.3326632771821,9.67826783812944e-08
Genetic gain,CV - GW,20X,Chr,2,2,2,DV,1.61209100748491,0.119201821214884,Inf,13.5240467893423,1.12796221433183e-41
Genetic gain,CV - GW,2X,Chr,2,2,2,DV,1.28910778036304,0.119201821214886,Inf,10.8144973560358,2.93899336242611e-27
Genetic gain,CV - GW,20X,Peri,2,2,2,DV,1.58889623166903,0.119201821214887,Inf,13.3294627168883,1.56017218651028e-40
Genetic gain,CV - GW,2X,Peri,2,2,2,DV,1.41626059835631,0.119201821214887,Inf,11.881199330027,1.4822524680979e-32
Genetic gain,CV - GW,20X,WT,2,2,2,DV,1.37598866988136,0.119201821214886,Inf,11.5433527429154,7.9754782073787e-31
Genetic gain,CV - GW,2X,WT,2,2,2,DV,1.29610951836266,0.119201821214886,Inf,10.8732358713392,1.54617815957539e-27
Genetic gain,CV - GW,20X,Chr,200,2,2,DV,0.380586577538817,0.119201821214887,Inf,3.19279163405339,0.00140904581025734
Genetic gain,CV - GW,2X,Chr,200,2,2,DV,0.452067932138243,0.119201821214887,Inf,3.79245826557712,0.000149163324777902
Genetic gain,CV - GW,20X,Peri,200,2,2,DV,0.483781805860414,0.119201821214887,Inf,4.05851018826545,4.93867791946446e-05
Genetic gain,CV - GW,2X,Peri,200,2,2,DV,0.494602780328521,0.119201821214886,Inf,4.14928878843972,3.33509848565988e-05
Genetic gain,CV - GW,20X,WT,200,2,2,DV,0.457233225432632,0.119201821214887,Inf,3.83579060095375,0.000125161015267603
Genetic gain,CV - GW,2X,WT,200,2,2,DV,0.359162281103555,0.119201821214886,Inf,3.01306034960734,0.00258627480596566
