response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,CV - GW,20X,Chr,2,2,3,med_neg,DV,-0.0848712499998893,0.00754599282974118,Inf,-11.2471946256541,2.39075549134689e-29
QTL AF,CV - GW,2X,Chr,2,2,3,med_neg,DV,-0.0648287500000343,0.00754599282974145,Inf,-8.59114916522596,8.6103763041574e-18
QTL AF,CV - GW,20X,Peri,2,2,3,med_neg,DV,-0.0800862500000129,0.00754599282974138,Inf,-10.6130832359614,2.59056645788552e-26
QTL AF,CV - GW,2X,Peri,2,2,3,med_neg,DV,-0.0624212499999908,0.00754599282974151,Inf,-8.27210566036664,1.31613582878226e-16
QTL AF,CV - GW,20X,WT,2,2,3,med_neg,DV,-0.0478425000000117,0.00754599282974144,Inf,-6.34011999209003,2.29586281459642e-10
QTL AF,CV - GW,2X,WT,2,2,3,med_neg,DV,-0.0796624999999945,0.00754599282974141,Inf,-10.5569276034847,4.7185366564498e-26
QTL AF,CV - GW,20X,Chr,2,8,3,med_neg,DV,-0.0217025000000451,0.00754599282974148,Inf,-2.87602976701856,0.00402711732242616
QTL AF,CV - GW,2X,Chr,2,8,3,med_neg,DV,-0.0288687499999948,0.00754599282974144,Inf,-3.8257059940758,0.000130397842377397
QTL AF,CV - GW,20X,Peri,2,8,3,med_neg,DV,-0.0332774999999902,0.00754599282974142,Inf,-4.40995648297356,1.03391394080261e-05
QTL AF,CV - GW,2X,Peri,2,8,3,med_neg,DV,-0.0194762500000033,0.00754599282974143,Inf,-2.58100563298185,0.00985129743344291
QTL AF,CV - GW,20X,WT,2,8,3,med_neg,DV,-0.0283724999999884,0.0075459928297414,Inf,-3.75994261327183,0.000169952338406344
QTL AF,CV - GW,20X,Chr,2,2,4,med_neg,DV,-0.0491699999999692,0.00754599282974216,Inf,-6.51604117700299,7.21871665678954e-11
QTL AF,CV - GW,2X,Chr,2,2,4,med_neg,DV,-0.0341250000000241,0.0075459928297417,Inf,-4.52226774792631,6.11806007926061e-06
QTL AF,CV - GW,20X,Peri,2,2,4,med_neg,DV,-0.0575200000000038,0.00754599282974136,Inf,-7.62258874316679,2.48638068751169e-14
QTL AF,CV - GW,2X,Peri,2,2,4,med_neg,DV,-0.0485124999999927,0.00754599282974144,Inf,-6.4289088387134,1.28523171530543e-10
QTL AF,CV - GW,20X,WT,2,2,4,med_neg,DV,-0.0511512500000024,0.00754599282974144,Inf,-6.77859774772078,1.21347864713592e-11
QTL AF,CV - GW,2X,WT,2,2,4,med_neg,DV,-0.0258049999999935,0.00754599282974138,Inf,-3.4196958017621,0.000626911975806649
QTL AF,CV - GW,20X,Chr,2,2,5,med_neg,DV,-0.099754999999908,0.00754599282974221,Inf,-13.2195990972491,6.76234109238039e-40
QTL AF,CV - GW,2X,Chr,2,2,5,med_neg,DV,-0.0643912500000384,0.00754599282974156,Inf,-8.53317137358633,1.42389522597843e-17
QTL AF,CV - GW,20X,Peri,2,2,5,med_neg,DV,-0.0902225000000135,0.00754599282974131,Inf,-11.9563458428447,6.01511009383938e-33
QTL AF,CV - GW,2X,Peri,2,2,5,med_neg,DV,-0.0828962499999908,0.00754599282974142,Inf,-10.9854663091207,4.48914277875041e-28
QTL AF,CV - GW,20X,WT,2,2,5,med_neg,DV,-0.0765362499999942,0.00754599282974143,Inf,-10.1426348695082,3.57329065889602e-24
QTL AF,CV - GW,2X,WT,2,2,5,med_neg,DV,-0.112246249999996,0.00754599282974146,Inf,-14.8749478740019,4.79358323469884e-50
QTL AF,CV - GW,20X,Chr,2,8,5,med_neg,DV,-0.0478925000000156,0.00754599282974163,Inf,-6.34674602542067,2.19916734764112e-10
QTL AF,CV - GW,2X,Chr,2,8,5,med_neg,DV,-0.0345074999999962,0.0075459928297415,Inf,-4.57295690289946,4.80889080255632e-06
QTL AF,CV - GW,20X,Peri,2,8,5,med_neg,DV,-0.0189512499999959,0.00754599282974138,Inf,-2.51143228301284,0.0120242352821074
QTL AF,CV - GW,2X,Peri,2,8,5,med_neg,DV,-0.0242737500000019,0.00754599282974142,Inf,-3.21677353102304,0.00129640888201217
QTL AF,CV - GW,20X,WT,2,8,5,med_neg,DV,-0.0152087499999934,0.00754599282974145,Inf,-2.01547368824024,0.0438550402726396
QTL AF,CV - GW,2X,WT,2,8,5,med_neg,DV,-0.021865000000002,0.00754599282974149,Inf,-2.89756437533628,0.0037607254878678
QTL AF,CV - GW,20X,Chr,200,8,5,med_neg,DV,-0.0149010938967577,0.00754599282974147,Inf,-1.97470289635409,0.0483018740613083
QTL AF,CV - GW,20X,Chr,2,2,1,small_neg,DV,0.0445022727267484,0.00754599282974205,Inf,5.89747084722179,3.69115457523439e-09
QTL AF,CV - GW,2X,Chr,2,2,1,small_neg,DV,0.055711363636485,0.00754599282974217,Inf,7.38290704662497,1.54870156037357e-13
QTL AF,CV - GW,20X,Peri,2,2,1,small_neg,DV,0.0418204545453983,0.00754599282974092,Inf,5.54207451411456,2.98909050164686e-08
QTL AF,CV - GW,2X,Peri,2,2,1,small_neg,DV,0.035965909090896,0.00754599282974133,Inf,4.76622624780958,1.87708471415747e-06
QTL AF,CV - GW,20X,WT,2,2,1,small_neg,DV,0.0551340909090604,0.00754599282973998,Inf,7.30640647997544,2.74381311705514e-13
QTL AF,CV - GW,2X,WT,2,2,1,small_neg,DV,0.0517431818181783,0.00754599282974114,Inf,6.8570409468509,7.03014858066167e-12
QTL AF,CV - GW,20X,Peri,2,2,2,small_neg,DV,-0.0171522727272762,0.00754599282974143,Inf,-2.2730306156233,0.0230243350493631
QTL AF,CV - GW,2X,Peri,2,2,2,small_neg,DV,-0.0228409090909017,0.00754599282974142,Inf,-3.02689249860902,0.00247081812775955
QTL AF,CV - GW,20X,WT,2,2,2,small_neg,DV,-0.027684090909096,0.00754599282974155,Inf,-3.66871418164919,0.000243773422785881
QTL AF,CV - GW,2X,WT,2,2,2,small_neg,DV,-0.0229204545454478,0.00754599282974138,Inf,-3.03743391527093,0.00238601716041634
QTL AF,CV - GW,20X,Chr,2,8,2,small_neg,DV,-0.0488727272727542,0.00754599282974162,Inf,-6.4766463970292,9.37836223312084e-11
QTL AF,CV - GW,2X,Chr,2,8,2,small_neg,DV,-0.0376318181818079,0.00754599282974147,Inf,-4.98699363104181,6.13260861547417e-07
QTL AF,CV - GW,20X,Peri,2,8,2,small_neg,DV,-0.0499795454545388,0.00754599282974144,Inf,-6.62332268029087,3.51213175608079e-11
QTL AF,CV - GW,2X,Peri,2,8,2,small_neg,DV,-0.0496431818181842,0.00754599282974146,Inf,-6.5787475469792,4.74427492622678e-11
QTL AF,CV - GW,20X,WT,2,8,2,small_neg,DV,-0.0307522727272664,0.00754599282974154,Inf,-4.07531168146096,4.59527571423658e-05
QTL AF,CV - GW,2X,WT,2,8,2,small_neg,DV,-0.0471886363636384,0.00754599282974148,Inf,-6.2534695471285,4.01432870063928e-10
QTL AF,CV - GW,20X,Chr,2,2,3,small_neg,DV,-0.0438749999999922,0.0075459928297413,Inf,-5.814344247329,6.08720317678889e-09
QTL AF,CV - GW,2X,Chr,2,2,3,small_neg,DV,-0.0396681818182085,0.00754599282974145,Inf,-5.25685389758946,1.46540637471561e-07
QTL AF,CV - GW,20X,Peri,2,2,3,small_neg,DV,-0.0590477272727289,0.00754599282974154,Inf,-7.82504417974002,5.07478666086471e-15
QTL AF,CV - GW,2X,Peri,2,2,3,small_neg,DV,-0.0719409090909016,0.00754599282974155,Inf,-9.53365722895414,1.51837738480823e-21
QTL AF,CV - GW,20X,WT,2,2,3,small_neg,DV,-0.0406886363636428,0.0075459928297416,Inf,-5.39208521419125,6.96447244964201e-08
QTL AF,CV - GW,2X,WT,2,2,3,small_neg,DV,-0.0503999999999907,0.00754599282974146,Inf,-6.67904159693159,2.40509896141769e-11
QTL AF,CV - GW,20X,Chr,2,8,3,small_neg,DV,-0.0736681818181861,0.0075459928297415,Inf,-9.76255656218398,1.62993587055859e-22
QTL AF,CV - GW,2X,Chr,2,8,3,small_neg,DV,-0.0529318181818159,0.00754599282974151,Inf,-7.01455983011172,2.30674002928292e-12
QTL AF,CV - GW,20X,Peri,2,8,3,small_neg,DV,-0.0406931818181718,0.0075459928297416,Inf,-5.39268758085546,6.94115771978855e-08
QTL AF,CV - GW,2X,Peri,2,8,3,small_neg,DV,-0.0647863636363665,0.00754599282974168,Inf,-8.58553209605744,9.04169558467134e-18
QTL AF,CV - GW,20X,WT,2,8,3,small_neg,DV,-0.0285749999999995,0.00754599282974156,Inf,-3.7867780482609,0.000152613304981415
QTL AF,CV - GW,2X,WT,2,8,3,small_neg,DV,-0.0591522727272747,0.00754599282974155,Inf,-7.83889861306702,4.54515336527919e-15
QTL AF,CV - GW,20X,Chr,2,2,4,small_neg,DV,-0.0600681818181674,0.0075459928297425,Inf,-7.96027549634143,1.71656646061735e-15
QTL AF,CV - GW,2X,Chr,2,2,4,small_neg,DV,-0.0447704545454711,0.00754599282974156,Inf,-5.93301048061086,2.97429856217705e-09
QTL AF,CV - GW,20X,Peri,2,2,4,small_neg,DV,-0.0547795454545552,0.00754599282974153,Inf,-7.25942188000084,3.88748229329978e-13
QTL AF,CV - GW,2X,Peri,2,2,4,small_neg,DV,-0.0417613636363532,0.00754599282974152,Inf,-5.53424374745711,3.12574042344019e-08
QTL AF,CV - GW,20X,WT,2,2,4,small_neg,DV,-0.0479090909090987,0.00754599282974133,Inf,-6.34894466375222,2.16796992570541e-10
QTL AF,CV - GW,2X,WT,2,2,4,small_neg,DV,-0.0286068181818112,0.00754599282974134,Inf,-3.79099461492489,0.00015004520783781
QTL AF,CV - GW,20X,Chr,2,8,4,small_neg,DV,-0.0671772727273067,0.00754599282974157,Inf,-8.90237696258284,5.4663255249689e-19
QTL AF,CV - GW,2X,Chr,2,8,4,small_neg,DV,-0.031290909090897,0.00754599282974149,Inf,-4.14669213142745,3.37313136725079e-05
QTL AF,CV - GW,20X,Peri,2,8,4,small_neg,DV,-0.0499772727272603,0.00754599282974147,Inf,-6.62302149695688,3.51929816340089e-11
QTL AF,CV - GW,2X,Peri,2,8,4,small_neg,DV,-0.0512295454545509,0.00754599282974142,Inf,-6.78897351354976,1.12934170435355e-11
QTL AF,CV - GW,20X,WT,2,8,4,small_neg,DV,-0.061161363636353,0.00754599282974138,Inf,-8.10514467960993,5.26827882257432e-16
QTL AF,CV - GW,2X,WT,2,8,4,small_neg,DV,-0.0377681818181847,0.00754599282974125,Inf,-5.00506463103541,5.58432911376117e-07
QTL AF,CV - GW,20X,Chr,2,2,5,small_neg,DV,-0.0868659090908412,0.00754599282974236,Inf,-11.5115281780366,1.1541486718593e-30
QTL AF,CV - GW,2X,Chr,2,2,5,small_neg,DV,-0.0697727272727521,0.0075459928297414,Inf,-9.24632832909056,2.32336676739571e-20
QTL AF,CV - GW,20X,Peri,2,2,5,small_neg,DV,-0.0781545454545493,0.00754599282974155,Inf,-10.3570924619108,3.88595143537366e-25
QTL AF,CV - GW,2X,Peri,2,2,5,small_neg,DV,-0.0428227272727202,0.00754599282974149,Inf,-5.67489636405966,1.38772643380483e-08
QTL AF,CV - GW,20X,WT,2,2,5,small_neg,DV,-0.066384090909106,0.00754599282974153,Inf,-8.79726397929533,1.4019225367948e-18
QTL AF,CV - GW,2X,WT,2,2,5,small_neg,DV,-0.0497613636363545,0.00754599282974142,Inf,-6.59440908030385,4.26952962771725e-11
QTL AF,CV - GW,20X,Chr,2,8,5,small_neg,DV,-0.101995454545469,0.00754599282974153,Inf,-13.516505627128,1.24972443558767e-41
QTL AF,CV - GW,2X,Chr,2,8,5,small_neg,DV,-0.0740954545454465,0.00754599282974148,Inf,-9.81917902882304,9.30986210341957e-23
QTL AF,CV - GW,20X,Peri,2,8,5,small_neg,DV,-0.110438636363631,0.00754599282974149,Inf,-14.6354017099449,1.66986497410083e-48
QTL AF,CV - GW,2X,Peri,2,8,5,small_neg,DV,-0.0801500000000035,0.00754599282974145,Inf,-10.6215314284561,2.36646512710916e-26
QTL AF,CV - GW,20X,WT,2,8,5,small_neg,DV,-0.0470159090909055,0.0075459928297415,Inf,-6.23057961380492,4.64712589507731e-10
QTL AF,CV - GW,2X,WT,2,8,5,small_neg,DV,-0.0735954545454581,0.00754599282974142,Inf,-9.75291869552174,1.79239448207911e-22
