response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,DV - R,CV,2X,Chr,200,2,3,negative_QTL,0.0198603498030363,0.00576834677914852,Inf,3.44298818421037,0.000575324449749128
QTL fixation,DV - R,CV,20X,Peri,200,2,3,negative_QTL,0.0156445352394365,0.00576834677914859,Inf,2.7121350082468,0.00668513585984829
QTL fixation,DV - R,CV,2X,Peri,200,2,3,negative_QTL,0.0198308506567948,0.00576834677914857,Inf,3.43787421527419,0.00058629997830011
QTL fixation,DV - R,GW,2X,Peri,200,2,3,negative_QTL,0.0137755506363071,0.00576834677914853,Inf,2.38812803108564,0.0169344411661486
QTL fixation,DV - R,CV,20X,WT,200,2,3,negative_QTL,0.0236992657627454,0.00576834677914849,Inf,4.10850225725226,3.9823331329399e-05
QTL fixation,DV - R,GW,20X,WT,200,2,3,negative_QTL,0.0138997284548813,0.00576834677914847,Inf,2.40965548484816,0.015967590609718
QTL fixation,DV - R,CV,2X,WT,200,2,3,negative_QTL,0.0287441371942744,0.00576834677914857,Inf,4.98308064594499,6.25798526624988e-07
QTL fixation,DV - R,GW,2X,WT,200,2,3,negative_QTL,0.0160053400171278,0.00576834677914847,Inf,2.774684087126,0.00552553527060041
QTL fixation,DV - R,CV,20X,Chr,2,8,3,negative_QTL,0.0130952380950424,0.00576834677914848,Inf,2.2701891194162,0.0231961108905174
QTL fixation,DV - R,CV,2X,Chr,2,8,3,negative_QTL,0.0328571428568819,0.00576834677914849,Inf,5.69611088148418,1.22571178858936e-08
QTL fixation,DV - R,GW,2X,Chr,2,8,3,negative_QTL,0.0152380952382469,0.0057683467791485,Inf,2.64167461175008,0.00824972704744402
QTL fixation,DV - R,CV,20X,Peri,2,8,3,negative_QTL,0.0395238095238051,0.00576834677914849,Inf,6.85184352415781,7.29042786007494e-12
QTL fixation,DV - R,CV,2X,Peri,2,8,3,negative_QTL,0.0250000000000012,0.00576834677914846,Inf,4.33399740985956,1.46425897745349e-05
QTL fixation,DV - R,CV,20X,WT,2,8,3,negative_QTL,0.0259523809524447,0.00576834677914848,Inf,4.49910207310314,6.824108778529e-06
QTL fixation,DV - R,CV,2X,WT,2,8,3,negative_QTL,0.01428571428572,0.00576834677914853,Inf,2.47656994849203,0.0132651629102887
QTL fixation,DV - R,GW,2X,WT,2,8,3,negative_QTL,0.0245238095238078,0.00576834677914854,Inf,4.25144507824263,2.12395599112213e-05
QTL fixation,DV - R,CV,20X,Chr,200,8,3,negative_QTL,0.0177231294096467,0.00576834677914849,Inf,3.07247987824043,0.00212288145080491
QTL fixation,DV - R,GW,20X,Chr,200,8,3,negative_QTL,0.0217762814178299,0.00576834677914849,Inf,3.7751338904497,0.000159921743157611
QTL fixation,DV - R,CV,2X,Chr,200,8,3,negative_QTL,0.029878899274704,0.00576834677914843,Inf,5.17980288264066,2.22120487848324e-07
QTL fixation,DV - R,GW,2X,Chr,200,8,3,negative_QTL,0.027690021649055,0.00576834677914839,Inf,4.80033928423822,1.58397047892684e-06
QTL fixation,DV - R,CV,20X,Peri,200,8,3,negative_QTL,0.0191670803417952,0.00576834677914852,Inf,3.32280306223622,0.000891178071080121
QTL fixation,DV - R,GW,20X,Peri,200,8,3,negative_QTL,0.0264587540381103,0.00576834677914853,Inf,4.58688685877098,4.49904334387715e-06
QTL fixation,DV - R,CV,2X,Peri,200,8,3,negative_QTL,0.0312786831254613,0.00576834677914848,Inf,5.42246926598242,5.87813234531059e-08
QTL fixation,DV - R,GW,2X,Peri,200,8,3,negative_QTL,0.0285442091812153,0.00576834677914877,Inf,4.94842114631456,7.48178888579953e-07
QTL fixation,DV - R,CV,20X,WT,200,8,3,negative_QTL,0.028241582632319,0.00576834677914848,Inf,4.89595783915197,9.78280404203385e-07
QTL fixation,DV - R,GW,20X,WT,200,8,3,negative_QTL,0.0260703319748865,0.00576834677914852,Inf,4.51955005013322,6.19711965354167e-06
QTL fixation,DV - R,CV,2X,WT,200,8,3,negative_QTL,0.028410808872848,0.00576834677914846,Inf,4.9252948826773,8.42332289520732e-07
QTL fixation,DV - R,GW,2X,WT,200,8,3,negative_QTL,0.0275188323258661,0.00576834677914873,Inf,4.77066192090609,1.83621509795915e-06
QTL fixation,DV - R,CV,20X,Chr,2,2,4,negative_QTL,0.0357142857151502,0.00576834677914891,Inf,6.19142487137705,5.96227550509225e-10
QTL fixation,DV - R,GW,20X,Chr,2,2,4,negative_QTL,0.0114285714274286,0.00576834677914856,Inf,1.9812559585947,0.047562576652449
QTL fixation,DV - R,CV,2X,Chr,2,2,4,negative_QTL,0.0430952380943862,0.0057683467791486,Inf,7.4709860111335,7.95961172655772e-14
QTL fixation,DV - R,GW,2X,Chr,2,2,4,negative_QTL,0.0154761904767292,0.00576834677914855,Inf,2.68295077762534,0.00729757302124948
QTL fixation,DV - R,CV,20X,Peri,2,2,4,negative_QTL,0.0299999999993942,0.00576834677914862,Inf,5.20079689172606,1.984358613596e-07
QTL fixation,DV - R,GW,20X,Peri,2,2,4,negative_QTL,0.0214285714291796,0.00576834677914851,Inf,3.71485492284199,0.000203320310464003
QTL fixation,DV - R,CV,2X,Peri,2,2,4,negative_QTL,0.026190476190843,0.00576834677914856,Inf,4.54037823896379,5.61534001743612e-06
QTL fixation,DV - R,GW,2X,Peri,2,2,4,negative_QTL,0.0211904761903447,0.00576834677914849,Inf,3.6735787569056,0.000239176912255036
QTL fixation,DV - R,CV,20X,WT,2,2,4,negative_QTL,0.0266666666661052,0.00576834677914851,Inf,4.62293057041927,3.783563874816e-06
QTL fixation,DV - R,GW,20X,WT,2,2,4,negative_QTL,0.0138095238101069,0.00576834677914852,Inf,2.39401761697576,0.0166649483302299
QTL fixation,DV - R,CV,2X,WT,2,2,4,negative_QTL,0.0450000000003059,0.00576834677914854,Inf,7.80119533779977,6.1323502654599e-15
QTL fixation,DV - R,GW,2X,WT,2,2,4,negative_QTL,0.0273809523808374,0.00576834677914857,Inf,4.74675906792119,2.06701923671299e-06
QTL fixation,DV - R,CV,20X,Chr,200,2,4,negative_QTL,0.0183882856928153,0.00576834677914855,Inf,3.18779130257657,0.00143363969605281
QTL fixation,DV - R,GW,20X,Chr,200,2,4,negative_QTL,0.020296973323991,0.00576834677914853,Inf,3.51868119256641,0.000433697541890806
QTL fixation,DV - R,CV,2X,Chr,200,2,4,negative_QTL,0.0284310191135015,0.00576834677914853,Inf,4.92879852790304,8.27368392840207e-07
QTL fixation,DV - R,GW,2X,Chr,200,2,4,negative_QTL,0.0201019356697428,0.00576834677914851,Inf,3.48486948503297,0.000492377144214643
QTL fixation,DV - R,CV,20X,Peri,200,2,4,negative_QTL,0.0250072147696633,0.00576834677914854,Inf,4.33524816158064,1.45595775595859e-05
QTL fixation,DV - R,CV,2X,Peri,200,2,4,negative_QTL,0.0295497823980684,0.00576834677914848,Inf,5.12274721500542,3.01115916026116e-07
QTL fixation,DV - R,GW,2X,Peri,200,2,4,negative_QTL,0.0194378833126204,0.00576834677914845,Inf,3.36974943720182,0.000752365623293301
QTL fixation,DV - R,CV,20X,WT,200,2,4,negative_QTL,0.0310952303322749,0.00576834677914854,Inf,5.39066590876231,7.01970730225965e-08
QTL fixation,DV - R,GW,20X,WT,200,2,4,negative_QTL,0.0211127386096014,0.00576834677914855,Inf,3.66010217796195,0.000252114694471434
QTL fixation,DV - R,CV,2X,WT,200,2,4,negative_QTL,0.0248050479303741,0.00576834677914856,Inf,4.30020053926707,1.70643619637949e-05
QTL fixation,DV - R,GW,2X,WT,200,2,4,negative_QTL,0.018320072302324,0.00576834677914856,Inf,3.17596583626828,0.00149338537342697
QTL fixation,DV - R,CV,20X,Chr,2,8,4,negative_QTL,0.0457142857143737,0.00576834677914844,Inf,7.92502383518669,2.28102575157865e-15
QTL fixation,DV - R,GW,20X,Chr,2,8,4,negative_QTL,0.0326190476192227,0.0057683467791485,Inf,5.65483471575158,1.55996316238744e-08
QTL fixation,DV - R,CV,2X,Chr,2,8,4,negative_QTL,0.0435714285716934,0.00576834677914845,Inf,7.55353834294368,4.23589731510294e-14
QTL fixation,DV - R,GW,2X,Chr,2,8,4,negative_QTL,0.0188095238095712,0.00576834677914855,Inf,3.26081709885474,0.00111091673754324
QTL fixation,DV - R,CV,20X,Peri,2,8,4,negative_QTL,0.0564285714285688,0.00576834677914856,Inf,9.78245129653908,1.33926917401541e-22
QTL fixation,DV - R,GW,20X,Peri,2,8,4,negative_QTL,0.0350000000000377,0.00576834677914849,Inf,6.0675963738096,1.29838708195061e-09
QTL fixation,DV - R,CV,2X,Peri,2,8,4,negative_QTL,0.0366666666666528,0.00576834677914856,Inf,6.35652953445789,2.06362780109613e-10
QTL fixation,DV - R,GW,2X,Peri,2,8,4,negative_QTL,0.0185714285714024,0.00576834677914851,Inf,3.21954093303382,0.00128396028527271
QTL fixation,DV - R,CV,20X,WT,2,8,4,negative_QTL,0.0502380952380611,0.00576834677914846,Inf,8.70927098552099,3.05835336404962e-18
QTL fixation,DV - R,GW,20X,WT,2,8,4,negative_QTL,0.0264285714285969,0.00576834677914848,Inf,4.58165440471286,4.6131180808485e-06
QTL fixation,DV - R,CV,2X,WT,2,8,4,negative_QTL,0.0402380952380857,0.00576834677914854,Inf,6.97567202158141,3.04412146864481e-12
QTL fixation,DV - R,GW,2X,WT,2,8,4,negative_QTL,0.0171428571428353,0.00576834677914862,Inf,2.97188393818541,0.0029597854788239
QTL fixation,DV - R,CV,20X,Chr,200,8,4,negative_QTL,0.0244548450757453,0.00576834677914851,Inf,4.23948940867165,2.2402876278595e-05
QTL fixation,DV - R,GW,20X,Chr,200,8,4,negative_QTL,0.0280059574268031,0.00576834677914855,Inf,4.85510987793577,1.20320008805979e-06
QTL fixation,DV - R,CV,2X,Chr,200,8,4,negative_QTL,0.035525181055149,0.00576834677914851,Inf,6.15864170711198,7.33715136722533e-10
QTL fixation,DV - R,GW,2X,Chr,200,8,4,negative_QTL,0.0342743016673087,0.00576834677914843,Inf,5.94178938603419,2.81927498393476e-09
QTL fixation,DV - R,CV,20X,Peri,200,8,4,negative_QTL,0.0243909615313318,0.00576834677914849,Inf,4.22841456403083,2.3534385123557e-05
QTL fixation,DV - R,GW,20X,Peri,200,8,4,negative_QTL,0.0322256165061387,0.00576834677914839,Inf,5.5866295387491,2.31518869891165e-08
QTL fixation,DV - R,CV,2X,Peri,200,8,4,negative_QTL,0.0346936968794963,0.00576834677914839,Inf,6.01449569656738,1.80447560576017e-09
QTL fixation,DV - R,GW,2X,Peri,200,8,4,negative_QTL,0.0339546039462589,0.00576834677914843,Inf,5.88636662223549,3.94778067705852e-09
QTL fixation,DV - R,CV,20X,WT,200,8,4,negative_QTL,0.0366492746893724,0.00576834677914854,Inf,6.35351446307847,2.10450390755302e-10
QTL fixation,DV - R,GW,20X,WT,200,8,4,negative_QTL,0.0365575499548779,0.00576834677914852,Inf,6.33761307260973,2.33351948399098e-10
QTL fixation,DV - R,CV,2X,WT,200,8,4,negative_QTL,0.0332380083167791,0.00576834677914849,Inf,5.76213767815215,8.3055202352212e-09
QTL fixation,DV - R,GW,2X,WT,200,8,4,negative_QTL,0.0380840768400918,0.00576834677914833,Inf,6.60225161527386,4.04959417392916e-11
