response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,20X,Chr,2,2,1,negative_QTL,DV,0.0226190475673354,0.00576834677914722,Inf,3.92123574281354,8.80960238844302e-05
QTL fixation,CV - GW,2X,Chr,2,2,1,negative_QTL,DV,0.0269047619031033,0.00576834677914893,Inf,4.66420673603692,3.09809802577086e-06
QTL fixation,CV - GW,20X,Peri,2,2,1,negative_QTL,DV,0.0242857142860594,0.00576834677914801,Inf,4.21016891249497,2.55179831309458e-05
QTL fixation,CV - GW,2X,Peri,2,2,1,negative_QTL,DV,0.0219047619038476,0.0057683467791485,Inf,3.79740725419444,0.000146217456771348
QTL fixation,CV - GW,20X,WT,2,2,1,negative_QTL,DV,0.0245238095229702,0.00576834677914843,Inf,4.25144507809751,2.12395599249862e-05
QTL fixation,CV - GW,2X,WT,2,2,1,negative_QTL,DV,0.0230952380947072,0.0057683467791485,Inf,4.00378808330182,6.23362089525693e-05
QTL fixation,CV - GW,20X,Chr,2,2,2,negative_QTL,DV,-0.0195238095185678,0.00576834677914849,Inf,-3.38464559536239,0.00071270210086662
QTL fixation,CV - GW,20X,Chr,2,8,2,negative_QTL,DV,-0.0166666666677598,0.00576834677914847,Inf,-2.88933160676241,0.00386061717451772
QTL fixation,CV - GW,2X,Peri,2,8,2,negative_QTL,DV,-0.0133333333333289,0.00576834677914858,Inf,-2.31146528525751,0.0208071685061548
QTL fixation,CV - GW,20X,WT,2,8,2,negative_QTL,DV,-0.0121428571426657,0.00576834677914851,Inf,-2.1050844561842,0.0352839570343704
QTL fixation,CV - GW,20X,Chr,200,8,2,negative_QTL,DV,-0.0119533399417,0.00576834677914853,Inf,-2.07222977385983,0.0382440180004456
QTL fixation,CV - GW,20X,Peri,200,8,2,negative_QTL,DV,-0.0121861715298238,0.00576834677914863,Inf,-2.11259343385427,0.03463558120983
QTL fixation,CV - GW,20X,Chr,2,2,3,negative_QTL,DV,-0.0259523809523794,0.0057683467791485,Inf,-4.4991020730918,6.82410877889296e-06
QTL fixation,CV - GW,2X,Chr,2,2,3,negative_QTL,DV,-0.0140476190471181,0.00576834677914854,Inf,-2.435293782596,0.0148797033296501
QTL fixation,CV - GW,20X,Peri,2,2,3,negative_QTL,DV,-0.0192857142855634,0.00576834677914854,Inf,-3.34336943043674,0.000827676334562071
QTL fixation,CV - GW,2X,Peri,2,2,3,negative_QTL,DV,-0.0142857142857214,0.00576834677914849,Inf,-2.47656994849228,0.0132651629102794
QTL fixation,CV - GW,2X,WT,2,2,3,negative_QTL,DV,-0.0223809523809782,0.00576834677914853,Inf,-3.87995958597375,0.000104473822209037
QTL fixation,CV - GW,20X,Chr,200,2,3,negative_QTL,DV,-0.0160925516620844,0.00576834677914856,Inf,-2.78980308886003,0.00527401067474672
QTL fixation,CV - GW,2X,WT,200,2,3,negative_QTL,DV,0.0121559298302511,0.00576834677914858,Inf,2.10735073594958,0.0350871885172413
QTL fixation,CV - GW,20X,Chr,2,8,3,negative_QTL,DV,-0.022380952381083,0.00576834677914851,Inf,-3.87995958599195,0.000104473822201222
QTL fixation,CV - GW,2X,Peri,2,8,3,negative_QTL,DV,-0.0290476190476197,0.00576834677914845,Inf,-5.03569222859861,4.76125043221066e-07
QTL fixation,CV - GW,20X,WT,2,8,3,negative_QTL,DV,-0.0157142857142382,0.00576834677914853,Inf,-2.72422694333191,0.0064452201515405
QTL fixation,CV - GW,2X,WT,2,8,3,negative_QTL,DV,-0.0280952380952326,0.00576834677914856,Inf,-4.87058756536472,1.11266876787138e-06
QTL fixation,CV - GW,20X,Chr,200,8,3,negative_QTL,DV,-0.0221014427683546,0.00576834677914851,Inf,-3.83150382848812,0.00012736239219588
QTL fixation,CV - GW,20X,Peri,200,8,3,negative_QTL,DV,-0.0195971994263962,0.00576834677914848,Inf,-3.39736846217993,0.000680372885792301
QTL fixation,CV - GW,2X,Chr,200,2,4,negative_QTL,DV,0.0127359776178521,0.00576834677914853,Inf,2.20790776031189,0.027250703771824
QTL fixation,CV - GW,2X,Peri,200,2,4,negative_QTL,DV,0.0145635159392352,0.00576834677914856,Inf,2.52472961436358,0.0115787336965432
QTL fixation,CV - GW,20X,WT,200,2,4,negative_QTL,DV,0.0138163451605249,0.00576834677914851,Inf,2.3952001655775,0.0166112941022612
QTL fixation,CV - GW,20X,Chr,2,8,4,negative_QTL,DV,-0.0133333333331717,0.00576834677914844,Inf,-2.31146528523031,0.0208071685076553
QTL fixation,CV - GW,2X,Peri,2,8,4,negative_QTL,DV,-0.0164285714285676,0.00576834677914852,Inf,-2.84805544076402,0.00439872609980255
QTL fixation,CV - GW,20X,Chr,200,8,4,negative_QTL,DV,-0.0245530118784573,0.00576834677914853,Inf,-4.25650759541915,2.07644985628444e-05
QTL fixation,CV - GW,20X,Peri,200,8,4,negative_QTL,DV,-0.0173525544291029,0.00576834677914861,Inf,-3.00823703800695,0.00262768096797448
QTL fixation,CV - GW,20X,Chr,2,2,5,negative_QTL,DV,-0.0402380952396676,0.0057683467791488,Inf,-6.97567202185532,3.04412146271332e-12
QTL fixation,CV - GW,2X,Chr,2,2,5,negative_QTL,DV,-0.0285714285702631,0.00576834677914853,Inf,-4.95313989678001,7.30254340690972e-07
QTL fixation,CV - GW,20X,Peri,2,2,5,negative_QTL,DV,-0.0273809523806951,0.00576834677914859,Inf,-4.7467590678965,2.06701923696519e-06
QTL fixation,CV - GW,20X,WT,2,2,5,negative_QTL,DV,-0.0226190476187373,0.00576834677914863,Inf,-3.9212357517236,8.80960206264717e-05
QTL fixation,CV - GW,2X,WT,2,2,5,negative_QTL,DV,-0.040476190476261,0.00576834677914851,Inf,-7.01694818740351,2.26766651425159e-12
QTL fixation,CV - GW,20X,Chr,200,2,5,negative_QTL,DV,-0.0207778347222339,0.00576834677914857,Inf,-3.60204327474584,0.000315725788839077
QTL fixation,CV - GW,20X,Chr,2,8,5,negative_QTL,DV,-0.0366666666672099,0.00576834677914863,Inf,-6.35652953455438,2.06362779980051e-10
QTL fixation,CV - GW,2X,Chr,2,8,5,negative_QTL,DV,-0.0202380952382786,0.00576834677914852,Inf,-3.50847409372742,0.000450685125329629
QTL fixation,CV - GW,20X,Peri,2,8,5,negative_QTL,DV,-0.0221428571428373,0.00576834677914856,Inf,-3.83868342015764,0.000123695793945867
