response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,med_neg - small_neg,8,2X,Chr,2,2,CV,DV,0.0509795454545433,0.00754599282974142,Inf,6.7558433468973,4.26235713391065e-11
QTL AF,large_neg - med_neg,2,20X,Peri,2,2,CV,DV,0.034986931818215,0.0075459928297418,Inf,4.63649152704167,1.05728892543233e-05
QTL AF,large_neg - small_neg,2,20X,Peri,2,2,CV,DV,-0.0969886363636124,0.00754599282974194,Inf,-12.8529987440936,0
QTL AF,med_neg - small_neg,2,20X,Peri,2,2,CV,DV,-0.131975568181827,0.00754599282974139,Inf,-17.4894902711364,0
QTL AF,large_neg - med_neg,8,20X,Peri,2,2,CV,DV,0.12319420454544,0.00754599282974145,Inf,16.3257781083342,0
QTL AF,large_neg - small_neg,8,20X,Peri,2,2,CV,DV,0.173838636363625,0.00754599282974153,Inf,23.0372119727523,0
QTL AF,med_neg - small_neg,8,20X,Peri,2,2,CV,DV,0.050644431818185,0.00754599282974154,Inf,6.71143386441829,5.7835736200218e-11
QTL AF,large_neg - small_neg,2,2X,Peri,2,2,CV,DV,-0.0790204545454777,0.00754599282974131,Inf,-10.471843311861,2.77555756156289e-14
QTL AF,med_neg - small_neg,2,2X,Peri,2,2,CV,DV,-0.0929726136363623,0.00754599282974141,Inf,-12.3207927351752,0
QTL AF,large_neg - med_neg,8,2X,Peri,2,2,CV,DV,0.119774090909096,0.00754599282974145,Inf,15.8725423693783,0
QTL AF,large_neg - small_neg,8,2X,Peri,2,2,CV,DV,0.174063636363641,0.00754599282974144,Inf,23.067029122741,0
QTL AF,med_neg - small_neg,8,2X,Peri,2,2,CV,DV,0.0542895454545447,0.00754599282974159,Inf,7.19448675336256,1.90270021960259e-12
QTL AF,large_neg - med_neg,2,20X,WT,2,2,CV,DV,0.0190246590909388,0.00754599282974157,Inf,2.52116050467946,0.0313934485315947
QTL AF,large_neg - small_neg,2,20X,WT,2,2,CV,DV,-0.074411363636339,0.00754599282974176,Inf,-9.86104351213457,2.85327317328665e-14
QTL AF,med_neg - small_neg,2,20X,WT,2,2,CV,DV,-0.0934360227272778,0.00754599282974146,Inf,-12.3822040168145,0
QTL AF,large_neg - med_neg,8,20X,WT,2,2,CV,DV,0.121806249999998,0.00754599282974144,Inf,16.1418454467537,0
QTL AF,large_neg - small_neg,8,20X,WT,2,2,CV,DV,0.171727272727273,0.00754599282974152,Inf,22.7574126562157,0
QTL AF,med_neg - small_neg,8,20X,WT,2,2,CV,DV,0.0499210227272751,0.00754599282974141,Inf,6.61556720946233,1.1105272257339e-10
QTL AF,large_neg - med_neg,2,2X,WT,2,2,CV,DV,0.0340084090908872,0.00754599282974146,Inf,4.50681704292746,1.9607286846357e-05
QTL AF,large_neg - small_neg,2,2X,WT,2,2,CV,DV,-0.089675000000019,0.00754599282974145,Inf,-11.8837907778785,0
QTL AF,med_neg - small_neg,2,2X,WT,2,2,CV,DV,-0.123683409090906,0.00754599282974142,Inf,-16.3906078208061,0
QTL AF,large_neg - med_neg,8,2X,WT,2,2,CV,DV,0.114337045454552,0.00754599282974136,Inf,15.1520214813762,0
