response,contrast,Map_type,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,20X - 2X,WT,2,2,3,CV,negative_QTL,DV,0.0173809523805743,0.0054101129204873,Inf,3.21267830006933,0.00131503495192799
QTL fixation,20X - 2X,Chr,200,2,3,CV,negative_QTL,DV,-0.0152136159424485,0.00541011292048734,Inf,-2.81206994494268,0.00492237980977241
QTL fixation,20X - 2X,Peri,200,2,3,CV,negative_QTL,DV,-0.0127917684552715,0.0054101129204873,Inf,-2.36441801553364,0.0180584237971028
QTL fixation,20X - 2X,Peri,2,8,3,CV,negative_QTL,DV,0.0250000000000762,0.00541011292048735,Inf,4.6209756372006,3.81939630070433e-06
QTL fixation,20X - 2X,Chr,200,8,3,CV,negative_QTL,DV,-0.0159554886322473,0.00541011292048742,Inf,-2.9491969699608,0.00318600847484852
QTL fixation,20X - 2X,Peri,200,8,3,CV,negative_QTL,DV,-0.0196556649602354,0.00541011292048738,Inf,-3.63313395655791,0.00027999955966878
QTL fixation,20X - 2X,Chr,200,2,4,CV,negative_QTL,DV,-0.0154338883644848,0.00541011292048736,Inf,-2.85278488477362,0.00433379474288179
QTL fixation,20X - 2X,Peri,200,2,4,CV,negative_QTL,DV,-0.0132933868546719,0.00541011292048733,Inf,-2.45713667164537,0.0140049394857155
QTL fixation,20X - 2X,Peri,2,8,4,CV,negative_QTL,DV,0.0145238095238885,0.00541011292048736,Inf,2.68456679876105,0.0072623869245765
QTL fixation,20X - 2X,Chr,200,8,4,CV,negative_QTL,DV,-0.0230012083934994,0.00541011292048738,Inf,-4.25152094448839,2.12323649431834e-05
QTL fixation,20X - 2X,Peri,200,8,4,CV,negative_QTL,DV,-0.0172341189570135,0.00541011292048734,Inf,-3.18553775314935,0.00144485250693513
QTL fixation,20X - 2X,Peri,2,2,5,CV,negative_QTL,DV,-0.015714285714316,0.00541011292048717,Inf,-2.90461325766579,0.00367707140886927
QTL fixation,20X - 2X,Chr,200,2,5,CV,negative_QTL,DV,-0.0152433436896266,0.00541011292048729,Inf,-2.81756479276104,0.00483893502783104
QTL fixation,20X - 2X,Peri,200,2,5,CV,negative_QTL,DV,-0.0112239744613493,0.00541011292048733,Inf,-2.07462850153195,0.0380209784787865
QTL fixation,20X - 2X,Chr,200,8,5,CV,negative_QTL,DV,-0.0234375745238506,0.00541011292048728,Inf,-4.33217843477834,1.47641207758267e-05
QTL fixation,20X - 2X,Peri,200,8,5,CV,negative_QTL,DV,-0.0224208953073652,0.00541011292048734,Inf,-4.14425643916976,3.40918078090987e-05
QTL fixation,20X - 2X,WT,2,8,3,GW,negative_QTL,DV,-0.0121428571428597,0.0054101129204873,Inf,-2.24447388091965,0.0248019276128284
QTL fixation,20X - 2X,Peri,2,2,4,GW,negative_QTL,DV,-0.0111904761901964,0.0054101129204873,Inf,-2.06843671373656,0.0385989758823348
QTL fixation,20X - 2X,Peri,200,2,4,GW,negative_QTL,DV,-0.0123827540737251,0.00541011292048731,Inf,-2.28881619583824,0.0220900340578376
QTL fixation,20X - 2X,Chr,2,8,4,GW,negative_QTL,DV,0.0128571428567848,0.0054101129204873,Inf,2.37650175620118,0.0174776781967526
QTL fixation,20X - 2X,WT,2,8,5,GW,negative_QTL,DV,0.0109523809524012,0.0054101129204873,Inf,2.02442742200929,0.042926192634595
QTL fixation,20X - 2X,Peri,200,8,5,GW,negative_QTL,DV,-0.0112430155429001,0.00541011292048737,Inf,-2.07814803649003,0.0376957264417702
QTL fixation,20X - 2X,Chr,200,2,1,CV,positive_QTL,DV,-0.0151577607970131,0.00541011292048735,Inf,-2.80174573429194,0.00508269155889689
QTL fixation,20X - 2X,Chr,200,2,2,CV,positive_QTL,DV,-0.01232053132445,0.00541011292048729,Inf,-2.27731500349909,0.0227674216262851
QTL fixation,20X - 2X,WT,2,2,3,CV,positive_QTL,DV,-0.0173809523800782,0.00541011292048736,Inf,-3.2126782999776,0.00131503495234798
QTL fixation,20X - 2X,Chr,200,2,3,CV,positive_QTL,DV,-0.0137164509581503,0.00541011292048729,Inf,-2.53533542825107,0.011233969984052
QTL fixation,20X - 2X,Peri,200,2,3,CV,positive_QTL,DV,-0.0163451799176628,0.00541011292048733,Inf,-3.02122712739801,0.00251752439519781
QTL fixation,20X - 2X,Peri,2,8,3,CV,positive_QTL,DV,-0.0250000000001573,0.00541011292048741,Inf,-4.62097563721553,3.81939630042945e-06
QTL fixation,20X - 2X,Chr,200,8,3,CV,positive_QTL,DV,-0.0180410962964224,0.00541011292048732,Inf,-3.33469865815617,0.00085391881284995
QTL fixation,20X - 2X,Peri,200,8,3,CV,positive_QTL,DV,-0.0168515097498798,0.00541011292048731,Inf,-3.11481664016024,0.00184059287149614
QTL fixation,20X - 2X,Chr,200,2,4,CV,positive_QTL,DV,-0.0166345471776575,0.00541011292048735,Inf,-3.0747134897434,0.00210704859633548
QTL fixation,20X - 2X,Peri,200,2,4,CV,positive_QTL,DV,-0.0116785233933857,0.00541011292048734,Inf,-2.15864688316592,0.0308775725601665
QTL fixation,20X - 2X,Peri,2,8,4,CV,positive_QTL,DV,-0.0145238095238457,0.00541011292048737,Inf,-2.68456679875313,0.00726238692474847
QTL fixation,20X - 2X,Chr,200,8,4,CV,positive_QTL,DV,-0.0207401125519142,0.00541011292048734,Inf,-3.83358219259607,0.000126290576069654
QTL fixation,20X - 2X,Peri,200,8,4,CV,positive_QTL,DV,-0.0143366586591041,0.00541011292048744,Inf,-2.64997401529513,0.00804979617910061
QTL fixation,20X - 2X,Peri,2,2,5,CV,positive_QTL,DV,0.0157142857147986,0.0054101129204873,Inf,2.90461325775493,0.00367707140782214
QTL fixation,20X - 2X,Chr,200,2,5,CV,positive_QTL,DV,-0.0213956406292302,0.00541011292048723,Inf,-3.95474936358691,7.66149261416586e-05
QTL fixation,20X - 2X,Peri,200,2,5,CV,positive_QTL,DV,-0.0185010254174415,0.00541011292048736,Inf,-3.41971150867862,0.000626875782343017
QTL fixation,20X - 2X,Chr,200,8,5,CV,positive_QTL,DV,-0.0227731565407537,0.00541011292048725,Inf,-4.20936806226638,2.56085929842799e-05
QTL fixation,20X - 2X,Peri,200,8,5,CV,positive_QTL,DV,-0.019383811447908,0.00541011292048741,Inf,-3.58288481826395,0.000339820473096738
QTL fixation,20X - 2X,Chr,2,2,2,GW,positive_QTL,DV,-0.0180952380948126,0.00541011292048732,Inf,-3.34470617540875,0.000823697822863548
QTL fixation,20X - 2X,Peri,2,2,2,GW,positive_QTL,DV,-0.0150000000002518,0.00541011292048734,Inf,-2.77258538235845,0.00556129279468389
QTL fixation,20X - 2X,Chr,2,2,3,GW,positive_QTL,DV,-0.018809523808556,0.00541011292048732,Inf,-3.47673405065669,0.000507561007569155
QTL fixation,20X - 2X,Peri,2,2,3,GW,positive_QTL,DV,-0.0278571428572657,0.00541011292048731,Inf,-5.149087138602,2.61757262577033e-07
QTL fixation,20X - 2X,Peri,200,2,3,GW,positive_QTL,DV,-0.017349321437213,0.00541011292048732,Inf,-3.20683166732318,0.00134205501170159
QTL fixation,20X - 2X,WT,2,8,3,GW,positive_QTL,DV,0.0116666666666682,0.0054101129204874,Inf,2.15645529735397,0.0310481307795493
QTL fixation,20X - 2X,Peri,200,8,3,GW,positive_QTL,DV,-0.0115274950807201,0.00541011292048715,Inf,-2.13073095703187,0.0331113132005125
QTL fixation,20X - 2X,WT,2,2,4,GW,positive_QTL,DV,0.011190476190545,0.00541011292048724,Inf,2.06843671380101,0.0385989758762792
QTL fixation,20X - 2X,Peri,200,2,4,GW,positive_QTL,DV,-0.0124686373660329,0.00541011292048721,Inf,-2.30469077989412,0.021183897640921
QTL fixation,20X - 2X,Chr,2,8,4,GW,positive_QTL,DV,-0.014523809524277,0.00541011292048725,Inf,-2.68456679883291,0.00726238692301533
QTL fixation,20X - 2X,Chr,2,2,5,GW,positive_QTL,DV,-0.0238095238087624,0.00541011292048722,Inf,-4.40092917813223,1.0778830447666e-05
QTL fixation,20X - 2X,Peri,2,2,5,GW,positive_QTL,DV,-0.0266666666667006,0.00541011292048735,Inf,-4.92904067967188,8.2634368818841e-07
QTL fixation,20X - 2X,Peri,200,2,5,GW,positive_QTL,DV,-0.0163029600753325,0.00541011292048735,Inf,-3.01342325288543,0.00258318369067114
QTL fixation,20X - 2X,WT,2,8,5,GW,positive_QTL,DV,-0.0111904761904776,0.0054101129204872,Inf,-2.06843671378856,0.0385989758774494
QTL fixation,20X - 2X,Chr,200,8,5,GW,positive_QTL,DV,-0.0108086069672381,0.00541011292048718,Inf,-1.99785237870134,0.0457326667732035
QTL fixation,20X - 2X,Peri,200,8,5,GW,positive_QTL,DV,-0.0118412551795019,0.00541011292048727,Inf,-2.1887260679275,0.0286167561122374
QTL fixation,20X - 2X,Chr,200,2,3,CV,negative_QTL,R,-0.0115289608812413,0.00541011292048729,Inf,-2.13100189417171,0.0330889861351937
QTL fixation,20X - 2X,Chr,2,8,3,CV,negative_QTL,R,0.0135714285717798,0.00541011292048724,Inf,2.50852963168051,0.0121234799461839
QTL fixation,20X - 2X,WT,2,8,3,CV,negative_QTL,R,-0.0130952380952393,0.00541011292048728,Inf,-2.42051104805033,0.0154987083230201
QTL fixation,20X - 2X,Chr,200,2,4,CV,negative_QTL,R,-0.0111120535751703,0.00541011292048731,Inf,-2.05394115399895,0.0399813875436943
QTL fixation,20X - 2X,Chr,200,8,4,CV,negative_QTL,R,-0.0127991047717278,0.00541011292048729,Inf,-2.3657740531181,0.0179924213671516
QTL fixation,20X - 2X,Chr,200,2,5,CV,negative_QTL,R,-0.0107383231639626,0.00541011292048732,Inf,-1.98486118899628,0.0471599174545796
QTL fixation,20X - 2X,Peri,2,8,5,CV,negative_QTL,R,-0.0114285714285651,0.00541011292048735,Inf,-2.1124460055698,0.0346482125459221
