response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,Chr - WT,20X,200,2,2,CV,negative_QTL,DV,-0.0135972369149294,0.00541011292048724,Inf,-2.51330002067772,0.0320694736747174
QTL fixation,Chr - WT,20X,200,2,3,CV,negative_QTL,DV,-0.0203623702439345,0.0054101129204873,Inf,-3.76376067250375,0.000491158547197057
QTL fixation,Peri - WT,20X,200,2,3,CV,negative_QTL,DV,-0.0196248406795333,0.00541011292048733,Inf,-3.62743642655163,0.000835940292551851
QTL fixation,Chr - Peri,2X,2,8,3,CV,negative_QTL,DV,0.0200000000002557,0.00541011292048732,Inf,3.6967805097965,0.000639287727253302
QTL fixation,Chr - WT,20X,200,8,3,CV,negative_QTL,DV,-0.0265555732917166,0.00541011292048736,Inf,-4.90850628850172,2.74382764109404e-06
QTL fixation,Peri - WT,20X,200,8,3,CV,negative_QTL,DV,-0.0267112480288642,0.00541011292048734,Inf,-4.93728105520912,2.36891330507305e-06
QTL fixation,Chr - WT,20X,200,2,4,CV,negative_QTL,DV,-0.0213177730161505,0.00541011292048734,Inf,-3.94035638986814,0.000239973612293332
QTL fixation,Peri - WT,20X,200,2,4,CV,negative_QTL,DV,-0.0189312690580732,0.00541011292048733,Inf,-3.49923732393518,0.00135533927182996
QTL fixation,Chr - WT,20X,200,8,4,CV,negative_QTL,DV,-0.0277072425747997,0.00541011292048737,Inf,-5.12137971647063,9.0783301642805e-07
QTL fixation,Peri - WT,20X,200,8,4,CV,negative_QTL,DV,-0.0218742479843783,0.00541011292048736,Inf,-4.04321468070352,0.000155893093407355
QTL fixation,Peri - WT,2X,2,2,5,CV,negative_QTL,DV,0.0142857142856914,0.00541011292048733,Inf,2.64055750695949,0.0225368382076193
QTL fixation,Chr - WT,20X,200,2,5,CV,negative_QTL,DV,-0.0221571039125292,0.00541011292048729,Inf,-4.09549749481634,0.000124700734917771
QTL fixation,Peri - WT,20X,200,2,5,CV,negative_QTL,DV,-0.020118826472872,0.00541011292048735,Inf,-3.71874427919699,0.000586639418684642
QTL fixation,Chr - WT,20X,200,8,5,CV,negative_QTL,DV,-0.0334431555638618,0.00541011292048733,Inf,-6.18160028364978,1.90316706838445e-09
QTL fixation,Peri - WT,20X,200,8,5,CV,negative_QTL,DV,-0.0296373746630678,0.00541011292048734,Inf,-5.47814345072821,1.28794289677714e-07
QTL fixation,Chr - Peri,20X,2,2,2,GW,negative_QTL,DV,0.0159523809512176,0.00541011292048736,Inf,2.94862254922779,0.00895746790734431
QTL fixation,Chr - WT,20X,2,2,3,GW,negative_QTL,DV,0.018571428570378,0.00541011292048736,Inf,3.43272475885865,0.00173034494331659
QTL fixation,Peri - WT,20X,200,2,3,GW,negative_QTL,DV,-0.016643442668058,0.00541011292048735,Inf,-3.07635772352025,0.00593933756808129
QTL fixation,Peri - WT,20X,200,8,3,GW,negative_QTL,DV,-0.0150605360065685,0.00541011292048732,Inf,-2.78377479877295,0.0148539565147474
QTL fixation,Chr - Peri,20X,200,2,4,GW,negative_QTL,DV,0.014099405201362,0.0054101129204873,Inf,2.60612031737261,0.0248350309628218
QTL fixation,Peri - WT,20X,200,2,4,GW,negative_QTL,DV,-0.0227440928635923,0.00541011292048733,Inf,-4.20399596050272,7.77919267008764e-05
QTL fixation,Peri - WT,20X,200,8,4,GW,negative_QTL,DV,-0.0147933048475758,0.00541011292048736,Inf,-2.73438005176482,0.0171915868786565
QTL fixation,Peri - WT,20X,2,2,5,GW,negative_QTL,DV,-0.0130952380953511,0.00541011292048736,Inf,-2.42051104807097,0.0410412218963678
QTL fixation,Chr - WT,2X,2,2,5,GW,negative_QTL,DV,-0.0128571428571246,0.00541011292048736,Inf,-2.37650175626397,0.045991417087821
QTL fixation,Peri - WT,2X,2,2,5,GW,negative_QTL,DV,-0.0240476190476148,0.00541011292048733,Inf,-4.44493847005483,2.61752653597513e-05
QTL fixation,Chr - Peri,20X,200,2,5,GW,negative_QTL,DV,0.0156074093037309,0.00541011292048734,Inf,2.88485832608555,0.0109288607427681
QTL fixation,Peri - WT,20X,200,2,5,GW,negative_QTL,DV,-0.0187145167152454,0.00541011292048735,Inf,-3.45917303211474,0.00157100822392509
QTL fixation,Chr - WT,20X,200,8,5,GW,negative_QTL,DV,-0.0126987675827371,0.00541011292048732,Inf,-2.34722782488489,0.049555350249583
QTL fixation,Peri - WT,20X,200,8,5,GW,negative_QTL,DV,-0.0189515216007677,0.00541011292048736,Inf,-3.50298078419045,0.00133665829134688
QTL fixation,Chr - WT,20X,200,2,1,CV,positive_QTL,DV,-0.0197909028068497,0.00541011292048758,Inf,-3.65813118833498,0.000742800622581918
QTL fixation,Peri - WT,20X,200,2,1,CV,positive_QTL,DV,-0.0167429733504951,0.00541011292048738,Inf,-3.09475487786801,0.00559044461648761
QTL fixation,Chr - WT,20X,200,2,2,CV,positive_QTL,DV,-0.0178152935692086,0.00541011292048734,Inf,-3.29296150210554,0.00284964878979688
QTL fixation,Peri - WT,20X,200,2,2,CV,positive_QTL,DV,-0.0162301759443134,0.00541011292048732,Inf,-2.99996990503692,0.00760878387545771
