response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 8,20X,WT,200,4,CV,large_neg,DV,0.0184756537807194,0.00754599282974133,Inf,2.44840595499913,0.014348988371262
QTL AF,2 - 8,2X,WT,200,4,CV,large_neg,DV,0.0228962384876886,0.0075459928297415,Inf,3.03422478715408,0.00241154671572412
QTL AF,2 - 8,20X,Chr,2,5,CV,large_neg,DV,-0.174520454545652,0.00754599282974403,Inf,-23.1275669727308,2.44534543642922e-118
QTL AF,2 - 8,2X,Chr,2,5,CV,large_neg,DV,-0.165406818181792,0.00754599282974014,Inf,-21.9198218066009,1.68114081027753e-106
QTL AF,2 - 8,20X,Peri,2,5,CV,large_neg,DV,-0.143813636363622,0.00754599282974092,Inf,-19.0582789579141,5.60896770475007e-81
QTL AF,2 - 8,2X,Peri,2,5,CV,large_neg,DV,-0.146720454545472,0.00754599282974108,Inf,-19.4434924410744,3.30857301025942e-84
QTL AF,2 - 8,20X,WT,2,5,CV,large_neg,DV,-0.169663636363633,0.0075459928297422,Inf,-22.4839381896721,5.96095775112729e-112
QTL AF,2 - 8,2X,WT,2,5,CV,large_neg,DV,-0.165584090909098,0.00754599282974158,Inf,-21.9433141065903,1.00318795832734e-106
QTL AF,2 - 8,20X,Chr,200,5,CV,large_neg,DV,0.0302281345651874,0.00754599282974113,Inf,4.00585254282892,6.17941918974873e-05
QTL AF,2 - 8,2X,Chr,200,5,CV,large_neg,DV,0.0252062204044922,0.00754599282974125,Inf,3.34034513061637,0.000836743342825173
QTL AF,2 - 8,20X,Peri,200,5,CV,large_neg,DV,0.0311392290919285,0.00754599282974124,Inf,4.12659139685352,3.68179717146007e-05
QTL AF,2 - 8,2X,Peri,200,5,CV,large_neg,DV,0.024020156525133,0.0075459928297414,Inf,3.18316715468654,0.00145673490594467
QTL AF,2 - 8,20X,WT,200,5,CV,large_neg,DV,0.0210591621524546,0.00754599282974153,Inf,2.7907742066031,0.00525821397145709
QTL AF,2 - 8,2X,WT,200,5,CV,large_neg,DV,0.022549388815457,0.00754599282974144,Inf,2.98826003737796,0.00280570726376553
QTL AF,2 - 8,20X,Chr,2,2,GW,large_neg,DV,-0.111604545454513,0.00754599282974179,Inf,-14.7899087598699,1.701843428226e-49
QTL AF,2 - 8,2X,Chr,2,2,GW,large_neg,DV,-0.120281818181815,0.00754599282974156,Inf,-15.9398267260127,3.35282178161923e-57
QTL AF,2 - 8,20X,Peri,2,2,GW,large_neg,DV,-0.113640909090933,0.0075459928297415,Inf,-15.0597690264206,2.9782571547309e-51
QTL AF,2 - 8,2X,Peri,2,2,GW,large_neg,DV,-0.108756818181814,0.00754599282974133,Inf,-14.4125260433811,4.3163032532005e-47
QTL AF,2 - 8,20X,WT,2,2,GW,large_neg,DV,-0.120095454545475,0.00754599282974148,Inf,-15.9151296926941,4.97637829706549e-57
QTL AF,2 - 8,2X,WT,2,2,GW,large_neg,DV,-0.121822727272722,0.00754599282974147,Inf,-16.1440290259188,1.25101653465989e-58
QTL AF,2 - 8,20X,Chr,200,2,GW,large_neg,DV,0.0154210034869513,0.00754599282974138,Inf,2.04360166182133,0.040992914982868
QTL AF,2 - 8,2X,Chr,200,2,GW,large_neg,DV,0.0183934558397844,0.00754599282974147,Inf,2.43751302907275,0.0147886812714754
QTL AF,2 - 8,20X,Peri,200,2,GW,large_neg,DV,0.0166049934284543,0.00754599282974152,Inf,2.20050479812384,0.0277710998926195
QTL AF,2 - 8,2X,Peri,200,2,GW,large_neg,DV,0.0174472455656638,0.00754599282974163,Inf,2.31212061279697,0.0207710375295027
QTL AF,2 - 8,20X,WT,200,2,GW,large_neg,DV,0.0153372838245795,0.00754599282974144,Inf,2.03250707635579,0.0421023481329207
QTL AF,2 - 8,2X,WT,200,2,GW,large_neg,DV,0.0161827934238842,0.00754599282974166,Inf,2.14455457207719,0.0319884777498737
QTL AF,2 - 8,20X,Chr,2,3,GW,large_neg,DV,-0.103545454545437,0.0075459928297409,Inf,-13.7219126603639,7.50588890950861e-43
QTL AF,2 - 8,2X,Chr,2,3,GW,large_neg,DV,-0.120175000000008,0.00754599282974118,Inf,-15.9256711093548,4.20477924901881e-57
QTL AF,2 - 8,20X,Peri,2,3,GW,large_neg,DV,-0.133272727272756,0.00754599282974143,Inf,-17.66139065856,8.31651766177635e-70
QTL AF,2 - 8,2X,Peri,2,3,GW,large_neg,DV,-0.138861363636356,0.00754599282974135,Inf,-18.4020004748819,1.26603370807309e-75
QTL AF,2 - 8,20X,WT,2,3,GW,large_neg,DV,-0.134465909090928,0.00754599282974133,Inf,-17.8195119084863,4.98697268211654e-71
QTL AF,2 - 8,2X,WT,2,3,GW,large_neg,DV,-0.149627272727271,0.00754599282974149,Inf,-19.8287059242272,1.68314544877578e-87
QTL AF,2 - 8,20X,Chr,200,3,GW,large_neg,DV,0.0240226178374899,0.00754599282974113,Inf,3.18349332944092,0.00145509465988503
QTL AF,2 - 8,2X,Chr,200,3,GW,large_neg,DV,0.0250456565851953,0.00754599282974138,Inf,3.3190671062503,0.000903187217737369
QTL AF,2 - 8,20X,Peri,200,3,GW,large_neg,DV,0.0300133892919274,0.00754599282974141,Inf,3.97739435606591,6.9674561140842e-05
QTL AF,2 - 8,2X,Peri,200,3,GW,large_neg,DV,0.0223463916844351,0.00754599282974128,Inf,2.96135872225594,0.00306284974839646
QTL AF,2 - 8,20X,WT,200,3,GW,large_neg,DV,0.0233049778388602,0.00754599282974145,Inf,3.08839119843939,0.00201243368097906
QTL AF,2 - 8,2X,WT,200,3,GW,large_neg,DV,0.0212157745567685,0.00754599282974163,Inf,2.81152858682148,0.00493067090601618
