response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,20X - 2X,Chr,200,2,1,CV,DV,-0.144798629545579,0.0686706200495108,Inf,-2.1085965066455,0.0349794246815489
Bulmer effect,20X - 2X,WT,200,2,1,CV,DV,0.349271913144007,0.0686706200495152,Inf,5.08619134197657,3.65325493432664e-07
Bulmer effect,20X - 2X,Chr,200,8,1,CV,DV,0.247025487058163,0.0686706200495128,Inf,3.59725144290314,0.000321597567410776
Bulmer effect,20X - 2X,Chr,200,2,2,CV,DV,0.153690151236824,0.0686706200495129,Inf,2.23807723195174,0.0252160191195464
Bulmer effect,20X - 2X,Chr,200,8,2,CV,DV,0.155710842350035,0.0686706200495128,Inf,2.26750307828537,0.0233595110688953
Bulmer effect,20X - 2X,Chr,200,2,3,CV,DV,0.177082921039453,0.0686706200495129,Inf,2.57872902431596,0.00991645408141728
Bulmer effect,20X - 2X,Peri,200,2,3,CV,DV,0.161424364747514,0.0686706200495146,Inf,2.35070492491723,0.0187378866020185
Bulmer effect,20X - 2X,Chr,200,8,3,CV,DV,0.149119296908663,0.0686706200495155,Inf,2.17151522443134,0.0298922475817446
Bulmer effect,20X - 2X,Peri,200,8,3,CV,DV,0.204203517246351,0.0686706200495113,Inf,2.97366642530854,0.00294264781725703
Bulmer effect,20X - 2X,Chr,200,8,5,CV,DV,0.146352535486647,0.0686706200495104,Inf,2.13122490201966,0.0330706184393614
Bulmer effect,20X - 2X,Peri,200,8,5,CV,DV,0.162857313013918,0.0686706200495171,Inf,2.37157190216843,0.0177125999673125
Bulmer effect,20X - 2X,Chr,200,2,1,GW,DV,-0.364111675849467,0.0686706200495024,Inf,-5.30229194940996,1.14357761400059e-07
Bulmer effect,20X - 2X,WT,200,2,1,GW,DV,-0.293797420718179,0.0686706200495157,Inf,-4.27835689420502,1.88277974071095e-05
Bulmer effect,20X - 2X,Chr,200,8,1,GW,DV,0.359825445314928,0.0686706200495106,Inf,5.23987470996327,1.60685655117933e-07
Bulmer effect,20X - 2X,Peri,200,8,1,GW,DV,0.356694405125889,0.0686706200495104,Inf,5.19427966237553,2.05514010925326e-07
Bulmer effect,20X - 2X,Peri,200,2,2,GW,DV,0.18554574721706,0.0686706200495152,Inf,2.70196697049294,0.00689306095682771
Bulmer effect,20X - 2X,Chr,200,8,2,GW,DV,0.266806172709399,0.0686706200495134,Inf,3.88530309639005,0.000102202299453958
Bulmer effect,20X - 2X,Peri,200,8,2,GW,DV,0.173583267426761,0.0686706200495095,Inf,2.52776612911915,0.0114790788944601
Bulmer effect,20X - 2X,WT,200,2,3,GW,DV,-0.142216724458188,0.068670620049514,Inf,-2.07099811179285,0.0383589725123589
Bulmer effect,20X - 2X,Chr,200,8,3,GW,DV,0.201237792469456,0.0686706200495161,Inf,2.930478745122,0.00338440145674511
Bulmer effect,20X - 2X,Peri,200,8,3,GW,DV,0.216594666821456,0.0686706200495113,Inf,3.15410967114163,0.00160988574294557
