response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,4 - 5,GW,20X,Peri,2,2,DV,-0.652691451670795,0.134862247914551,Inf,-4.83968984473953,1.28582846145031e-05
Genetic gain,1 - 2,CV,2X,Peri,2,2,DV,-3.38611287333617,0.134862247914551,Inf,-25.1079373634765,0
Genetic gain,1 - 3,CV,2X,Peri,2,2,DV,-3.87207394760748,0.134862247914551,Inf,-28.711325871276,0
Genetic gain,1 - 4,CV,2X,Peri,2,2,DV,-2.32109357406172,0.13486224791455,Inf,-17.210847438435,0
Genetic gain,1 - 5,CV,2X,Peri,2,2,DV,-3.4862185598605,0.134862247914551,Inf,-25.8502183803831,0
Genetic gain,2 - 3,CV,2X,Peri,2,2,DV,-0.485961074271313,0.134862247914551,Inf,-3.60338850779961,0.00290170451225447
Genetic gain,2 - 4,CV,2X,Peri,2,2,DV,1.06501929927445,0.13486224791455,Inf,7.89708992504157,1.00475183728577e-13
Genetic gain,3 - 4,CV,2X,Peri,2,2,DV,1.55098037354576,0.13486224791455,Inf,11.5004784328412,0
Genetic gain,3 - 5,CV,2X,Peri,2,2,DV,0.385855387746983,0.134862247914551,Inf,2.86110749089295,0.0343040373455861
Genetic gain,4 - 5,CV,2X,Peri,2,2,DV,-1.16512498579878,0.13486224791455,Inf,-8.63937094194821,4.27435864480685e-14
Genetic gain,1 - 2,GW,2X,Peri,2,2,DV,-2.45711609738888,0.13486224791455,Inf,-18.2194508499201,0
Genetic gain,1 - 3,GW,2X,Peri,2,2,DV,-2.54694486857988,0.13486224791455,Inf,-18.8855288115444,0
Genetic gain,1 - 4,GW,2X,Peri,2,2,DV,-1.69383554676966,0.134862247914551,Inf,-12.5597457625272,0
Genetic gain,1 - 5,GW,2X,Peri,2,2,DV,-2.45511142570915,0.134862247914551,Inf,-18.2045862624559,0
Genetic gain,2 - 4,GW,2X,Peri,2,2,DV,0.76328055061922,0.134862247914551,Inf,5.65970508739286,1.51272083859233e-07
Genetic gain,3 - 4,GW,2X,Peri,2,2,DV,0.853109321810221,0.13486224791455,Inf,6.32578304901725,2.51809384455015e-09
Genetic gain,4 - 5,GW,2X,Peri,2,2,DV,-0.761275878939484,0.134862247914551,Inf,-5.64484049992873,1.64928538382014e-07
Genetic gain,1 - 2,CV,20X,WT,2,2,DV,-3.45700066214635,0.134862247914551,Inf,-25.6335684419017,0
Genetic gain,1 - 3,CV,20X,WT,2,2,DV,-3.74096574033792,0.134862247914553,Inf,-27.739161983331,0
Genetic gain,1 - 4,CV,20X,WT,2,2,DV,-2.50797694801308,0.134862247914553,Inf,-18.5965827115836,0
Genetic gain,1 - 5,CV,20X,WT,2,2,DV,-3.70929087751174,0.134862247914552,Inf,-27.5042937135523,0
Genetic gain,2 - 4,CV,20X,WT,2,2,DV,0.94902371413327,0.134862247914552,Inf,7.0369857303177,1.96789251560858e-11
Genetic gain,3 - 4,CV,20X,WT,2,2,DV,1.23298879232484,0.134862247914553,Inf,9.1425792717473,6.06181771445336e-14
Genetic gain,4 - 5,CV,20X,WT,2,2,DV,-1.20131392949866,0.134862247914552,Inf,-8.90771100196853,3.574918139293e-14
Genetic gain,1 - 2,GW,20X,WT,2,2,DV,-2.26528410501807,0.134862247914552,Inf,-16.7970217021249,0
Genetic gain,1 - 3,GW,20X,WT,2,2,DV,-2.52144658486533,0.134862247914553,Inf,-18.6964597124532,0
Genetic gain,1 - 4,GW,20X,WT,2,2,DV,-1.70775437070101,0.134862247914554,Inf,-12.6629534737031,0
Genetic gain,1 - 5,GW,20X,WT,2,2,DV,-2.4768879043779,0.134862247914553,Inf,-18.3660582756059,0
Genetic gain,2 - 4,GW,20X,WT,2,2,DV,0.557529734317068,0.13486224791455,Inf,4.13406822842167,0.000343694546299567
Genetic gain,3 - 4,GW,20X,WT,2,2,DV,0.813692214164322,0.134862247914551,Inf,6.03350623875023,1.60264618243033e-08
Genetic gain,4 - 5,GW,20X,WT,2,2,DV,-0.769133533676896,0.134862247914551,Inf,-5.70310480190291,1.17387964571059e-07
Genetic gain,1 - 2,CV,2X,WT,2,2,DV,-3.34845227433908,0.134862247914554,Inf,-24.8286850183647,0
Genetic gain,1 - 3,CV,2X,WT,2,2,DV,-3.88164512087928,0.134862247914554,Inf,-28.7822958678444,0
Genetic gain,1 - 4,CV,2X,WT,2,2,DV,-2.19633908483694,0.134862247914554,Inf,-16.2857962016805,0
Genetic gain,1 - 5,CV,2X,WT,2,2,DV,-3.79920443866187,0.134862247914555,Inf,-28.1710003904796,0
Genetic gain,2 - 3,CV,2X,WT,2,2,DV,-0.533192846540205,0.13486224791455,Inf,-3.95361084947983,0.000733901877275178
Genetic gain,2 - 4,CV,2X,WT,2,2,DV,1.15211318950214,0.134862247914551,Inf,8.54288881668442,4.56301663120939e-14
Genetic gain,2 - 5,CV,2X,WT,2,2,DV,-0.450752164322792,0.134862247914551,Inf,-3.34231537211504,0.00742049725261351
Genetic gain,3 - 4,CV,2X,WT,2,2,DV,1.68530603604234,0.134862247914551,Inf,12.4964996661642,0
Genetic gain,4 - 5,CV,2X,WT,2,2,DV,-1.60286535382493,0.134862247914551,Inf,-11.8852041887994,0
Genetic gain,1 - 2,GW,2X,WT,2,2,DV,-2.42054179338653,0.134862247914551,Inf,-17.9482533534528,0
Genetic gain,1 - 3,GW,2X,WT,2,2,DV,-2.59678744409608,0.134862247914551,Inf,-19.2551101902247,0
Genetic gain,1 - 4,GW,2X,WT,2,2,DV,-1.74479834272843,0.134862247914552,Inf,-12.9376335461494,0
Genetic gain,1 - 5,GW,2X,WT,2,2,DV,-2.49427340629706,0.134862247914552,Inf,-18.494971312338,0
Genetic gain,2 - 4,GW,2X,WT,2,2,DV,0.675743450658103,0.13486224791455,Inf,5.01061980730338,5.38062033561548e-06
Genetic gain,3 - 4,GW,2X,WT,2,2,DV,0.851989101367652,0.13486224791455,Inf,6.31747664407523,2.65715560665569e-09
Genetic gain,4 - 5,GW,2X,WT,2,2,DV,-0.749475063568625,0.13486224791455,Inf,-5.55733776618863,2.73118922144988e-07
Genetic gain,1 - 2,CV,20X,Chr,200,2,DV,-1.1862418314692,0.134862247914563,Inf,-8.79595179386823,3.83026943495679e-14
Genetic gain,1 - 3,CV,20X,Chr,200,2,DV,-2.97910951472085,0.134862247914558,Inf,-22.0900182281425,0
Genetic gain,1 - 4,CV,20X,Chr,200,2,DV,-2.94382790307395,0.134862247914558,Inf,-21.8284060112879,0
Genetic gain,1 - 5,CV,20X,Chr,200,2,DV,-2.08610785124991,0.134862247914558,Inf,-15.4684345212129,0
Genetic gain,2 - 3,CV,20X,Chr,200,2,DV,-1.79286768325165,0.134862247914549,Inf,-13.2940664342748,0
Genetic gain,2 - 4,CV,20X,Chr,200,2,DV,-1.75758607160475,0.134862247914549,Inf,-13.0324542174203,0
Genetic gain,2 - 5,CV,20X,Chr,200,2,DV,-0.899866019780713,0.134862247914549,Inf,-6.67248272734476,2.51482501489875e-10
Genetic gain,3 - 5,CV,20X,Chr,200,2,DV,0.893001663470941,0.134862247914548,Inf,6.6215837069301,3.55302565147042e-10
Genetic gain,4 - 5,CV,20X,Chr,200,2,DV,0.857720051824033,0.134862247914548,Inf,6.35997149007559,2.01686567447013e-09
Genetic gain,1 - 2,GW,20X,Chr,200,2,DV,-0.759845815931275,0.134862247914552,Inf,-5.63423662056048,1.75394428425513e-07
Genetic gain,1 - 3,GW,20X,Chr,200,2,DV,-1.7388609821409,0.13486224791455,Inf,-12.8936081744882,0
Genetic gain,1 - 4,GW,20X,Chr,200,2,DV,-1.85814857133666,0.134862247914551,Inf,-13.7781224921743,0
Genetic gain,1 - 5,GW,20X,Chr,200,2,DV,-1.08010697510615,0.13486224791455,Inf,-8.00896464213259,7.8159700933611e-14
Genetic gain,2 - 3,GW,20X,Chr,200,2,DV,-0.979015166209629,0.13486224791455,Inf,-7.25937155392769,3.9235281690253e-12
Genetic gain,2 - 4,GW,20X,Chr,200,2,DV,-1.09830275540539,0.13486224791455,Inf,-8.14388587161385,6.42819131257966e-14
Genetic gain,3 - 5,GW,20X,Chr,200,2,DV,0.65875400703475,0.134862247914549,Inf,4.88464353235567,1.02542122029092e-05
