response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,20X - 2X,Chr,200,2,2,CV,DV,0.0124839848404786,0.00235759880447668,Inf,5.29521172846441,1.18878590243636e-07
Genetic variance,20X - 2X,Peri,200,2,2,CV,DV,0.00694397623024465,0.00235759880447669,Inf,2.94535958241036,0.00322579530009325
Genetic variance,20X - 2X,Chr,200,8,2,CV,DV,0.00471663155342471,0.00235759880447669,Inf,2.00060822242894,0.0454346267968699
Genetic variance,20X - 2X,Chr,200,2,3,CV,DV,0.0197304010916371,0.00235759880447667,Inf,8.36885438445783,5.81810935252133e-17
Genetic variance,20X - 2X,Peri,200,2,3,CV,DV,0.022444009212281,0.00235759880447669,Inf,9.51985943056281,1.73413473753524e-21
Genetic variance,20X - 2X,Chr,200,8,3,CV,DV,0.00825219707238178,0.00235759880447668,Inf,3.50025502927481,0.000464813237404348
Genetic variance,20X - 2X,Peri,200,8,3,CV,DV,0.00666614929053859,0.00235759880447669,Inf,2.82751640265539,0.00469106121449571
Genetic variance,20X - 2X,Chr,200,2,4,CV,DV,0.0229581385984001,0.0023575988044767,Inf,9.73793274530268,2.07737241618011e-22
Genetic variance,20X - 2X,Peri,200,2,4,CV,DV,0.0193524391443738,0.00235759880447669,Inf,8.20853790204963,2.23898133875429e-16
Genetic variance,20X - 2X,Chr,200,8,4,CV,DV,0.0138875227760363,0.00235759880447669,Inf,5.89053690970075,3.84942878768289e-09
Genetic variance,20X - 2X,Peri,200,8,4,CV,DV,0.0117149944806823,0.0023575988044767,Inf,4.96903648680064,6.72864091802267e-07
Genetic variance,20X - 2X,Chr,200,2,5,CV,DV,0.00781767905274232,0.0023575988044767,Inf,3.31594970183129,0.000913322652854612
Genetic variance,20X - 2X,Peri,200,2,5,CV,DV,0.0106508839468763,0.0023575988044767,Inf,4.51768296058344,6.25199999978388e-06
Genetic variance,20X - 2X,Chr,200,8,5,CV,DV,0.00895720188269255,0.00235759880447669,Inf,3.79929013608435,0.000145111132527499
Genetic variance,20X - 2X,Peri,200,8,5,CV,DV,0.00513933506185997,0.00235759880447671,Inf,2.17990230233455,0.0292647042428289
Genetic variance,20X - 2X,Peri,200,2,1,GW,DV,0.00737340362064117,0.00235759880447667,Inf,3.12750566663011,0.00176296421366889
Genetic variance,20X - 2X,WT,200,2,1,GW,DV,-0.00475601571081989,0.00235759880447668,Inf,-2.01731342151558,0.0436628158655059
Genetic variance,20X - 2X,Chr,200,8,1,GW,DV,0.00987388655137858,0.00235759880447664,Inf,4.18811145163032,2.81285381478439e-05
Genetic variance,20X - 2X,Peri,200,8,1,GW,DV,0.00696711871514227,0.00235759880447669,Inf,2.95517570755163,0.0031249102526839
Genetic variance,20X - 2X,Chr,2,2,2,GW,DV,0.00757411510228534,0.0023575988044767,Inf,3.21263952454647,0.00131521248634291
Genetic variance,20X - 2X,Peri,2,2,2,GW,DV,0.00487383767555126,0.0023575988044767,Inf,2.06728883060877,0.0387069460940451
Genetic variance,20X - 2X,Chr,200,2,2,GW,DV,0.010407624067972,0.00235759880447669,Inf,4.41450175840335,1.01242893195039e-05
Genetic variance,20X - 2X,Peri,200,2,2,GW,DV,0.0163959674126394,0.00235759880447667,Inf,6.95451973487019,3.53765117867049e-12
