response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,CV - GW,20X,Chr,200,2,1,DV,0.0597573664950804,0.030422666614706,Inf,1.96423828495673,0.0495024648994308
Prediction accuracy,CV - GW,20X,Chr,200,8,1,DV,0.219293209054179,0.0304226666147142,Inf,7.20821786700696,5.66888799161819e-13
Prediction accuracy,CV - GW,2X,Chr,200,8,1,DV,0.141102445599871,0.0304226666147073,Inf,4.63806961391274,3.51678345540147e-06
Prediction accuracy,CV - GW,20X,Peri,200,8,1,DV,0.20032604495993,0.0304226666147082,Inf,6.58476285123145,4.55612019687697e-11
Prediction accuracy,CV - GW,2X,Peri,200,8,1,DV,0.139336560671471,0.0304226666147072,Inf,4.58002457299757,4.64921303109537e-06
Prediction accuracy,CV - GW,20X,WT,200,8,1,DV,0.102213375063664,0.030422666614706,Inf,3.35977698333175,0.000780054136580853
Prediction accuracy,CV - GW,2X,WT,200,8,1,DV,0.115671159776302,0.0304226666147061,Inf,3.80213744052229,0.000143453105175877
Prediction accuracy,CV - GW,20X,Chr,2,2,2,DV,0.167119303543247,0.0516920708007127,Inf,3.23297753319921,0.00122507196800305
Prediction accuracy,CV - GW,2X,Chr,2,2,2,DV,0.22071619269919,0.0466628761478142,Inf,4.73001689823033,2.24501149620883e-06
Prediction accuracy,CV - GW,20X,Peri,2,2,2,DV,0.172185984096953,0.0466628714644104,Inf,3.68999975126432,0.000224254271234787
Prediction accuracy,CV - GW,20X,Chr,200,2,2,DV,0.0850387785965785,0.0304226666147071,Inf,2.79524407487241,0.00518605450397024
Prediction accuracy,CV - GW,2X,Chr,200,2,2,DV,0.0818696487039672,0.0304226666147069,Inf,2.69107405148995,0.00712223837216668
Prediction accuracy,CV - GW,20X,Peri,200,2,2,DV,0.103676208007454,0.0304226666147072,Inf,3.40786063629722,0.000654743252906792
Prediction accuracy,CV - GW,2X,Peri,200,2,2,DV,0.0671877549930443,0.0304226666147072,Inf,2.20847685194578,0.027211049704078
Prediction accuracy,CV - GW,20X,Chr,2,8,2,DV,-0.274223781430359,0.110180229759649,Inf,-2.48886557986456,0.0128151407923038
Prediction accuracy,CV - GW,2X,Chr,2,8,2,DV,-0.589211086741128,0.126484144278428,Inf,-4.65837904112394,3.18708983891691e-06
Prediction accuracy,CV - GW,20X,WT,2,8,2,DV,0.734312162287308,0.216589917864944,Inf,3.39033399858064,0.000698075175020141
Prediction accuracy,CV - GW,2X,WT,2,8,2,DV,0.39031038874307,0.0911189603595331,Inf,4.28352548364249,1.83955018237808e-05
Prediction accuracy,CV - GW,20X,Chr,200,8,2,DV,0.244154278087996,0.0304226666147065,Inf,8.02540688428575,1.01189986187121e-15
Prediction accuracy,CV - GW,2X,Chr,200,8,2,DV,0.169568165633083,0.0304226666147067,Inf,5.57374433282294,2.49321558444669e-08
Prediction accuracy,CV - GW,20X,Peri,200,8,2,DV,0.214694766747205,0.0304226666147068,Inf,7.05706601811881,1.70054844878194e-12
Prediction accuracy,CV - GW,2X,Peri,200,8,2,DV,0.178402737580628,0.0304226666147078,Inf,5.8641387305076,4.51469902465351e-09
