response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 200,WT,2X,8,5,GW,DV,0.317076203974803,0.0691996554730686,Inf,4.58204888170584,4.60442225924433e-06
Bulmer effect,2 - 200,WT,20X,2,2,CV,R,0.221060579976034,0.0998241222726898,Inf,2.21450061310995,0.0267943605775104
Bulmer effect,2 - 200,Chr,20X,8,2,CV,R,0.469224735029047,0.222540021620545,Inf,2.10849595327678,0.0349881124287519
Bulmer effect,2 - 200,Peri,20X,8,2,CV,R,0.6910888063541,0.284549704990905,Inf,2.42871032453255,0.0151526334945626
Bulmer effect,2 - 200,WT,20X,8,2,CV,R,0.825282111036114,0.18986270540753,Inf,4.34673101947374,1.38181501711802e-05
Bulmer effect,2 - 200,Chr,2X,8,2,CV,R,0.737205659595347,0.247620125501964,Inf,2.97716374265185,0.00290928584591216
Bulmer effect,2 - 200,Peri,2X,8,2,CV,R,0.573166501079601,0.161061124249966,Inf,3.55868930971852,0.000372710103325574
Bulmer effect,2 - 200,WT,2X,8,2,CV,R,0.71437112979325,0.204114985401276,Inf,3.49984656143128,0.000465526036360923
Bulmer effect,2 - 200,Chr,20X,2,3,CV,R,0.15751402621154,0.0784925881243363,Inf,2.00673757835618,0.044777612502653
Bulmer effect,2 - 200,WT,20X,2,3,CV,R,0.197433677309138,0.0781070360226725,Inf,2.52773229356479,0.0114801851299088
Bulmer effect,2 - 200,Chr,2X,2,3,CV,R,0.243250895387141,0.0792961452455345,Inf,3.06762572927011,0.00215766671610413
Bulmer effect,2 - 200,Peri,2X,2,3,CV,R,0.343750732583285,0.0825046025470763,Inf,4.16644310706357,3.09389060232485e-05
Bulmer effect,2 - 200,WT,2X,2,3,CV,R,0.31675811973543,0.0825046025213613,Inf,3.83927817424995,0.000123396560094874
Bulmer effect,2 - 200,Chr,20X,8,3,CV,R,0.446703677720858,0.116565400890347,Inf,3.83221499955266,0.000126994678759896
Bulmer effect,2 - 200,Peri,20X,8,3,CV,R,0.453032763610931,0.124334986054622,Inf,3.64364671591234,0.00026880231365416
Bulmer effect,2 - 200,WT,20X,8,3,CV,R,0.734105110012922,0.108584829749521,Inf,6.76065995320269,1.37364582237862e-11
Bulmer effect,2 - 200,Chr,2X,8,3,CV,R,0.615444872836342,0.118949576020132,Inf,5.17399803705208,2.29137231606782e-07
Bulmer effect,2 - 200,Peri,2X,8,3,CV,R,0.669131321485972,0.127396573366279,Inf,5.25234944555491,1.50171203576194e-07
Bulmer effect,2 - 200,WT,2X,8,3,CV,R,0.57947473002545,0.114354842897572,Inf,5.0673387793859,4.03415926759082e-07
Bulmer effect,2 - 200,Chr,20X,2,4,CV,R,0.692643396681151,0.114354843585113,Inf,6.05696597508458,1.38712914523089e-09
Bulmer effect,2 - 200,Peri,20X,2,4,CV,R,0.778656490192942,0.134460262610194,Inf,5.79097850232751,6.9977534423536e-09
Bulmer effect,2 - 200,WT,20X,2,4,CV,R,0.863490741285059,0.127396572599931,Inf,6.77797466339,1.21872215150837e-11
Bulmer effect,2 - 200,Chr,2X,2,4,CV,R,0.768816232775978,0.101086300472864,Inf,7.60554327519742,2.83709548303566e-14
Bulmer effect,2 - 200,Peri,2X,2,4,CV,R,0.848927312282447,0.118949574234387,Inf,7.13686717877326,9.54820248602623e-13
Bulmer effect,2 - 200,WT,2X,2,4,CV,R,0.71710902863497,0.124334986029425,Inf,5.76755627306108,8.04292334182131e-09
Bulmer effect,2 - 200,Peri,20X,8,4,CV,R,1.20609556823557,0.488048141840786,Inf,2.47126351856704,0.0134636565802239
Bulmer effect,2 - 200,WT,2X,8,4,CV,R,1.34158505100676,0.488048173238182,Inf,2.7488783373686,0.00597995777904137
Bulmer effect,2 - 200,Chr,20X,2,5,CV,R,-0.174928279759425,0.0750518829033604,Inf,-2.33076470559265,0.019765770145124
Bulmer effect,2 - 200,Peri,20X,2,5,CV,R,-0.261065228604476,0.0730927749235166,Inf,-3.57169677683809,0.000354675914246523
Bulmer effect,2 - 200,WT,20X,2,5,CV,R,-0.361416156663866,0.0733541137231059,Inf,-4.92700597580833,8.34992020875271e-07
Bulmer effect,2 - 200,Chr,2X,2,5,CV,R,-0.254649811184392,0.0728370667241742,Inf,-3.49615686953351,0.000472011123515845
Bulmer effect,2 - 200,Peri,2X,2,5,CV,R,-0.46721392666822,0.0750518829381051,Inf,-6.22521259131539,4.80903470580259e-10
Bulmer effect,2 - 200,WT,2X,2,5,CV,R,-0.270188018269207,0.0756727818618053,Inf,-3.57047820394165,0.00035633010536389
Bulmer effect,2 - 200,Chr,20X,8,5,CV,R,0.310147203294621,0.105318080646569,Inf,2.94486190206433,0.0032309883858572
Bulmer effect,2 - 200,Peri,20X,8,5,CV,R,0.335467115084707,0.102418323628959,Inf,3.27545992941689,0.00105490078200098
Bulmer effect,2 - 200,WT,20X,8,5,CV,R,0.492937435326517,0.0934408936952875,Inf,5.27539298729307,1.32471896321798e-07
Bulmer effect,2 - 200,Chr,2X,8,5,CV,R,0.288106993738546,0.097487396783317,Inf,2.95532554201765,0.00312339287042545
Bulmer effect,2 - 200,Peri,2X,8,5,CV,R,0.35940075747432,0.0885540602042459,Inf,4.05854634610066,4.93791343482567e-05
Bulmer effect,2 - 200,WT,2X,8,5,CV,R,0.402161513868164,0.0943835418331902,Inf,4.26092839977259,2.03579451455091e-05
Bulmer effect,2 - 200,Chr,20X,2,1,GW,R,-1.99775404213876,0.0709735546266307,Inf,-28.1478651118478,2.54499822458212e-174
Bulmer effect,2 - 200,Peri,20X,2,1,GW,R,-2.2626998760755,0.070973554574963,Inf,-31.8808870377997,4.91463301129253e-223
Bulmer effect,2 - 200,WT,20X,2,1,GW,R,-2.35962198900704,0.0714112695613861,Inf,-33.0427116546175,1.97967818215316e-239
Bulmer effect,2 - 200,Chr,2X,2,1,GW,R,-2.28798365944517,0.0721019204410621,Inf,-31.7326313286679,5.51368130179026e-221
Bulmer effect,2 - 200,Peri,2X,2,1,GW,R,-2.20936271514709,0.0705527567347967,Inf,-31.3150444773113,2.91212347921482e-215
Bulmer effect,2 - 200,WT,2X,2,1,GW,R,-2.33798757216525,0.0716368005627847,Inf,-32.6366832940308,1.23814407977328e-233
Bulmer effect,2 - 200,Chr,20X,8,1,GW,R,-0.469713416077303,0.154261932561793,Inf,-3.04490815249672,0.00232751377817915
Bulmer effect,2 - 200,Peri,20X,8,1,GW,R,-0.424732948245758,0.143172514976355,Inf,-2.96658159784302,0.00301130443209106
Bulmer effect,2 - 200,Chr,2X,8,1,GW,R,-0.347767125024989,0.154261935612855,Inf,-2.25439363018085,0.0241714156638486
Bulmer effect,2 - 200,Peri,2X,8,1,GW,R,-0.39794108979648,0.127396574747808,Inf,-3.12364041642593,0.00178628610314578
Bulmer effect,2 - 200,Chr,20X,2,2,GW,R,-0.234837088281661,0.0686706200495116,Inf,-3.41976070861663,0.00062676242345744
Bulmer effect,2 - 200,Peri,20X,2,2,GW,R,-0.24209397353057,0.0686706200495112,Inf,-3.5254374193217,0.000422784055562314
Bulmer effect,2 - 200,WT,20X,2,2,GW,R,-0.174193064375102,0.0686706200495106,Inf,-2.5366461559472,0.0111920013663035
Bulmer effect,2 - 200,Chr,20X,8,2,GW,R,0.297360251535147,0.0725868047992535,Inf,4.09661580169466,4.19233818232755e-05
Bulmer effect,2 - 200,Peri,20X,8,2,GW,R,0.3842829117521,0.0705527567756457,Inf,5.44674551802562,5.12997762251246e-08
Bulmer effect,2 - 200,WT,20X,8,2,GW,R,0.593196512786217,0.0718669677826574,Inf,8.25409128961978,1.53062328983117e-16
Bulmer effect,2 - 200,Chr,2X,8,2,GW,R,0.550158626684272,0.0721019201036113,Inf,7.63029092559099,2.34224535216162e-14
Bulmer effect,2 - 200,Peri,2X,8,2,GW,R,0.49516460485682,0.0697580548399094,Inf,7.09831439527942,1.26287640234955e-12
Bulmer effect,2 - 200,WT,2X,8,2,GW,R,0.665983264477006,0.0725868047984913,Inf,9.1749907758834,4.51613125620826e-20
Bulmer effect,2 - 200,WT,20X,2,3,GW,R,0.147457983656483,0.068670620049512,Inf,2.14732273496533,0.0317675970783328
Bulmer effect,2 - 200,Chr,2X,2,3,GW,R,0.26105593537263,0.068670620049512,Inf,3.80156659695816,0.000143784079210379
Bulmer effect,2 - 200,Peri,2X,2,3,GW,R,0.264684003082536,0.0686706200495134,Inf,3.85439949270432,0.000116014029779395
Bulmer effect,2 - 200,WT,2X,2,3,GW,R,0.249305767900017,0.0686706200495078,Inf,3.63045750453806,0.000282919284846841
Bulmer effect,2 - 200,Chr,20X,8,3,GW,R,0.430036311781549,0.0693824047293918,Inf,6.19806006232842,5.71633283304683e-10
Bulmer effect,2 - 200,Peri,20X,8,3,GW,R,0.505190424755817,0.0697580545754567,Inf,7.24203717879427,4.4199463717983e-13
Bulmer effect,2 - 200,WT,20X,8,3,GW,R,0.642813616130604,0.0697580548588414,Inf,9.21490166879462,3.11563738493629e-20
Bulmer effect,2 - 200,Chr,2X,8,3,GW,R,0.567190118819282,0.0699511495242039,Inf,8.10837452532538,5.13014029424417e-16
Bulmer effect,2 - 200,Peri,2X,8,3,GW,R,0.563931139879277,0.0691996554670086,Inf,8.14933450280161,3.65932449502253e-16
Bulmer effect,2 - 200,WT,2X,8,3,GW,R,0.666326270644001,0.0699511493279563,Inf,9.52559431897284,1.64100223643452e-21
Bulmer effect,2 - 200,Chr,20X,2,4,GW,R,0.521840359219999,0.068670620049512,Inf,7.59917937021318,2.98014475474416e-14
Bulmer effect,2 - 200,Peri,20X,2,4,GW,R,0.652288086714645,0.0686706200495069,Inf,9.49879418948582,2.12334690762636e-21
Bulmer effect,2 - 200,WT,20X,2,4,GW,R,0.689376391503047,0.0686706200495115,Inf,10.038884038123,1.0283089588644e-23
Bulmer effect,2 - 200,Chr,2X,2,4,GW,R,0.639290506788577,0.0686706200495101,Inf,9.30951994211879,1.28411416592953e-20
Bulmer effect,2 - 200,Peri,2X,2,4,GW,R,0.590525695415396,0.0686706200495026,Inf,8.59939367068047,8.01383510039199e-18
Bulmer effect,2 - 200,WT,2X,2,4,GW,R,0.776331903898809,0.0688438497358549,Inf,11.2767067338258,1.71029313625891e-29
Bulmer effect,2 - 200,Chr,20X,8,4,GW,R,0.900318887477911,0.0705527569243879,Inf,12.7609313473433,2.70942109090602e-37
Bulmer effect,2 - 200,Peri,20X,8,4,GW,R,1.05252246185278,0.0707611046069325,Inf,14.8743079647977,4.83963472862043e-50
Bulmer effect,2 - 200,WT,20X,8,4,GW,R,1.12332251781107,0.0718669682938082,Inf,15.6305816772272,4.50670192163708e-55
Bulmer effect,2 - 200,Chr,2X,8,4,GW,R,1.11496325107273,0.0707611046739286,Inf,15.7567247743028,6.1751352004507e-56
Bulmer effect,2 - 200,Peri,2X,8,4,GW,R,1.09877891935273,0.0709735544828149,Inf,15.4815258635353,4.62374546334229e-54
Bulmer effect,2 - 200,WT,2X,8,4,GW,R,1.12756559088422,0.0716368006203722,Inf,15.7400327920781,8.04020012001536e-56
Bulmer effect,2 - 200,Chr,20X,2,5,GW,R,-0.477576065981444,0.0686706200494967,Inf,-6.95459085176767,3.5358671398454e-12
Bulmer effect,2 - 200,Peri,20X,2,5,GW,R,-0.55747865198933,0.0686706200494989,Inf,-8.11815375465504,4.73328901137643e-16
Bulmer effect,2 - 200,WT,20X,2,5,GW,R,-0.547662084991057,0.0686706200495136,Inf,-7.97520227130868,1.52131462768855e-15
Bulmer effect,2 - 200,Chr,2X,2,5,GW,R,-0.521473073419774,0.0686706200495194,Inf,-7.59383085581189,3.10583762754469e-14
Bulmer effect,2 - 200,Peri,2X,2,5,GW,R,-0.564939031861296,0.0686706200495076,Inf,-8.22679380867695,1.92291047287083e-16
Bulmer effect,2 - 200,WT,2X,2,5,GW,R,-0.409371872941025,0.0686706200495124,Inf,-5.9613830870591,2.50111835568377e-09
Bulmer effect,2 - 200,Peri,20X,8,5,GW,R,0.193964995085466,0.0691996554627848,Inf,2.80297631235721,0.00506333880485735
Bulmer effect,2 - 200,WT,20X,8,5,GW,R,0.299601458821749,0.0688438497440789,Inf,4.35189867991827,1.34963633208516e-05
Bulmer effect,2 - 200,Chr,2X,8,5,GW,R,0.26607235527018,0.0690201665945505,Inf,3.8549943936413,0.000115732281296578
Bulmer effect,2 - 200,Peri,2X,8,5,GW,R,0.272085909970178,0.0690201664845237,Inf,3.94212190188194,8.07639074174124e-05
Bulmer effect,2 - 200,WT,2X,8,5,GW,R,0.351172339028143,0.0690201664333145,Inf,5.08796714316006,3.61922053870541e-07
