response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,3,GW,-0.422142857142451,0.00666463808439265,Inf,-63.3407023452679,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,3,GW,-0.341666666666545,0.0066646380843927,Inf,-51.265599472935,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,3,GW,-0.503809523809596,0.00666463808439268,Inf,-75.5944309998501,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,3,GW,-0.2864285714286,0.00666463808439266,Inf,-42.9773631818601,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,3,GW,-0.474047619047639,0.00666463808439269,Inf,-71.1287864464491,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,3,GW,-0.339523809523836,0.00666463808439271,Inf,-50.944073065113,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,3,GW,-0.516666666666669,0.00666463808439268,Inf,-77.5235894469056,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,3,GW,-0.359761904762012,0.00666463808439264,Inf,-53.9807113614329,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,3,GW,-0.521190476190508,0.00666463808439271,Inf,-78.2023674190254,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,3,GW,-0.366428571428595,0.00666463808439272,Inf,-54.9810157413798,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,3,GW,-0.543095238095241,0.00666463808439274,Inf,-81.4890818103181,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,3,GW,-0.0280271604938199,0.0066646380843927,Inf,-4.20535370997175,2.60674155736899e-05
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,3,GW,-0.0381037037036939,0.00666463808439268,Inf,-5.71729525612586,1.08232963353698e-08
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,3,GW,-0.0356123456790116,0.00666463808439271,Inf,-5.34347780450506,9.11799987460128e-08
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,3,GW,-0.0452962962962959,0.00666463808439267,Inf,-6.79651253717307,1.07181982718074e-11
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,3,GW,-0.0303728395061717,0.0066646380843927,Inf,-4.55731265847714,5.18122685657127e-06
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,3,GW,-0.0439925925925913,0.00666463808439267,Inf,-6.60089745842519,4.08676163773419e-11
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,3,GW,-0.0340617283950635,0.00666463808439271,Inf,-5.11081441538881,3.20772975301793e-07
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,3,GW,-0.045395061728395,0.00666463808439259,Inf,-6.81133186132076,9.66992713478573e-12
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,3,GW,-0.03696543209876,0.0066646380843927,Inf,-5.5465025453259,2.91440387113092e-08
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,3,GW,-0.0473506172839514,0.00666463808439273,Inf,-7.10475447944236,1.20536627203847e-12
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,3,GW,-0.0361283950617255,0.00666463808439267,Inf,-5.42090877317576,5.92968161446302e-08
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,3,GW,-0.0469975308641972,0.00666463808439272,Inf,-7.05177539561468,1.76649184861508e-12
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,4,GW,-0.201904761904921,0.00666463808439271,Inf,-30.2949326502429,1.33679252746787e-201
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,4,GW,-0.352142857142929,0.0066646380843927,Inf,-52.8375063557584,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,4,GW,-0.217380952381026,0.00666463808439272,Inf,-32.6170678179945,2.34950654675674e-233
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,4,GW,-0.373809523809553,0.00666463808439263,Inf,-56.0884955906228,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,4,GW,-0.215476190476193,0.00666463808439268,Inf,-32.3312665665668,2.54417619108983e-229
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,4,GW,-0.376190476190476,0.00666463808439271,Inf,-56.4457471548892,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,4,GW,-0.219285714285712,0.00666463808439271,Inf,-32.9028690694003,1.9997011579161e-237
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,4,GW,-0.387142857142857,0.0066646380843926,Inf,-58.0891043505388,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,4,GW,-0.208571428571424,0.00666463808439272,Inf,-31.2952370301783,5.41725316389954e-215
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,4,GW,-0.372380952380951,0.00666463808439275,Inf,-55.8741446520544,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,4,GW,-0.212142857142857,0.0066646380843927,Inf,-31.8311143765863,2.40307528104637e-222
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,4,GW,-0.371904761904761,0.0066646380843927,Inf,-55.8026943392007,0
