response,contrast,Map_type,QTL,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
prediction accuracy,20X - 2X,Chr,2,2,3,CV,-0.582811099698846,0.13055163269106,Inf,-4.46421915747327,8.03612778235888e-06
prediction accuracy,20X - 2X,Peri,2,2,4,CV,-0.556662864141116,0.137613503852448,Inf,-4.04511801936227,5.22967716663851e-05
prediction accuracy,20X - 2X,WT,2,2,4,GW,-0.0603460931902828,0.0213727603811792,Inf,-2.8235048778923,0.00475017031095313
prediction accuracy,20X - 2X,Peri,200,2,4,GW,0.0458745948391885,0.0213189923453536,Inf,2.15181815800909,0.0314116791376319
