response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,2X,Chr,2,4,GW,negative_QTL,0.0892857142855856,0.00591079169084519,Inf,15.1055423631108,1.48876375824151e-51
QTL fixation,2 - 8,20X,Peri,2,4,GW,negative_QTL,0.0945238095237816,0.00591079169084518,Inf,15.991734181765,1.45911942767136e-57
QTL fixation,2 - 8,2X,Peri,2,4,GW,negative_QTL,0.109047619047615,0.00591079169084524,Inf,18.4489024061718,5.32149386568213e-76
QTL fixation,2 - 8,20X,WT,2,4,GW,negative_QTL,0.0830952380952227,0.00591079169084518,Inf,14.0582247592862,6.85851620106992e-45
QTL fixation,2 - 8,2X,WT,2,4,GW,negative_QTL,0.0938095238095173,0.00591079169084518,Inf,15.8708898428636,1.00801559285928e-56
QTL fixation,2 - 8,20X,Chr,200,4,GW,negative_QTL,0.0789679012345749,0.0059107916908452,Inf,13.3599533471773,1.03629075076417e-40
QTL fixation,2 - 8,2X,Chr,200,4,GW,negative_QTL,0.0466469135802468,0.00591079169084522,Inf,7.89182160699296,2.97807227756027e-15
QTL fixation,2 - 8,20X,Peri,200,4,GW,negative_QTL,0.0540246913580261,0.00591079169084518,Inf,9.14000935639489,6.24469271569563e-20
QTL fixation,2 - 8,2X,Peri,200,4,GW,negative_QTL,0.0448246913580239,0.00591079169084528,Inf,7.5835342712972,3.36266666178149e-14
QTL fixation,2 - 8,20X,WT,200,4,GW,negative_QTL,0.0476370370370387,0.00591079169084516,Inf,8.05933274739163,7.67120216334656e-16
QTL fixation,2 - 8,2X,WT,200,4,GW,negative_QTL,0.047849382716049,0.00591079169084513,Inf,8.09525782987074,5.71431883650515e-16
QTL fixation,2 - 8,20X,Chr,2,3,CV,positive_QTL,-0.111428571428043,0.00591079169084531,Inf,-18.8517168690997,2.84458799488266e-79
QTL fixation,2 - 8,2X,Chr,2,3,CV,positive_QTL,-0.116666666666645,0.00591079169084518,Inf,-19.737908687823,1.01909533570688e-86
QTL fixation,2 - 8,20X,Peri,2,3,CV,positive_QTL,-0.122619047619269,0.00591079169084515,Inf,-20.7449448454064,1.36180528973149e-95
QTL fixation,2 - 8,2X,Peri,2,3,CV,positive_QTL,-0.119999999999994,0.00591079169084517,Inf,-20.3018489360492,1.23836674087311e-91
QTL fixation,2 - 8,20X,WT,2,3,CV,positive_QTL,-0.109761904762015,0.00591079169084515,Inf,-18.5697467450964,5.6468664337571e-77
QTL fixation,2 - 8,2X,WT,2,3,CV,positive_QTL,-0.112142857142848,0.00591079169084515,Inf,-18.9725612080932,2.875492129391e-80
QTL fixation,2 - 8,20X,Chr,200,3,CV,positive_QTL,0.0638332114118563,0.00591079169084519,Inf,10.7994351265539,3.46327606582499e-27
QTL fixation,2 - 8,2X,Chr,200,3,CV,positive_QTL,0.0492562789563549,0.00591079169084519,Inf,8.33327945436555,7.86332608084239e-17
QTL fixation,2 - 8,20X,Peri,200,3,CV,positive_QTL,0.0515459643989301,0.00591079169084516,Inf,8.72065318741756,2.766014480088e-18
QTL fixation,2 - 8,2X,Peri,200,3,CV,positive_QTL,0.050651060716898,0.00591079169084522,Inf,8.56925152604306,1.04159806183011e-17
QTL fixation,2 - 8,20X,WT,200,3,CV,positive_QTL,0.0498658863691715,0.00591079169084516,Inf,8.43641410107643,3.27221965899594e-17
QTL fixation,2 - 8,2X,WT,200,3,CV,positive_QTL,0.0494245306022907,0.00591079169084514,Inf,8.36174461685755,6.17975042039232e-17
QTL fixation,2 - 8,20X,Chr,2,4,CV,positive_QTL,-0.122619047618972,0.00591079169084526,Inf,-20.7449448453558,1.36180529116301e-95
QTL fixation,2 - 8,2X,Chr,2,4,CV,positive_QTL,-0.121190476190513,0.00591079169084519,Inf,-20.5032561675649,2.01358567647566e-93
QTL fixation,2 - 8,20X,Peri,2,4,CV,positive_QTL,-0.123571428571395,0.00591079169084516,Inf,-20.90607063057,4.71502128982895e-97
QTL fixation,2 - 8,2X,Peri,2,4,CV,positive_QTL,-0.123095238095242,0.00591079169084518,Inf,-20.8255077379729,2.5421753310562e-96
QTL fixation,2 - 8,20X,WT,2,4,CV,positive_QTL,-0.113095238095235,0.00591079169084518,Inf,-19.1336869933007,1.32372350111843e-81
