response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,1 - 2,CV,20X,Peri,2,2,large_neg,DV,0.159629545454116,0.00754599282974132,Inf,21.1542137735623,0
QTL AF,1 - 3,CV,20X,Peri,2,2,large_neg,DV,0.198284090908657,0.00754599282974066,Inf,26.276739904545,0
QTL AF,1 - 4,CV,20X,Peri,2,2,large_neg,DV,0.101027272726869,0.00754599282973971,Inf,13.3882015271348,0
QTL AF,1 - 5,CV,20X,Peri,2,2,large_neg,DV,0.206945454545033,0.00754599282973943,Inf,27.4245495873575,0
QTL AF,2 - 3,CV,20X,Peri,2,2,large_neg,DV,0.038654545454541,0.00754599282974186,Inf,5.12252613098008,2.99437247408552e-06
QTL AF,2 - 4,CV,20X,Peri,2,2,large_neg,DV,-0.0586022727272467,0.0075459928297416,Inf,-7.76601224643007,1.10356168647741e-13
QTL AF,2 - 5,CV,20X,Peri,2,2,large_neg,DV,0.0473159090909168,0.00754599282974149,Inf,6.27033581378817,3.60038243663041e-09
QTL AF,3 - 4,CV,20X,Peri,2,2,large_neg,DV,-0.0972568181817877,0.00754599282974146,Inf,-12.8885383774106,0
QTL AF,4 - 5,CV,20X,Peri,2,2,large_neg,DV,0.105918181818164,0.00754599282974105,Inf,14.0363480602192,0
QTL AF,1 - 2,GW,20X,Peri,2,2,large_neg,DV,0.121165909090885,0.00754599282974153,Inf,16.0569870426229,0
QTL AF,1 - 3,GW,20X,Peri,2,2,large_neg,DV,0.15641590909089,0.00754599282974153,Inf,20.7283405404784,0
QTL AF,1 - 4,GW,20X,Peri,2,2,large_neg,DV,0.0902704545454236,0.00754599282974128,Inf,11.9627008111693,0
QTL AF,1 - 5,GW,20X,Peri,2,2,large_neg,DV,0.179084090909071,0.00754599282974132,Inf,23.732343105766,0
QTL AF,2 - 3,GW,20X,Peri,2,2,large_neg,DV,0.0352500000000054,0.00754599282974153,Inf,4.67135349785548,2.94731336122345e-05
QTL AF,2 - 4,GW,20X,Peri,2,2,large_neg,DV,-0.0308954545454613,0.00754599282974147,Inf,-4.09428623145403,0.000407440273328619
QTL AF,2 - 5,GW,20X,Peri,2,2,large_neg,DV,0.057918181818186,0.00754599282974151,Inf,7.67535606314245,1.9462209621679e-13
QTL AF,3 - 4,GW,20X,Peri,2,2,large_neg,DV,-0.0661454545454668,0.00754599282974143,Inf,-8.7656397293096,3.94129173741931e-14
QTL AF,3 - 5,GW,20X,Peri,2,2,large_neg,DV,0.0226681818181805,0.00754599282974148,Inf,3.00400256528698,0.022382804501792
QTL AF,4 - 5,GW,20X,Peri,2,2,large_neg,DV,0.0888136363636473,0.0075459928297414,Inf,11.7696422945966,0
QTL AF,1 - 2,CV,2X,Peri,2,2,large_neg,DV,0.167284090909207,0.00754599282974168,Inf,22.1685992398343,0
QTL AF,1 - 3,CV,2X,Peri,2,2,large_neg,DV,0.20266136363648,0.0075459928297421,Inf,26.8568190043466,0
QTL AF,1 - 4,CV,2X,Peri,2,2,large_neg,DV,0.0892000000001101,0.00754599282974166,Inf,11.8208434612525,0
QTL AF,1 - 5,CV,2X,Peri,2,2,large_neg,DV,0.205309090909195,0.00754599282974129,Inf,27.20769758752,0
QTL AF,2 - 3,CV,2X,Peri,2,2,large_neg,DV,0.0353772727272739,0.00754599282974133,Inf,4.68821976451396,2.71573464576402e-05
QTL AF,2 - 4,CV,2X,Peri,2,2,large_neg,DV,-0.0780840909090964,0.00754599282974133,Inf,-10.3477557785823,4.66293670342566e-14
QTL AF,2 - 5,CV,2X,Peri,2,2,large_neg,DV,0.038024999999989,0.00754599282974116,Inf,5.03909834768466,4.64055992988044e-06
QTL AF,3 - 4,CV,2X,Peri,2,2,large_neg,DV,-0.11346136363637,0.0075459928297414,Inf,-15.0359755430961,0
QTL AF,4 - 5,CV,2X,Peri,2,2,large_neg,DV,0.116109090909085,0.0075459928297412,Inf,15.3868541262671,0
QTL AF,1 - 2,GW,2X,Peri,2,2,large_neg,DV,0.129170454545395,0.00754599282974106,Inf,17.1177547421322,0
QTL AF,1 - 3,GW,2X,Peri,2,2,large_neg,DV,0.166524999999937,0.00754599282974108,Inf,22.0680040065252,0
QTL AF,1 - 4,GW,2X,Peri,2,2,large_neg,DV,0.0854295454544845,0.00754599282974104,Inf,11.3211803114603,0
QTL AF,1 - 5,GW,2X,Peri,2,2,large_neg,DV,0.182179545454486,0.0075459928297411,Inf,24.1425548055731,0
QTL AF,2 - 3,GW,2X,Peri,2,2,large_neg,DV,0.0373545454545414,0.00754599282974137,Inf,4.95024926439292,7.34349330833162e-06
QTL AF,2 - 4,GW,2X,Peri,2,2,large_neg,DV,-0.0437409090909107,0.00754599282974137,Inf,-5.79657443067169,6.75612938927372e-08
QTL AF,2 - 5,GW,2X,Peri,2,2,large_neg,DV,0.0530090909090905,0.00754599282974137,Inf,7.02480006344074,2.14716022739481e-11
QTL AF,3 - 4,GW,2X,Peri,2,2,large_neg,DV,-0.0810954545454522,0.00754599282974139,Inf,-10.7468236950646,4.64073224293315e-14
QTL AF,4 - 5,GW,2X,Peri,2,2,large_neg,DV,0.0967500000000013,0.00754599282974139,Inf,12.8213744941124,0
