response,contrast,Map_type,QTL,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,20X - 2X,Chr,2,8,4,GW,negative_QTL,-0.0283333333335391,0.00591079169084518,Inf,-4.79349210993557,1.63902908352535e-06
QTL fixation,20X - 2X,WT,2,8,4,GW,negative_QTL,0.0126190476190511,0.00591079169084519,Inf,2.13491665398999,0.0327678187170824
QTL fixation,20X - 2X,Chr,200,8,4,GW,negative_QTL,-0.0476271604938222,0.00591079169084515,Inf,-8.05766181332171,7.77676128156172e-16
QTL fixation,20X - 2X,Peri,200,8,4,GW,negative_QTL,-0.0257160493827179,0.00591079169084516,Inf,-4.35069458166624,1.35706966965239e-05
QTL fixation,20X - 2X,Chr,200,2,3,CV,positive_QTL,-0.0394220921726195,0.00591079169084518,Inf,-6.66951133359642,2.56656561503024e-11
QTL fixation,20X - 2X,Peri,200,2,3,CV,positive_QTL,-0.0238283345525471,0.00591079169084515,Inf,-4.03132707069567,5.54627972670149e-05
QTL fixation,20X - 2X,Chr,200,8,3,CV,positive_QTL,-0.0539990246281209,0.00591079169084518,Inf,-9.13566700578474,6.50048042214839e-20
QTL fixation,20X - 2X,Peri,200,8,3,CV,positive_QTL,-0.0247232382345792,0.00591079169084518,Inf,-4.18272873207008,2.88030992189416e-05
QTL fixation,20X - 2X,WT,2,2,4,CV,positive_QTL,0.0154761904762178,0.00591079169084516,Inf,2.61829400961429,0.00883706281361311
QTL fixation,20X - 2X,Chr,200,2,4,CV,positive_QTL,-0.0250353572299276,0.00591079169084522,Inf,-4.23553367118368,2.28009532129209e-05
QTL fixation,20X - 2X,Peri,200,2,4,CV,positive_QTL,-0.0183126066812996,0.00591079169084517,Inf,-3.09816478724208,0.00194723120873504
QTL fixation,20X - 2X,Chr,200,8,4,CV,positive_QTL,-0.047222628627162,0.00591079169084519,Inf,-7.98922227293203,1.3579267084416e-15
QTL fixation,20X - 2X,Peri,200,8,4,CV,positive_QTL,-0.0302828578395513,0.00591079169084514,Inf,-5.12331671008717,3.0020746457436e-07
QTL fixation,20X - 2X,Chr,2,2,3,GW,positive_QTL,-0.0314285714285203,0.00591079169084533,Inf,-5.3171509118139,1.05404644479867e-07
QTL fixation,20X - 2X,Peri,2,2,3,GW,positive_QTL,-0.034285714285755,0.00591079169084517,Inf,-5.80052826744983,6.6106328574916e-09
QTL fixation,20X - 2X,Chr,200,2,3,GW,positive_QTL,-0.0188395061728434,0.00591079169084519,Inf,-3.1873067362571,0.00143604392359972
QTL fixation,20X - 2X,Peri,200,2,3,GW,positive_QTL,-0.0182419753086445,0.00591079169084516,Inf,-3.08621522509384,0.00202722027747713
QTL fixation,20X - 2X,Chr,2,8,3,GW,positive_QTL,-0.0423809523809392,0.00591079169084521,Inf,-7.17009744169803,7.49444045854343e-13
QTL fixation,20X - 2X,Peri,2,8,3,GW,positive_QTL,-0.0266666666666742,0.00591079169084517,Inf,-4.51152198579023,6.4364110295446e-06
QTL fixation,20X - 2X,Chr,200,8,3,GW,positive_QTL,-0.0401185185185119,0.00591079169084518,Inf,-6.78733418750803,1.14224417190295e-11
QTL fixation,20X - 2X,Peri,200,8,3,GW,positive_QTL,-0.0322691358024689,0.00591079169084513,Inf,-5.45935933632184,4.77855751217153e-08
QTL fixation,20X - 2X,Chr,2,2,4,GW,positive_QTL,-0.0190476190475461,0.00591079169084523,Inf,-3.22251570412259,0.00127070199868719
QTL fixation,20X - 2X,Peri,2,2,4,GW,positive_QTL,-0.0135714285714412,0.00591079169084518,Inf,-2.2960424391983,0.0216734549379164
QTL fixation,20X - 2X,Chr,200,2,4,GW,positive_QTL,-0.0132765432098723,0.0059107916908452,Inf,-2.2461531219981,0.0246942017176202
QTL fixation,20X - 2X,Peri,200,2,4,GW,positive_QTL,-0.0163851851851861,0.00591079169084526,Inf,-2.77207962015711,0.00556994108431475
QTL fixation,20X - 2X,Chr,2,8,4,GW,positive_QTL,-0.0147619047619079,0.0059107916908452,Inf,-2.49744967070512,0.012509022055386
QTL fixation,20X - 2X,Peri,2,8,4,GW,positive_QTL,-0.0209523809523791,0.00591079169084506,Inf,-3.54476727454822,0.000392959877518068
QTL fixation,20X - 2X,Chr,200,8,4,GW,positive_QTL,-0.0428172839506169,0.00591079169084516,Inf,-7.24391692181165,4.35908496669628e-13
QTL fixation,20X - 2X,Peri,200,8,4,GW,positive_QTL,-0.0241135802469142,0.00591079169084505,Inf,-4.07958552900157,4.51160684921632e-05
