response,contrast,Map_type,QTL,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,20X - 2X,Chr,200,2,3,CV,negative_QTL,-0.0361033894174368,0.00591079169084497,Inf,-6.1080463169352,1.00858087777217e-09
QTL fixation,20X - 2X,Peri,200,2,3,CV,negative_QTL,-0.0229797610338638,0.00591079169084517,Inf,-3.88776364246699,0.000101172071619288
QTL fixation,20X - 2X,Chr,200,8,3,CV,negative_QTL,-0.052765179224619,0.00591079169084511,Inf,-8.92692248084871,4.3802414418776e-19
QTL fixation,20X - 2X,Peri,200,8,3,CV,negative_QTL,-0.0270811997073901,0.00591079169084514,Inf,-4.58165354555372,4.613137037247e-06
QTL fixation,20X - 2X,WT,2,2,4,CV,negative_QTL,-0.0157142857143134,0.00591079169084514,Inf,-2.65857545591605,0.00784717764296876
QTL fixation,20X - 2X,Chr,200,2,4,CV,negative_QTL,-0.0269861009510183,0.00591079169084519,Inf,-4.56556454067146,4.98151898212993e-06
QTL fixation,20X - 2X,Peri,200,2,4,CV,negative_QTL,-0.0187003169958611,0.00591079169084517,Inf,-3.16375842255188,0.0015574601378356
QTL fixation,20X - 2X,Chr,200,8,4,CV,negative_QTL,-0.0511021702023763,0.00591079169084517,Inf,-8.64557116460812,5.35368203099202e-18
QTL fixation,20X - 2X,Peri,200,8,4,CV,negative_QTL,-0.0310924164837786,0.00591079169084515,Inf,-5.2602795209203,1.43836579035671e-07
QTL fixation,20X - 2X,Chr,200,2,3,GW,negative_QTL,-0.012098765432099,0.00591079169084518,Inf,-2.04689423429317,0.0406684703349034
QTL fixation,20X - 2X,Peri,200,2,3,GW,negative_QTL,-0.0134320987654312,0.00591079169084516,Inf,-2.27247033358244,0.023058117844162
QTL fixation,20X - 2X,Chr,200,8,3,GW,negative_QTL,-0.0339283950617213,0.00591079169084517,Inf,-5.74007625988085,9.46339264394013e-09
QTL fixation,20X - 2X,Peri,200,8,3,GW,negative_QTL,-0.0309703703703654,0.00591079169084518,Inf,-5.23963150627239,1.60897554654835e-07
QTL fixation,20X - 2X,Peri,2,2,4,GW,negative_QTL,-0.0238095238095537,0.00591079169084517,Inf,-4.02814463017377,5.6218757283132e-05
QTL fixation,20X - 2X,Chr,200,2,4,GW,negative_QTL,-0.0153061728394941,0.00591079169084519,Inf,-2.58953007313738,0.00961070278786087
QTL fixation,20X - 2X,Peri,200,2,4,GW,negative_QTL,-0.0165160493827157,0.00591079169084516,Inf,-2.79421949656868,0.00520251531495565
