response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,3,CV,-0.680714285713336,0.00591079169084518,Inf,-115.164654976362,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,3,CV,-0.902380952381303,0.00591079169084511,Inf,-152.666681483455,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,3,CV,-0.66357142857202,0.00591079169084509,Inf,-112.264390842903,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,3,CV,-0.896190476189569,0.00591079169084511,Inf,-151.619363879398,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,3,CV,-0.659047619047241,0.00591079169084522,Inf,-111.499043363005,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,3,CV,-0.903333333333318,0.00591079169084513,Inf,-152.827807268599,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,3,CV,-0.659523809523728,0.00591079169084514,Inf,-111.57960625566,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,3,CV,-0.899523809523848,0.00591079169084517,Inf,-152.183304127781,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,3,CV,-0.6869047619045,0.00591079169084502,Inf,-116.211972580326,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,3,CV,-0.905714285714221,0.00591079169084515,Inf,-153.230621731607,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,3,CV,-0.67261904761902,0.00591079169084508,Inf,-113.795085802263,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,3,CV,-0.895238095238135,0.00591079169084515,Inf,-151.458238094351,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,3,CV,-0.0555742501830964,0.00591079169084507,Inf,-9.40216693292923,5.3450726749487e-21
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,3,CV,-0.084130699829357,0.00591079169084514,Inf,-14.2334063234984,5.68440680729537e-46
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,3,CV,-0.0588929529382791,0.00591079169084513,Inf,-9.96363194959059,2.19880070116339e-23
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,3,CV,-0.0853645452328589,0.00591079169084517,Inf,-14.4421508484345,2.80936396370259e-47
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,3,CV,-0.0576176542306515,0.00591079169084515,Inf,-9.74787426866892,1.88371255248131e-22
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,3,CV,-0.087059253840527,0.00591079169084516,Inf,-14.728865166297,4.20711376254675e-49
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,3,CV,-0.0584662277493347,0.00591079169084514,Inf,-9.8914376968976,4.53468029980918e-23
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,3,CV,-0.0847012923677161,0.00591079169084518,Inf,-14.3299403528133,1.42242718464603e-46
