response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,3,CV,-0.0602974884174578,0.00591079169084509,Inf,-10.2012541756207,1.95728459499597e-24
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,3,CV,-0.0837503048036994,0.00591079169084515,Inf,-14.1690503039406,1.42413423689619e-45
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,3,CV,-0.0583711289929188,0.00591079169084515,Inf,-9.87534869200789,5.32474427552896e-23
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,3,CV,-0.084252621311882,0.00591079169084517,Inf,-14.254033252834,4.23121155003992e-46
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,4,CV,-0.658333333333944,0.00591079169084519,Inf,-111.378199024268,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,4,CV,-0.902857142856207,0.00591079169084521,Inf,-152.747244375838,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,4,CV,-0.643333333332852,0.00591079169084516,Inf,-108.840467907077,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,4,CV,-0.885714285714452,0.00591079169084517,Inf,-149.846980242304,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,4,CV,-0.643333333333389,0.00591079169084516,Inf,-108.840467907168,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,4,CV,-0.889523809523866,0.00591079169084514,Inf,-150.491483383113,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,4,CV,-0.634523809523822,0.00591079169084514,Inf,-107.350054393999,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,4,CV,-0.8802380952381,0.00591079169084517,Inf,-148.920506977338,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,4,CV,-0.657380952381005,0.00591079169084515,Inf,-111.217073238968,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,4,CV,-0.883333333333404,0.00591079169084516,Inf,-149.444165779271,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,4,CV,-0.626190476190474,0.00591079169084515,Inf,-105.940203773437,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,4,CV,-0.889047619047626,0.00591079169084515,Inf,-150.410920490501,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,3,GW,-0.461428571430185,0.00591079169084529,Inf,-78.065442932941,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,3,GW,-0.683809523808817,0.00591079169084524,Inf,-115.688313778324,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,3,GW,-0.502619047618543,0.00591079169084519,Inf,-85.0341331427758,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,3,GW,-0.729523809523891,0.00591079169084518,Inf,-123.422351468383,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,3,GW,-0.472142857142636,0.00591079169084517,Inf,-79.8781080162081,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,3,GW,-0.700476190476192,0.00591079169084515,Inf,-118.508015019564,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,3,GW,-0.507619047619099,0.00591079169084515,Inf,-85.8800435152059,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,3,GW,-0.720952380952401,0.00591079169084518,Inf,-121.972219401512,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,3,GW,-0.522380952380706,0.00591079169084515,Inf,-88.3774931858602,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,3,GW,-0.7166666666667,0.00591079169084518,Inf,-121.247153368084,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,3,GW,-0.523571428571471,0.00591079169084516,Inf,-88.5789004174174,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,3,GW,-0.729285714285727,0.00591079169084518,Inf,-123.38207002207,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,200,3,GW,-0.0493950617283831,0.00591079169084523,Inf,-8.35675901163753,6.4464801558147e-17
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,200,3,GW,-0.076560493827156,0.00591079169084517,Inf,-12.9526631679028,2.26942164586024e-38
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,3,GW,-0.0561358024691275,0.00591079169084516,Inf,-9.49717151360156,2.15668640597281e-21
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,3,GW,-0.0827506172839466,0.00591079169084521,Inf,-13.9999210955299,1.56043886321215e-44
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,3,GW,-0.0521999999999997,0.00591079169084514,Inf,-8.83130428718189,1.03462102523667e-18
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,3,GW,-0.0830592592592561,0.00591079169084516,Inf,-14.0521377851805,7.4743222401568e-45
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,3,GW,-0.057009876543213,0.00591079169084513,Inf,-9.64504917869331,5.15864622160517e-22
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,3,GW,-0.0843580246913596,0.0059107916908452,Inf,-14.2718656152298,3.27693334599319e-46
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,3,GW,-0.0575555555555552,0.00591079169084516,Inf,-9.73736828599445,2.08894080381047e-22
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,3,GW,-0.083634567901231,0.00591079169084515,Inf,-14.1494696946887,1.88170905135141e-45
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,3,GW,-0.0580839506172877,0.00591079169084518,Inf,-9.8267632586765,8.6349485163825e-23
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,3,GW,-0.082160493827162,0.00591079169084515,Inf,-13.9000827849195,6.32681464933044e-44
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,4,GW,-0.358095238094501,0.00591079169084526,Inf,-60.5832952376118,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,4,GW,-0.609523809524019,0.00591079169084519,Inf,-103.120502532354,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,4,GW,-0.372380952381048,0.00591079169084519,Inf,-63.0001820158546,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,4,GW,-0.595952380952388,0.00591079169084519,Inf,-100.824460093124,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,4,GW,-0.360000000000021,0.00591079169084516,Inf,-60.9055468081546,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,4,GW,-0.595952380952387,0.00591079169084517,Inf,-100.824460093124,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,4,GW,-0.349761904761909,0.00591079169084515,Inf,-59.1734446171792,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,4,GW,-0.607619047619045,0.00591079169084519,Inf,-102.798250961905,0
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,2,4,GW,-0.343809523809529,0.00591079169084517,Inf,-58.166408459637,0
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,2,4,GW,-0.549523809523805,0.00591079169084514,Inf,-92.9695780642935,0
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,2,4,GW,-0.350952380952388,0.00591079169084516,Inf,-59.3748518486881,0
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,2,4,GW,-0.572142857142855,0.00591079169084511,Inf,-96.7963154629549,0
