response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,1 - 4,GW,20X,Chr,200,8,R,-0.107933586716226,0.0304226666147066,Inf,-3.54780164681718,0.00356597699572103
Prediction accuracy,1 - 4,CV,2X,Chr,200,8,R,-0.0943295222315438,0.0304226666147028,Inf,-3.10063294011038,0.0165466334040335
Prediction accuracy,1 - 3,GW,2X,Chr,200,8,R,-0.084585510914139,0.0304226666147077,Inf,-2.78034506262664,0.0432065975069226
Prediction accuracy,1 - 4,GW,2X,Chr,200,8,R,-0.0862394831043982,0.0304226666146922,Inf,-2.83471150628032,0.037022328636819
Prediction accuracy,1 - 4,CV,20X,Peri,200,8,R,-0.0956530130239048,0.0304226666147044,Inf,-3.14413638473335,0.014392241071546
Prediction accuracy,1 - 3,GW,20X,Peri,200,8,R,-0.0873772524533002,0.0304226666147059,Inf,-2.8721102446379,0.0332227214279232
Prediction accuracy,1 - 4,GW,20X,Peri,200,8,R,-0.104198564424045,0.0304226666147069,Inf,-3.42503061101402,0.00555574146225357
Prediction accuracy,1 - 3,CV,2X,Peri,200,8,R,-0.0901733807655899,0.0304226666147059,Inf,-2.96401962088365,0.0252835599719988
Prediction accuracy,1 - 4,CV,2X,Peri,200,8,R,-0.107260952972166,0.0304226666146993,Inf,-3.5256920220248,0.00386708159719296
Prediction accuracy,1 - 5,CV,2X,Peri,200,8,R,-0.0870339200250965,0.0304226666147058,Inf,-2.86082482930756,0.0343322109564043
Prediction accuracy,1 - 3,GW,2X,Peri,200,8,R,-0.0851604689473371,0.0304226666147095,Inf,-2.79924406449504,0.040963941272728
Prediction accuracy,1 - 4,GW,2X,Peri,200,8,R,-0.0854540925143236,0.0304226666146992,Inf,-2.80889553820489,0.0398574245794083
Prediction accuracy,1 - 4,CV,20X,WT,200,8,R,-0.0862508804631991,0.0304226666147069,Inf,-2.83508614006584,0.0369824927226872
Prediction accuracy,1 - 4,GW,20X,WT,200,8,R,-0.0868183376884867,0.0304226666147028,Inf,-2.85373858866562,0.0350450502880979
Prediction accuracy,1 - 4,CV,2X,WT,200,8,R,-0.0918392525462302,0.0304226666147052,Inf,-3.01877720678958,0.0213872543764054
Prediction accuracy,1 - 3,GW,2X,WT,200,8,R,-0.0917998254809693,0.0304226666147054,Inf,-3.0174812301495,0.0214729954872279
Prediction accuracy,1 - 4,GW,2X,WT,200,8,R,-0.0938044815721303,0.0304226666146925,Inf,-3.08337473372001,0.0174776686738137
