response,contrast,Map_type,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,20X - 2X,Chr,2,8,2,GW,positive_QTL,DV,-0.0176190476187526,0.00576834677914847,Inf,-3.05443626975449,0.00225483916198239
QTL fixation,20X - 2X,Chr,2,2,3,GW,positive_QTL,DV,-0.0128571428566347,0.00576834677914851,Inf,-2.22891295355384,0.0258196970707082
QTL fixation,20X - 2X,Peri,2,2,3,GW,positive_QTL,DV,-0.0276190476190508,0.00576834677914848,Inf,-4.78803523374993,1.68422083858538e-06
QTL fixation,20X - 2X,Chr,2,8,3,GW,positive_QTL,DV,-0.0161904761904156,0.00576834677914853,Inf,-2.80677927494599,0.0050039516035128
QTL fixation,20X - 2X,Peri,2,8,3,GW,positive_QTL,DV,-0.0185714285714451,0.00576834677914834,Inf,-3.21954093304132,0.00128396028523911
QTL fixation,20X - 2X,Chr,2,8,4,GW,positive_QTL,DV,-0.0178571428574119,0.00576834677914854,Inf,-3.09571243566042,0.0019634067303976
QTL fixation,20X - 2X,Chr,2,2,5,GW,positive_QTL,DV,-0.0173809523810824,0.00576834677914854,Inf,-3.01316010401997,0.0025854247870509
QTL fixation,20X - 2X,Peri,2,2,5,GW,positive_QTL,DV,-0.013809523809514,0.00576834677914852,Inf,-2.39401761687297,0.0166649483349002
QTL fixation,20X - 2X,Chr,2,8,5,GW,positive_QTL,DV,-0.0207142857143145,0.00576834677914852,Inf,-3.591026425317,0.000329378234647332
QTL fixation,20X - 2X,WT,2,8,5,GW,positive_QTL,DV,-0.0185714285714387,0.00576834677914854,Inf,-3.21954093304009,0.00128396028524463
QTL fixation,20X - 2X,Chr,2,8,3,CV,negative_QTL,R,0.01333333333315,0.00576834677914848,Inf,2.31146528522654,0.0208071685078634
QTL fixation,20X - 2X,WT,2,8,3,CV,negative_QTL,R,-0.0119047619047511,0.00576834677914851,Inf,-2.06380829040732,0.0390358967176418
QTL fixation,20X - 2X,Peri,2,2,5,CV,negative_QTL,R,-0.0119047619047434,0.00576834677914852,Inf,-2.063808290406,0.0390358967177678
QTL fixation,20X - 2X,Peri,2,8,2,GW,negative_QTL,R,0.0121428571428561,0.00576834677914853,Inf,2.1050844562172,0.0352839570314989
QTL fixation,20X - 2X,Chr,2,8,3,GW,negative_QTL,R,0.016904761904874,0.00576834677914853,Inf,2.93060777240049,0.0033829962413459
QTL fixation,20X - 2X,Peri,2,8,4,GW,negative_QTL,R,-0.0119047619047773,0.00576834677914863,Inf,-2.06380829041183,0.0390358967172143
QTL fixation,20X - 2X,Chr,200,2,5,GW,negative_QTL,R,0.011492130857522,0.00576834677914854,Inf,1.99227461481058,0.0463409353796365
QTL fixation,20X - 2X,WT,2,8,5,GW,negative_QTL,R,0.0135714285714219,0.00576834677914842,Inf,2.35274145106538,0.0186355866482974
QTL fixation,20X - 2X,Peri,2,2,3,CV,positive_QTL,R,0.013095238095171,0.00576834677914858,Inf,2.27018911943846,0.0231961108891674
QTL fixation,20X - 2X,Chr,200,2,3,CV,positive_QTL,R,-0.0153334552851392,0.00576834677914855,Inf,-2.65820621959947,0.00785578076033543
QTL fixation,20X - 2X,Chr,2,8,3,CV,positive_QTL,R,-0.0138095238095398,0.00576834677914848,Inf,-2.39401761687746,0.0166649483346962
QTL fixation,20X - 2X,WT,2,8,3,CV,positive_QTL,R,0.0142857142857088,0.00576834677914843,Inf,2.47656994849013,0.0132651629103594
QTL fixation,20X - 2X,WT,2,2,5,CV,positive_QTL,R,-0.0130952380952893,0.0057683467791485,Inf,-2.270189119459,0.0231961108879218
QTL fixation,20X - 2X,Chr,200,2,5,CV,positive_QTL,R,-0.0126382592236993,0.00576834677914854,Inf,-2.19096730962574,0.0284541581763857
QTL fixation,20X - 2X,Chr,2,8,5,CV,positive_QTL,R,0.0152380952380522,0.00576834677914852,Inf,2.64167461171631,0.00824972704826657
QTL fixation,20X - 2X,Peri,2,8,5,CV,positive_QTL,R,0.023571428571422,0.00576834677914846,Inf,4.08634041500911,4.3823066682443e-05
QTL fixation,20X - 2X,WT,2,2,2,GW,positive_QTL,R,-0.0140476190476268,0.00576834677914839,Inf,-2.43529378268425,0.0148797033260205
QTL fixation,20X - 2X,Chr,2,2,3,GW,positive_QTL,R,-0.0157142857143299,0.00576834677914851,Inf,-2.7242269433478,0.00644522015123035
QTL fixation,20X - 2X,Peri,2,2,3,GW,positive_QTL,R,-0.014999999999999,0.0057683467791485,Inf,-2.60039844591543,0.00931155749526063
QTL fixation,20X - 2X,Chr,2,8,3,GW,positive_QTL,R,-0.0340476190476572,0.00576834677914853,Inf,-5.9024917105769,3.5805211397517e-09
QTL fixation,20X - 2X,WT,2,2,4,GW,positive_QTL,R,0.0116666666666746,0.00576834677914848,Inf,2.0225321246024,0.0431214083074795
QTL fixation,20X - 2X,Peri,2,2,5,GW,positive_QTL,R,0.0128571428571525,0.00576834677914851,Inf,2.2289129536436,0.0258196970647348
QTL fixation,20X - 2X,Peri,200,2,5,GW,positive_QTL,R,-0.0142234552466836,0.00576834677914882,Inf,-2.46577672793493,0.0136716524070964
QTL fixation,20X - 2X,WT,2,8,5,GW,positive_QTL,R,-0.0288095238095236,0.00576834677914818,Inf,-4.99441606279053,5.90140506930454e-07
