response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,1 - 2,CV,20X,Peri,2,2,negative_QTL,DV,-0.20761904761823,0.00576834677914814,Inf,-35.9928165845971,0
QTL fixation,1 - 3,CV,20X,Peri,2,2,negative_QTL,DV,-0.268095238095264,0.00576834677914826,Inf,-46.4769627000217,0
QTL fixation,1 - 4,CV,20X,Peri,2,2,negative_QTL,DV,-0.137380952380589,0.00576834677914821,Inf,-23.8163476712605,0
QTL fixation,1 - 5,CV,20X,Peri,2,2,negative_QTL,DV,-0.277380952381054,0.0057683467791482,Inf,-48.0867331665546,0
QTL fixation,2 - 3,CV,20X,Peri,2,2,negative_QTL,DV,-0.0604761904770335,0.00576834677914853,Inf,-10.4841461154248,4.45199432874688e-14
QTL fixation,2 - 4,CV,20X,Peri,2,2,negative_QTL,DV,0.070238095237641,0.00576834677914854,Inf,12.1764689133355,0
QTL fixation,2 - 5,CV,20X,Peri,2,2,negative_QTL,DV,-0.0697619047628239,0.00576834677914854,Inf,-12.0939165819572,0
QTL fixation,3 - 4,CV,20X,Peri,2,2,negative_QTL,DV,0.130714285714674,0.00576834677914861,Inf,22.66061502876,0
QTL fixation,4 - 5,CV,20X,Peri,2,2,negative_QTL,DV,-0.140000000000465,0.0057683467791486,Inf,-24.2703854952924,0
QTL fixation,1 - 2,GW,20X,Peri,2,2,negative_QTL,DV,-0.238571428572147,0.00576834677914847,Inf,-41.3587181399253,0
QTL fixation,1 - 3,GW,20X,Peri,2,2,negative_QTL,DV,-0.311666666666887,0.00576834677914845,Inf,-54.0305010429516,0
QTL fixation,1 - 4,GW,20X,Peri,2,2,negative_QTL,DV,-0.155000000000821,0.00576834677914847,Inf,-26.8707839412704,0
QTL fixation,1 - 5,GW,20X,Peri,2,2,negative_QTL,DV,-0.329047619047809,0.00576834677914843,Inf,-57.0436611469439,0
QTL fixation,2 - 3,GW,20X,Peri,2,2,negative_QTL,DV,-0.0730952380947393,0.00576834677914856,Inf,-12.6717829030259,0
QTL fixation,2 - 4,GW,20X,Peri,2,2,negative_QTL,DV,0.0835714285713258,0.00576834677914856,Inf,14.4879341986546,0
QTL fixation,2 - 5,GW,20X,Peri,2,2,negative_QTL,DV,-0.0904761904756613,0.00576834677914854,Inf,-15.6849430070181,0
