response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,20X,WT,2,2,4,negative_QTL,DV,-0.0152380952378443,0.0054101129204873,Inf,-2.81659467404828,0.00485357357483812
QTL fixation,CV - GW,2X,WT,2,2,4,negative_QTL,DV,-0.0145238095236424,0.00541011292048732,Inf,-2.68456679871558,0.00726238692556434
QTL fixation,CV - GW,2X,Chr,200,2,4,negative_QTL,DV,0.0115729888438203,0.00541011292048732,Inf,2.139139979869,0.0324243333524512
QTL fixation,CV - GW,20X,Peri,200,2,4,negative_QTL,DV,0.0147043854255156,0.00541011292048727,Inf,2.71794427244436,0.00656889008715531
QTL fixation,CV - GW,2X,Peri,200,2,4,negative_QTL,DV,0.0156150182064624,0.00541011292048729,Inf,2.8862647482515,0.00389844070456458
QTL fixation,CV - GW,20X,WT,200,2,4,negative_QTL,DV,0.0108915616199966,0.00541011292048732,Inf,2.0131856358768,0.0440951037935858
QTL fixation,CV - GW,20X,Chr,2,8,4,negative_QTL,DV,-0.0176190476183576,0.00541011292048725,Inf,-3.25668759179444,0.00112720419582685
QTL fixation,CV - GW,2X,Peri,2,8,4,negative_QTL,DV,-0.0197619047619282,0.0054101129204873,Inf,-3.65277121797085,0.000259425353592151
QTL fixation,CV - GW,20X,WT,2,8,4,negative_QTL,DV,-0.0119047619047335,0.00541011292048736,Inf,-2.20046458913117,0.0277739496471844
QTL fixation,CV - GW,20X,Chr,200,8,4,negative_QTL,DV,-0.0253290433011791,0.00541011292048733,Inf,-4.68179568031965,2.84372846394206e-06
QTL fixation,CV - GW,20X,Peri,200,8,4,negative_QTL,DV,-0.0163638270606953,0.00541011292048728,Inf,-3.0246738471443,0.00248901379054814
QTL fixation,CV - GW,20X,Chr,2,2,5,negative_QTL,DV,-0.0514285714254827,0.00541011292048667,Inf,-9.50600702449967,1.98121684235726e-21
QTL fixation,CV - GW,2X,Chr,2,2,5,negative_QTL,DV,-0.041904761905654,0.00541011292048741,Inf,-7.74563535392505,9.51050807948264e-15
QTL fixation,CV - GW,20X,Peri,2,2,5,negative_QTL,DV,-0.0435714285713586,0.00541011292048718,Inf,-8.05370039622666,8.03277081805963e-16
QTL fixation,CV - GW,2X,Peri,2,2,5,negative_QTL,DV,-0.0185714285715678,0.00541011292048728,Inf,-3.43272475907861,0.000597548376013449
QTL fixation,CV - GW,20X,WT,2,2,5,negative_QTL,DV,-0.0452380952383555,0.0054101129204874,Inf,-8.36176543876649,6.17865959775499e-17
QTL fixation,CV - GW,2X,WT,2,2,5,negative_QTL,DV,-0.0569047619048739,0.00541011292048735,Inf,-10.5182207360929,7.12055071846129e-26
QTL fixation,CV - GW,20X,Chr,200,2,5,negative_QTL,DV,-0.013874742107297,0.00541011292048727,Inf,-2.56459381000266,0.0103296651766986
QTL fixation,CV - GW,20X,Chr,2,8,5,negative_QTL,DV,-0.0397619047631264,0.00541011292048735,Inf,-7.34955172794149,1.98872680676888e-13
QTL fixation,CV - GW,2X,Chr,2,8,5,negative_QTL,DV,-0.0264285714282113,0.00541011292048738,Inf,-4.88503138781629,1.03412378477646e-06
QTL fixation,CV - GW,20X,Peri,2,8,5,negative_QTL,DV,-0.0271428571427658,0.00541011292048732,Inf,-5.01705926321421,5.24683868845425e-07
QTL fixation,CV - GW,2X,Peri,2,8,5,negative_QTL,DV,-0.0354761904761671,0.00541011292048732,Inf,-6.55738447562228,5.475970154073e-11
QTL fixation,CV - GW,20X,WT,2,8,5,negative_QTL,DV,-0.030476190476092,0.00541011292048742,Inf,-5.633189348171,1.76907039602053e-08
QTL fixation,CV - GW,2X,WT,2,8,5,negative_QTL,DV,-0.0276190476190197,0.00541011292048735,Inf,-5.10507784679137,3.30658366161644e-07
QTL fixation,CV - GW,20X,Chr,200,8,5,negative_QTL,DV,-0.0311109170527267,0.00541011292048731,Inf,-5.75051159004727,8.89738037732744e-09
QTL fixation,CV - GW,20X,Peri,200,8,5,negative_QTL,DV,-0.0210523821339022,0.00541011292048731,Inf,-3.89130179782013,9.97078197978456e-05
QTL fixation,CV - GW,2X,WT,200,8,5,negative_QTL,DV,-0.0135954693383681,0.00541011292048744,Inf,-2.51297330354857,0.0119718394055246
QTL fixation,CV - GW,20X,Chr,2,2,2,positive_QTL,DV,0.0852380952357446,0.0054101129204874,Inf,15.7553264577822,6.3132508562638e-56
QTL fixation,CV - GW,2X,Chr,2,2,2,positive_QTL,DV,0.0638095238096871,0.00541011292048733,Inf,11.7944901978015,4.16716476566623e-32
QTL fixation,CV - GW,20X,Peri,2,2,2,positive_QTL,DV,0.0773809523818712,0.00541011292048736,Inf,14.3030198295566,2.0951691787324e-46
QTL fixation,CV - GW,2X,Peri,2,2,2,positive_QTL,DV,0.0690476190474694,0.0054101129204874,Inf,12.7626946169635,2.64877151847328e-37
QTL fixation,CV - GW,20X,WT,2,2,2,positive_QTL,DV,0.0557142857151137,0.00541011292048736,Inf,10.2981742773115,7.18112391345808e-25
QTL fixation,CV - GW,2X,WT,2,2,2,positive_QTL,DV,0.0530952380950995,0.00541011292048731,Inf,9.81407206752294,9.79348497528192e-23
QTL fixation,CV - GW,2X,Chr,200,2,2,positive_QTL,DV,0.0117126079391657,0.00541011292048729,Inf,2.1649470373921,0.030391741443882
QTL fixation,CV - GW,20X,Chr,2,8,2,positive_QTL,DV,0.0307142857144997,0.00541011292048734,Inf,5.67719864001157,1.36918446325166e-08
QTL fixation,CV - GW,2X,Chr,2,8,2,positive_QTL,DV,0.0169047619049852,0.00541011292048733,Inf,3.12465971661503,0.0017801085405653
QTL fixation,CV - GW,20X,Peri,2,8,2,positive_QTL,DV,0.0183333333331436,0.00541011292048731,Inf,3.38871546723506,0.000702208347532855
QTL fixation,CV - GW,2X,Peri,2,8,2,positive_QTL,DV,0.0230952380952439,0.00541011292048735,Inf,4.26890130292576,1.96438158190784e-05
QTL fixation,CV - GW,20X,WT,2,8,2,positive_QTL,DV,0.020476190476046,0.00541011292048736,Inf,3.78479909328796,0.000153832800744643
QTL fixation,CV - GW,2X,WT,2,8,2,positive_QTL,DV,0.0145238095238031,0.00541011292048736,Inf,2.68456679874526,0.00726238692491942
QTL fixation,CV - GW,20X,Chr,2,2,3,positive_QTL,DV,0.104999999996122,0.00541011292048725,Inf,19.4080976754668,6.59229118109391e-84
QTL fixation,CV - GW,2X,Chr,2,2,3,positive_QTL,DV,0.0828571428580083,0.00541011292048728,Inf,15.3152335405497,6.0494207985914e-53
QTL fixation,CV - GW,20X,Peri,2,2,3,positive_QTL,DV,0.113095238096012,0.00541011292048735,Inf,20.9044135969391,4.88159995628395e-97
QTL fixation,CV - GW,2X,Peri,2,2,3,positive_QTL,DV,0.0840476190474837,0.00541011292048733,Inf,15.5352799992783,2.00195938867188e-54
QTL fixation,CV - GW,20X,WT,2,2,3,positive_QTL,DV,0.0680952380961211,0.00541011292048735,Inf,12.5866574500236,2.50038883845143e-36
