response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,3 - 4,GW,20X,WT,200,8,negative_QTL,-0.0370493827160461,0.00591079169084514,Inf,-6.2680914256257,3.65500178261927e-10
QTL fixation,3 - 4,CV,2X,WT,200,8,negative_QTL,-0.0421726408193194,0.00591079169084514,Inf,-7.1348548595678,9.68893414188903e-13
QTL fixation,3 - 4,GW,2X,WT,200,8,negative_QTL,-0.0394666666666671,0.00591079169084504,Inf,-6.67705253896788,2.43795569415061e-11
QTL fixation,3 - 4,GW,20X,Chr,2,2,positive_QTL,0.055238095238263,0.00591079169084536,Inf,9.34529554201949,9.16331998100161e-21
QTL fixation,3 - 4,GW,2X,Chr,2,2,positive_QTL,0.0676190476192373,0.00591079169084522,Inf,11.4399307497111,2.64096245172714e-30
QTL fixation,3 - 4,GW,20X,Peri,2,2,positive_QTL,0.0604761904761555,0.00591079169084518,Inf,10.2314873606226,1.43301347191506e-24
QTL fixation,3 - 4,CV,2X,Peri,2,2,positive_QTL,0.0128571428571698,0.00591079169084515,Inf,2.17519810029567,0.0296152744867212
QTL fixation,3 - 4,GW,2X,Peri,2,2,positive_QTL,0.0811904761904693,0.00591079169084518,Inf,13.7359731888741,6.18197713058965e-43
QTL fixation,3 - 4,CV,20X,WT,2,2,positive_QTL,0.0145238095236945,0.00591079169084515,Inf,2.45716822438346,0.0140037094171133
QTL fixation,3 - 4,GW,20X,WT,2,2,positive_QTL,0.101190476190424,0.00591079169084517,Inf,17.1196146782081,1.05974473839817e-65
QTL fixation,3 - 4,CV,2X,WT,2,2,positive_QTL,0.0223809523809824,0.00591079169084514,Inf,3.78645595236368,0.0001528111688277
QTL fixation,3 - 4,GW,2X,WT,2,2,positive_QTL,0.0949999999999947,0.00591079169084514,Inf,16.0722970743723,3.99021809008831e-58
QTL fixation,3 - 4,CV,20X,Chr,200,2,positive_QTL,0.0162594489149041,0.00591079169084522,Inf,2.75080729711507,0.00594486034407201
QTL fixation,3 - 4,GW,20X,Chr,200,2,positive_QTL,0.0248765432098699,0.00591079169084521,Inf,4.20866518581586,2.5688369959362e-05
QTL fixation,3 - 4,CV,2X,Chr,200,2,positive_QTL,0.030646183857596,0.00591079169084518,Inf,5.1847849595278,2.16264248469471e-07
QTL fixation,3 - 4,GW,2X,Chr,200,2,positive_QTL,0.0304395061728409,0.00591079169084518,Inf,5.14981880007488,2.60738234311829e-07
QTL fixation,3 - 4,CV,20X,Peri,200,2,positive_QTL,0.0251645940014662,0.00591079169084516,Inf,4.25739821629004,2.06819770271382e-05
QTL fixation,3 - 4,GW,20X,Peri,200,2,positive_QTL,0.0268246913580232,0.00591079169084519,Inf,4.53825693088966,5.67211261246354e-06
QTL fixation,3 - 4,CV,2X,Peri,200,2,positive_QTL,0.0306803218727137,0.00591079169084519,Inf,5.19056049974359,2.09661983018962e-07
QTL fixation,3 - 4,GW,2X,Peri,200,2,positive_QTL,0.0286814814814816,0.0059107916908453,Inf,4.85239253582626,1.21980884352004e-06
QTL fixation,3 - 4,CV,20X,WT,200,2,positive_QTL,0.0267032431114223,0.00591079169084515,Inf,4.51771006458936,6.25120000128377e-06
QTL fixation,3 - 4,GW,20X,WT,200,2,positive_QTL,0.0289111111111189,0.00591079169084519,Inf,4.89124175292749,1.0020180034023e-06
QTL fixation,3 - 4,CV,2X,WT,200,2,positive_QTL,0.0289344062423807,0.00591079169084514,Inf,4.89518287155938,9.82143547437243e-07
QTL fixation,3 - 4,GW,2X,WT,200,2,positive_QTL,0.0300765432098768,0.00591079169084516,Inf,5.08841197304592,3.61074313136362e-07
QTL fixation,3 - 4,GW,20X,Chr,2,8,positive_QTL,0.047380952380977,0.00591079169084523,Inf,8.01600781403983,1.09237559881245e-15
QTL fixation,3 - 4,GW,2X,Chr,2,8,positive_QTL,0.0750000000000083,0.00591079169084519,Inf,12.6886555850328,6.83489417319196e-37
QTL fixation,3 - 4,GW,20X,Peri,2,8,positive_QTL,0.0561904761904662,0.0059107916908452,Inf,9.50642132719642,1.97334506528648e-21
QTL fixation,3 - 4,GW,2X,Peri,2,8,positive_QTL,0.0619047619047613,0.0059107916908452,Inf,10.4731760384385,1.14727856515428e-25
QTL fixation,3 - 4,GW,20X,WT,2,8,positive_QTL,0.0923809523809527,0.00591079169084514,Inf,15.6292011650547,4.60540436810766e-55
QTL fixation,3 - 4,GW,2X,WT,2,8,positive_QTL,0.0919047619047619,0.00591079169084516,Inf,15.5486382724512,1.62524753851957e-54
QTL fixation,3 - 4,CV,20X,Chr,200,8,positive_QTL,0.0412167763960129,0.00591079169084518,Inf,6.97313973352348,3.09944493057936e-12
QTL fixation,3 - 4,GW,20X,Chr,200,8,positive_QTL,0.0416617283950667,0.0059107916908452,Inf,7.04841763576165,1.80963813038242e-12
QTL fixation,3 - 4,CV,2X,Chr,200,8,positive_QTL,0.0479931723969718,0.00591079169084517,Inf,8.11958446637619,4.67782524870931e-16
QTL fixation,3 - 4,GW,2X,Chr,200,8,positive_QTL,0.0389629629629617,0.00591079169084511,Inf,6.59183490145817,4.34423546193534e-11
QTL fixation,3 - 4,CV,20X,Peri,200,8,positive_QTL,0.0439112411606913,0.00591079169084515,Inf,7.42899487199027,1.09425988226598e-13
QTL fixation,3 - 4,GW,20X,Peri,200,8,positive_QTL,0.0342493827160499,0.00591079169084534,Inf,5.79438161711831,6.85733733865186e-09
QTL fixation,3 - 4,CV,2X,Peri,200,8,positive_QTL,0.0383516215557192,0.00591079169084514,Inf,6.48840689397321,8.6748738150294e-11
QTL fixation,3 - 4,GW,2X,Peri,200,8,positive_QTL,0.0424049382716046,0.00591079169084522,Inf,7.17415542443872,7.27549193136162e-13
QTL fixation,3 - 4,CV,20X,WT,200,8,positive_QTL,0.0401243599122124,0.00591079169084519,Inf,6.78832244661206,1.13444880547838e-11
QTL fixation,3 - 4,GW,20X,WT,200,8,positive_QTL,0.0441333333333308,0.00591079169084519,Inf,7.46656888648026,8.2312890763988e-14
QTL fixation,3 - 4,CV,2X,WT,200,8,positive_QTL,0.0395562058034645,0.00591079169084521,Inf,6.69220095587706,2.19838681513101e-11
QTL fixation,3 - 4,GW,2X,WT,200,8,positive_QTL,0.0398370370370375,0.0059107916908448,Inf,6.73971256654856,1.58700263238901e-11
