response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 8,20X,Chr,200,1,CV,DV,1.67383555065375,0.0693182380709344,Inf,24.14711621696,8.00608722101549e-129
Bulmer effect,2 - 8,2X,Chr,200,1,CV,DV,1.83426940814232,0.069318238070945,Inf,26.4615699877571,2.68546339206309e-154
Bulmer effect,2 - 8,20X,Peri,200,1,CV,DV,1.85219946921985,0.0693182380709423,Inf,26.7202329540496,2.7396409576869e-157
Bulmer effect,2 - 8,2X,Peri,200,1,CV,DV,1.9171501655838,0.0693182380709412,Inf,27.6572258461296,2.28471985450145e-168
Bulmer effect,2 - 8,20X,WT,200,1,CV,DV,2.09643827749665,0.069318238070943,Inf,30.2436751977319,6.31855296975617e-201
Bulmer effect,2 - 8,2X,WT,200,1,CV,DV,1.99424467279381,0.0693182380709401,Inf,28.7694079984102,5.17976719472738e-182
Bulmer effect,2 - 8,20X,Chr,200,2,CV,DV,0.898161686970882,0.0693182380709378,Inf,12.9570761168473,2.14259806658846e-38
Bulmer effect,2 - 8,2X,Chr,200,2,CV,DV,0.94782183822504,0.069318238070938,Inf,13.6734842748754,1.46222467370326e-42
Bulmer effect,2 - 8,20X,Peri,200,2,CV,DV,0.792723248593195,0.0693182380709443,Inf,11.4359982402016,2.76340072008623e-30
Bulmer effect,2 - 8,2X,Peri,200,2,CV,DV,0.914007195721087,0.0693182380709482,Inf,13.185666877245,1.0611148851921e-39
Bulmer effect,2 - 8,20X,WT,200,2,CV,DV,1.03152077880946,0.0693182380709387,Inf,14.8809434214676,4.38275423432702e-50
Bulmer effect,2 - 8,2X,WT,200,2,CV,DV,1.00139032335027,0.0693182380709394,Inf,14.4462749085668,2.64615188293065e-47
Bulmer effect,2 - 8,20X,Chr,200,3,CV,DV,0.710225552755021,0.0693182380709424,Inf,10.2458685119514,1.23510573818309e-24
Bulmer effect,2 - 8,2X,Chr,200,3,CV,DV,0.763069175620821,0.0693182380709398,Inf,11.0082021248131,3.48896503695809e-28
Bulmer effect,2 - 8,20X,Peri,200,3,CV,DV,0.759643933729989,0.0693182380709413,Inf,10.9587888392743,6.03009607770904e-28
Bulmer effect,2 - 8,2X,Peri,200,3,CV,DV,0.687957926394616,0.0693182380709319,Inf,9.92463088416419,3.25304093494986e-23
Bulmer effect,2 - 8,20X,WT,200,3,CV,DV,0.692592279507402,0.0693182380709383,Inf,9.99148707153553,1.6607139855933e-23
Bulmer effect,2 - 8,2X,WT,200,3,CV,DV,0.808659168792601,0.069318238070936,Inf,11.6658932958606,1.903941608406e-31
