response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
prediction accuracy,2 - 200,Peri,20X,2,3,CV,-1.18872366459093,0.107655634236397,Inf,-11.041908517121,2.39883066760052e-28
prediction accuracy,2 - 200,WT,20X,2,3,CV,-0.467070101317461,0.107655634236399,Inf,-4.33855696109531,1.43421314919028e-05
prediction accuracy,2 - 200,Chr,2X,2,3,CV,0.634476957459543,0.107655634236402,Inf,5.89357874262568,3.77919882498024e-09
prediction accuracy,2 - 200,WT,2X,2,3,CV,-0.289624331370934,0.0883302909218178,Inf,-3.2788789479623,0.0010422033160741
prediction accuracy,2 - 200,Chr,20X,2,4,CV,0.560102085202762,0.107655634236401,Inf,5.2027196641918,1.96393009574898e-07
prediction accuracy,2 - 200,WT,20X,2,4,CV,0.746932912450902,0.151499905770191,Inf,4.93025331371439,8.21230588743962e-07
prediction accuracy,2 - 200,Peri,2X,2,4,CV,0.488159024621036,0.107655634236388,Inf,4.53444938654252,5.77539485862437e-06
prediction accuracy,2 - 200,Peri,2X,8,4,CV,-1.69488120110195,0.151499905770166,Inf,-11.1873416190317,4.70323618571801e-29
prediction accuracy,2 - 200,Chr,20X,2,3,GW,-0.0802269088964204,0.0213189923453548,Inf,-3.76316608199829,0.000167775699092488
prediction accuracy,2 - 200,Peri,20X,2,3,GW,-0.125139824853885,0.0213727603811788,Inf,-5.85510821354108,4.76699521365782e-09
prediction accuracy,2 - 200,WT,20X,2,3,GW,-0.141841056507815,0.0213189923453551,Inf,-6.65327207825181,2.86647577611422e-11
prediction accuracy,2 - 200,Chr,2X,2,3,GW,-0.0912664357972949,0.0213189923453544,Inf,-4.28099200557116,1.86062042750372e-05
prediction accuracy,2 - 200,Peri,2X,2,3,GW,-0.110418355298248,0.0213189923453537,Inf,-5.17934213350907,2.22669756386424e-07
prediction accuracy,2 - 200,WT,2X,2,3,GW,-0.143373978048479,0.021318992345355,Inf,-6.72517611179301,1.75380190491354e-11
prediction accuracy,2 - 200,Chr,20X,8,3,GW,-0.412749730392734,0.021318992345354,Inf,-19.3606585014176,1.65753107432603e-83
prediction accuracy,2 - 200,Peri,20X,8,3,GW,-0.440660327868082,0.0213189923453541,Inf,-20.6698478394131,6.47199603516247e-95
prediction accuracy,2 - 200,WT,20X,8,3,GW,-0.429499994521672,0.0214274866457586,Inf,-20.0443477866634,2.26125952471155e-89
prediction accuracy,2 - 200,Chr,2X,8,3,GW,-0.443784616339574,0.021318992345354,Inf,-20.8163973770687,3.07449942015445e-96
prediction accuracy,2 - 200,Peri,2X,8,3,GW,-0.426638093243876,0.0213189923453531,Inf,-20.0121134401022,4.31941689877471e-89
prediction accuracy,2 - 200,WT,2X,8,3,GW,-0.466219125957536,0.0213189923453546,Inf,-21.8687224238872,5.15816391500696e-106
prediction accuracy,2 - 200,Chr,20X,2,4,GW,-0.067988886067427,0.0213189923453547,Inf,-3.1891228706333,0.00142705207332071
prediction accuracy,2 - 200,Peri,20X,2,4,GW,-0.110001723567893,0.0213727603811785,Inf,-5.14681873590664,2.64941111685033e-07
prediction accuracy,2 - 200,WT,20X,2,4,GW,-0.144506170179807,0.0213727603811798,Inf,-6.76123100631656,1.36824160128061e-11
prediction accuracy,2 - 200,Chr,2X,2,4,GW,-0.0913875582995001,0.0213189923453544,Inf,-4.28667344211577,1.8136860614288e-05
prediction accuracy,2 - 200,Peri,2X,2,4,GW,-0.0719971241500152,0.0213189923453539,Inf,-3.37713541914685,0.000732449801430531
prediction accuracy,2 - 200,WT,2X,2,4,GW,-0.0718023118365547,0.0213189923453558,Inf,-3.36799744910065,0.000757162966724595
prediction accuracy,2 - 200,Chr,20X,8,4,GW,-0.376352741503534,0.0213189923453543,Inf,-17.6534019716718,9.58071858354663e-70
prediction accuracy,2 - 200,Peri,20X,8,4,GW,-0.437810344303826,0.0213189923453542,Inf,-20.5361649937096,1.02330872493408e-93
prediction accuracy,2 - 200,WT,20X,8,4,GW,-0.449125028040117,0.0213189923453552,Inf,-21.0668975702301,1.60082245017986e-98
prediction accuracy,2 - 200,Chr,2X,8,4,GW,-0.37784631179388,0.0213189923453541,Inf,-17.7234601745247,2.76377401807906e-70
prediction accuracy,2 - 200,Peri,2X,8,4,GW,-0.400043951808503,0.0213727603811769,Inf,-18.7174676866178,3.56711147864475e-78
prediction accuracy,2 - 200,WT,2X,8,4,GW,-0.415077783542825,0.0213189923453549,Inf,-19.4698594013645,1.97813698330005e-84
