response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
prediction accuracy,2 - 200,Peri,20X,2,3,CV,0.047391506257529,0.0235157451409895,Inf,2.01530957124222,0.0438722226883107
prediction accuracy,2 - 200,Chr,2X,2,3,CV,0.0581526611130475,0.0234565506358834,Inf,2.47916507485489,0.0131690343105055
prediction accuracy,2 - 200,Chr,2X,8,3,CV,-0.0466778067979798,0.0234565506358832,Inf,-1.98996892265026,0.0465943590189087
prediction accuracy,2 - 200,Peri,2X,8,3,CV,-0.06492980991141,0.0234565506358833,Inf,-2.76808857872231,0.00563861281357004
prediction accuracy,2 - 200,Chr,20X,2,4,CV,0.0877855600938437,0.0234565506358834,Inf,3.74247524525414,0.000182216487952576
prediction accuracy,2 - 200,Peri,20X,2,4,CV,0.0640709016242825,0.0234565506358834,Inf,2.73147158842137,0.0063052177199194
prediction accuracy,2 - 200,WT,20X,2,4,CV,0.077214976724354,0.0234565506358832,Inf,3.29182998485005,0.000995377661014467
prediction accuracy,2 - 200,Peri,2X,2,4,CV,0.0768718580481028,0.0234565506358834,Inf,3.27720214456877,0.00104841280997717
prediction accuracy,2 - 200,Chr,20X,8,4,CV,0.0985687986949461,0.0234565506358833,Inf,4.20218642651396,2.64349287043271e-05
prediction accuracy,2 - 200,WT,20X,2,3,GW,-0.0791656042042329,0.0234565506358833,Inf,-3.37498916328845,0.000738185975718453
prediction accuracy,2 - 200,Chr,2X,2,3,GW,-0.0465427325135388,0.0234565506358832,Inf,-1.98421043383672,0.0472323858816466
prediction accuracy,2 - 200,Peri,2X,2,3,GW,-0.100381182155569,0.0234565506358833,Inf,-4.27945198395915,1.87354050002932e-05
prediction accuracy,2 - 200,WT,2X,2,3,GW,-0.096539677834421,0.0234565506358833,Inf,-4.11568091715654,3.86038054025247e-05
prediction accuracy,2 - 200,Chr,20X,8,3,GW,-0.16877912557121,0.0234565506358833,Inf,-7.19539407951208,6.22806192307167e-13
prediction accuracy,2 - 200,Peri,20X,8,3,GW,-0.246033673542693,0.0234565506358833,Inf,-10.488911066332,9.71414561797525e-26
prediction accuracy,2 - 200,WT,20X,8,3,GW,-0.279156176325783,0.0234565506358833,Inf,-11.900990075614,1.16951327090156e-32
prediction accuracy,2 - 200,Chr,2X,8,3,GW,-0.225812261771798,0.0234565506358833,Inf,-9.62683155239185,6.15995855022512e-22
prediction accuracy,2 - 200,Peri,2X,8,3,GW,-0.258556012479944,0.0234565506358834,Inf,-11.0227635978331,2.96804211911907e-28
prediction accuracy,2 - 200,WT,2X,8,3,GW,-0.282601244339054,0.0234565506358834,Inf,-12.0478602641062,1.9905014749824e-33
prediction accuracy,2 - 200,WT,20X,2,4,GW,-0.0467217117747437,0.0234565506358833,Inf,-1.99184068024349,0.0463885412266806
prediction accuracy,2 - 200,WT,2X,2,4,GW,-0.0652938062359108,0.0234565506358833,Inf,-2.7836064752004,0.00537582144927795
prediction accuracy,2 - 200,Chr,20X,8,4,GW,-0.163030582459744,0.0234565506358833,Inf,-6.95032210790375,3.64453105357253e-12
prediction accuracy,2 - 200,Peri,20X,8,4,GW,-0.208916808482983,0.0234565506358836,Inf,-8.9065443477177,5.26479092883175e-19
prediction accuracy,2 - 200,WT,20X,8,4,GW,-0.191004756246513,0.0234565506358834,Inf,-8.1429174822626,3.85865252304216e-16
prediction accuracy,2 - 200,Chr,2X,8,4,GW,-0.193712507327853,0.0234565506358833,Inf,-8.25835436483642,1.47694524387488e-16
prediction accuracy,2 - 200,Peri,2X,8,4,GW,-0.212046037200129,0.0234565506358836,Inf,-9.03994967084984,1.56743967726202e-19
prediction accuracy,2 - 200,WT,2X,8,4,GW,-0.195865529071649,0.0234565506358836,Inf,-8.35014201840982,6.81809353944812e-17
