response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
QTL DV AF,large_neg - med_neg,8,2X,Chr,200,3,CV,-0.0564868764965861,0.00912757190996596,Inf,-6.18859835384159,1.82059156639269e-09
QTL DV AF,large_neg - small_neg,8,2X,Chr,200,3,CV,-0.0932270224171467,0.00912757190996597,Inf,-10.2137812045454,2.57571741713036e-14
QTL DV AF,med_neg - small_neg,8,2X,Chr,200,3,CV,-0.0367401459205606,0.00912757190996598,Inf,-4.02518285070377,0.000168265723989425
QTL DV AF,large_neg - med_neg,2,20X,Peri,200,3,CV,-0.0402122813439232,0.00912757190996587,Inf,-4.40558362514983,3.13939049831902e-05
QTL DV AF,large_neg - small_neg,2,20X,Peri,200,3,CV,-0.063755360623789,0.00912757190996594,Inf,-6.98492011376844,8.57358628536531e-12
QTL DV AF,med_neg - small_neg,2,20X,Peri,200,3,CV,-0.0235430792798658,0.00912757190996597,Inf,-2.57933648861864,0.0267607274007153
QTL DV AF,large_neg - med_neg,8,20X,Peri,200,3,CV,-0.0611373956487063,0.00912757190996597,Inf,-6.69810068348553,6.33627594837094e-11
QTL DV AF,large_neg - small_neg,8,20X,Peri,200,3,CV,-0.0982162037036991,0.00912757190996599,Inf,-10.7603867351032,2.69784194983913e-14
QTL DV AF,med_neg - small_neg,8,20X,Peri,200,3,CV,-0.0370788080549928,0.009127571909966,Inf,-4.06228605161774,0.000143745616439483
QTL DV AF,large_neg - med_neg,2,2X,Peri,200,3,CV,-0.0372415678094236,0.0091275719099659,Inf,-4.08011771112551,0.00013320236223735
QTL DV AF,large_neg - small_neg,2,2X,Peri,200,3,CV,-0.0626663986354724,0.00912757190996594,Inf,-6.86561544007669,1.9884205393339e-11
QTL DV AF,med_neg - small_neg,2,2X,Peri,200,3,CV,-0.0254248308260488,0.00912757190996597,Inf,-2.78549772895118,0.0147777590390652
QTL DV AF,large_neg - med_neg,8,2X,Peri,200,3,CV,-0.0611523317964236,0.00912757190996596,Inf,-6.69973706037356,6.26579899076774e-11
QTL DV AF,large_neg - small_neg,8,2X,Peri,200,3,CV,-0.0963976608187104,0.00912757190996597,Inf,-10.5611505195,2.97539770599542e-14
QTL DV AF,med_neg - small_neg,8,2X,Peri,200,3,CV,-0.0352453290222868,0.00912757190996603,Inf,-3.86141345912639,0.000331794315597822
QTL DV AF,large_neg - med_neg,2,20X,WT,200,3,CV,-0.0375217210506415,0.00912757190996599,Inf,-4.11081078525092,0.000116748022127466
QTL DV AF,large_neg - small_neg,2,20X,WT,200,3,CV,-0.05843530701755,0.00912757190996599,Inf,-6.40206482008069,4.59818183529137e-10
QTL DV AF,large_neg - med_neg,8,20X,WT,200,3,CV,-0.0573033271471686,0.00912757190996596,Inf,-6.27804718630612,1.02835773230225e-09
QTL DV AF,large_neg - small_neg,8,20X,WT,200,3,CV,-0.0905953216374204,0.00912757190996596,Inf,-9.92545690475511,2.62012633811537e-14
QTL DV AF,med_neg - small_neg,8,20X,WT,200,3,CV,-0.0332919944902519,0.00912757190996597,Inf,-3.64740971844899,0.000774173360640784
QTL DV AF,large_neg - med_neg,2,2X,WT,200,3,CV,-0.0392088432454496,0.00912757190996588,Inf,-4.29564879161781,5.17494734202373e-05
QTL DV AF,large_neg - small_neg,2,2X,WT,200,3,CV,-0.0583495370370298,0.0091275719099659,Inf,-6.39266801867879,4.88990847813398e-10
QTL DV AF,large_neg - med_neg,8,2X,WT,200,3,CV,-0.058556015165005,0.00912757190996592,Inf,-6.41528938282816,4.21624291035982e-10
QTL DV AF,large_neg - small_neg,8,2X,WT,200,3,CV,-0.0960179093567231,0.009127571909966,Inf,-10.5195456473901,2.97539770599542e-14
QTL DV AF,med_neg - small_neg,8,2X,WT,200,3,CV,-0.0374618941917181,0.00912757190996598,Inf,-4.10425626456201,0.000120091353574936
QTL DV AF,large_neg - med_neg,2,20X,Chr,2,4,CV,-0.124406022727037,0.00912757190996792,Inf,-13.6296951647324,0
QTL DV AF,large_neg - small_neg,2,20X,Chr,2,4,CV,-0.386824999999767,0.00912757190996808,Inf,-42.3798359317576,0
QTL DV AF,med_neg - small_neg,2,20X,Chr,2,4,CV,-0.26241897727273,0.00912757190996591,Inf,-28.7501407670323,0
QTL DV AF,large_neg - small_neg,8,20X,Chr,2,4,CV,-0.167329545454598,0.00912757190996594,Inf,-18.332317412027,0
QTL DV AF,med_neg - small_neg,8,20X,Chr,2,4,CV,-0.158553863636366,0.00912757190996593,Inf,-17.3708698436272,0
QTL DV AF,large_neg - med_neg,2,2X,Chr,2,4,CV,-0.130186250000056,0.00912757190996595,Inf,-14.2629662394565,0
QTL DV AF,large_neg - small_neg,2,2X,Chr,2,4,CV,-0.37565681818187,0.00912757190996607,Inf,-41.1562704613375,0
QTL DV AF,med_neg - small_neg,2,2X,Chr,2,4,CV,-0.245470568181814,0.00912757190996594,Inf,-26.8933042218816,0
QTL DV AF,large_neg - small_neg,8,2X,Chr,2,4,CV,-0.186000000000014,0.00912757190996593,Inf,-20.37781809168,0
QTL DV AF,med_neg - small_neg,8,2X,Chr,2,4,CV,-0.172329545454545,0.0091275719099659,Inf,-18.8801082209374,0
QTL DV AF,large_neg - med_neg,2,20X,Peri,2,4,CV,-0.126631931818193,0.00912757190996588,Inf,-13.873561673059,0
QTL DV AF,large_neg - small_neg,2,20X,Peri,2,4,CV,-0.38187272727274,0.00912757190996598,Inf,-41.8372740351451,0
QTL DV AF,med_neg - small_neg,2,20X,Peri,2,4,CV,-0.255240795454547,0.00912757190996596,Inf,-27.9637123620863,0
QTL DV AF,large_neg - small_neg,8,20X,Peri,2,4,CV,-0.180322727272726,0.00912757190996599,Inf,-19.7558265277363,0
QTL DV AF,med_neg - small_neg,8,20X,Peri,2,4,CV,-0.167422613636365,0.00912757190996597,Inf,-18.3425137909419,0
QTL DV AF,large_neg - med_neg,2,2X,Peri,2,4,CV,-0.134661363636359,0.00912757190996597,Inf,-14.7532514632208,0
QTL DV AF,large_neg - small_neg,2,2X,Peri,2,4,CV,-0.390165909090904,0.00912757190996601,Inf,-42.7458597904771,0
QTL DV AF,med_neg - small_neg,2,2X,Peri,2,4,CV,-0.255504545454546,0.009127571909966,Inf,-27.9926083272564,0
QTL DV AF,large_neg - small_neg,8,2X,Peri,2,4,CV,-0.190004545454541,0.00912757190996601,Inf,-20.8165487304551,0
QTL DV AF,med_neg - small_neg,8,2X,Peri,2,4,CV,-0.172695795454545,0.00912757190996596,Inf,-18.9202338976905,0
QTL DV AF,large_neg - med_neg,2,20X,WT,2,4,CV,-0.133568750000017,0.00912757190996606,Inf,-14.6335467216838,0
QTL DV AF,large_neg - small_neg,2,20X,WT,2,4,CV,-0.35701363636365,0.00912757190996608,Inf,-39.113757731543,0
QTL DV AF,med_neg - small_neg,2,20X,WT,2,4,CV,-0.223444886363633,0.00912757190996597,Inf,-24.4802110098595,0
QTL DV AF,large_neg - small_neg,8,20X,WT,2,4,CV,-0.187077272727276,0.00912757190996595,Inf,-20.495842111418,0
QTL DV AF,med_neg - small_neg,8,20X,WT,2,4,CV,-0.172348068181819,0.00912757190996596,Inf,-18.8821375368887,0
QTL DV AF,large_neg - med_neg,2,2X,WT,2,4,CV,-0.130714659090902,0.0091275719099659,Inf,-14.3208577681193,0
QTL DV AF,large_neg - small_neg,2,2X,WT,2,4,CV,-0.411795454545449,0.00912757190996594,Inf,-45.1155530306839,0
QTL DV AF,med_neg - small_neg,2,2X,WT,2,4,CV,-0.281080795454547,0.00912757190996594,Inf,-30.7946952625647,0
QTL DV AF,large_neg - small_neg,8,2X,WT,2,4,CV,-0.176640909090906,0.00912757190996602,Inf,-19.3524532957159,0
QTL DV AF,med_neg - small_neg,8,2X,WT,2,4,CV,-0.160214659090908,0.00912757190996597,Inf,-17.5528235407247,0
QTL DV AF,large_neg - med_neg,2,20X,Chr,200,4,CV,-0.0653701309154527,0.00912757190996598,Inf,-7.16183137862524,2.41040520876368e-12
QTL DV AF,large_neg - small_neg,2,20X,Chr,200,4,CV,-0.0997224658870108,0.009127571909966,Inf,-10.9254100510704,2.80886425230165e-14
QTL DV AF,med_neg - small_neg,2,20X,Chr,200,4,CV,-0.034352334971558,0.00912757190996598,Inf,-3.76357867244522,0.00049151341394027
QTL DV AF,large_neg - med_neg,8,20X,Chr,200,4,CV,-0.105700493108883,0.00912757190996593,Inf,-11.5803517245889,0
QTL DV AF,large_neg - small_neg,8,20X,Chr,200,4,CV,-0.166730555555548,0.00912757190996596,Inf,-18.2666931797604,0
QTL DV AF,med_neg - small_neg,8,20X,Chr,200,4,CV,-0.0610300624466646,0.00912757190996598,Inf,-6.68634145517152,6.86642964708994e-11
QTL DV AF,large_neg - med_neg,2,2X,Chr,200,4,CV,-0.0625141988032902,0.0091275719099659,Inf,-6.84894070623911,2.23425722367665e-11
QTL DV AF,large_neg - small_neg,2,2X,Chr,200,4,CV,-0.0964431530214367,0.00912757190996598,Inf,-10.5661345616061,2.90878432451791e-14
QTL DV AF,med_neg - small_neg,2,2X,Chr,200,4,CV,-0.0339289542181465,0.00912757190996599,Inf,-3.71719385536705,0.000590218527365627
QTL DV AF,large_neg - med_neg,8,2X,Chr,200,4,CV,-0.0998692961764398,0.00912757190996597,Inf,-10.9414965076744,2.83106871279415e-14
QTL DV AF,large_neg - small_neg,8,2X,Chr,200,4,CV,-0.157290131578962,0.009127571909966,Inf,-17.2324176824314,0
QTL DV AF,med_neg - small_neg,8,2X,Chr,200,4,CV,-0.057420835402522,0.00912757190996598,Inf,-6.29092117475698,9.46588363248679e-10
QTL DV AF,large_neg - med_neg,2,20X,Peri,200,4,CV,-0.0667566171203113,0.00912757190996593,Inf,-7.31373225856738,8.00248756149813e-13
QTL DV AF,large_neg - small_neg,2,20X,Peri,200,4,CV,-0.101925389863542,0.00912757190996599,Inf,-11.1667583524873,8.65973959207622e-15
QTL DV AF,med_neg - small_neg,2,20X,Peri,200,4,CV,-0.0351687727432302,0.00912757190996597,Inf,-3.85302609392002,0.000343290072034264
QTL DV AF,large_neg - med_neg,8,20X,Peri,200,4,CV,-0.102940528434921,0.00912757190996589,Inf,-11.2779750683231,4.66293670342566e-15
QTL DV AF,large_neg - small_neg,8,20X,Peri,200,4,CV,-0.163206042884988,0.00912757190996605,Inf,-17.880554050392,0
QTL DV AF,med_neg - small_neg,8,20X,Peri,200,4,CV,-0.0602655144500662,0.00912757190996598,Inf,-6.60257898206915,1.21232024419271e-10
QTL DV AF,large_neg - med_neg,2,2X,Peri,200,4,CV,-0.0648921554588008,0.00912757190996596,Inf,-7.10946526621699,3.51707551971003e-12
QTL DV AF,large_neg - small_neg,2,2X,Peri,200,4,CV,-0.101433065302141,0.00912757190996603,Inf,-11.1128201785396,1.19904086659517e-14
QTL DV AF,med_neg - small_neg,2,2X,Peri,200,4,CV,-0.0365409098433406,0.00912757190996606,Inf,-4.00335491232262,0.00018448503153623
QTL DV AF,large_neg - med_neg,8,2X,Peri,200,4,CV,-0.0989347648546259,0.00912757190996615,Inf,-10.8391109739274,2.79776202205539e-14
QTL DV AF,large_neg - small_neg,8,2X,Peri,200,4,CV,-0.155419054580894,0.00912757190996608,Inf,-17.027425925968,0
QTL DV AF,med_neg - small_neg,8,2X,Peri,200,4,CV,-0.0564842897262678,0.00912757190996625,Inf,-6.18831495204036,1.82386616920383e-09
QTL DV AF,large_neg - med_neg,2,20X,WT,200,4,CV,-0.0639804693274928,0.0091275719099659,Inf,-7.00958260954767,7.19357906575624e-12
QTL DV AF,large_neg - small_neg,2,20X,WT,200,4,CV,-0.0960302631578884,0.00912757190996592,Inf,-10.5208991071369,2.98649993624167e-14
QTL DV AF,med_neg - small_neg,2,20X,WT,200,4,CV,-0.0320497938303956,0.00912757190996597,Inf,-3.51131649758923,0.00129591538614482
QTL DV AF,large_neg - med_neg,8,20X,WT,200,4,CV,-0.0961123960411424,0.00912757190996599,Inf,-10.5298974348481,2.87547763377916e-14
QTL DV AF,large_neg - small_neg,8,20X,WT,200,4,CV,-0.152570443469784,0.00912757190996593,Inf,-16.7153373289998,0
QTL DV AF,med_neg - small_neg,8,20X,WT,200,4,CV,-0.0564580474286415,0.00912757190996599,Inf,-6.18543989415163,1.85741833025332e-09
QTL DV AF,large_neg - med_neg,2,2X,WT,200,4,CV,-0.059517021104288,0.00912757190996594,Inf,-6.52057542699876,2.1011281603478e-10
QTL DV AF,large_neg - small_neg,2,2X,WT,200,4,CV,-0.0969751949317721,0.00912757190996602,Inf,-10.624424095294,2.74225087082414e-14
QTL DV AF,med_neg - small_neg,2,2X,WT,200,4,CV,-0.0374581738274841,0.00912757190996598,Inf,-4.10384866829537,0.000120302226616409
QTL DV AF,large_neg - med_neg,8,2X,WT,200,4,CV,-0.0957941999948597,0.00912757190996594,Inf,-10.4950364609307,2.62012633811537e-14
QTL DV AF,large_neg - small_neg,8,2X,WT,200,4,CV,-0.148653898635474,0.009127571909966,Inf,-16.2862478764112,0
QTL DV AF,med_neg - small_neg,8,2X,WT,200,4,CV,-0.0528596986406147,0.009127571909966,Inf,-5.79121141548055,2.09513255633453e-08
QTL DV AF,large_neg - med_neg,2,20X,Chr,2,3,GW,-0.178560681817847,0.00912757190996776,Inf,-19.5627800667174,0
QTL DV AF,large_neg - small_neg,2,20X,Chr,2,3,GW,-0.353479545454214,0.00912757190996805,Inf,-38.726569227922,0
QTL DV AF,med_neg - small_neg,2,20X,Chr,2,3,GW,-0.174918863636367,0.0091275719099659,Inf,-19.1637891612098,0
QTL DV AF,large_neg - med_neg,8,20X,Chr,2,3,GW,-0.063728068181843,0.00912757190996589,Inf,-6.98193000399831,8.75743921824324e-12
QTL DV AF,large_neg - small_neg,8,20X,Chr,2,3,GW,-0.311795454545481,0.00912757190996598,Inf,-34.1597368523655,0
QTL DV AF,med_neg - small_neg,8,20X,Chr,2,3,GW,-0.248067386363638,0.00912757190996595,Inf,-27.1778068483673,0
QTL DV AF,large_neg - med_neg,2,2X,Chr,2,3,GW,-0.191908522727357,0.00912757190996576,Inf,-21.0251449805425,0
QTL DV AF,large_neg - small_neg,2,2X,Chr,2,3,GW,-0.36620000000008,0.00912757190996579,Inf,-40.1201988450237,0
QTL DV AF,med_neg - small_neg,2,2X,Chr,2,3,GW,-0.174291477272723,0.00912757190996593,Inf,-19.095053864481,0
QTL DV AF,large_neg - med_neg,8,2X,Chr,2,3,GW,-0.0640002272727274,0.00912757190996594,Inf,-7.01174725370816,7.08377800862081e-12
QTL DV AF,large_neg - small_neg,8,2X,Chr,2,3,GW,-0.273168181818182,0.00912757190996589,Inf,-29.927803857664,0
QTL DV AF,med_neg - small_neg,8,2X,Chr,2,3,GW,-0.209167954545455,0.00912757190996595,Inf,-22.9160566039556,0
QTL DV AF,large_neg - med_neg,2,20X,Peri,2,3,GW,-0.177627613636382,0.00912757190996587,Inf,-19.4605548319417,0
QTL DV AF,large_neg - small_neg,2,20X,Peri,2,3,GW,-0.375272727272742,0.009127571909966,Inf,-41.1141901673761,0
QTL DV AF,med_neg - small_neg,2,20X,Peri,2,3,GW,-0.19764511363636,0.00912757190996597,Inf,-21.6536353354347,0
QTL DV AF,large_neg - med_neg,8,20X,Peri,2,3,GW,-0.0604615909090874,0.00912757190996595,Inf,-6.6240607584885,1.04853237203884e-10
QTL DV AF,large_neg - small_neg,8,20X,Peri,2,3,GW,-0.307736363636361,0.00912757190996599,Inf,-33.7150303138514,0
QTL DV AF,med_neg - small_neg,8,20X,Peri,2,3,GW,-0.247274772727274,0.009127571909966,Inf,-27.0909695553628,0
QTL DV AF,large_neg - med_neg,2,2X,Peri,2,3,GW,-0.159678977272724,0.00912757190996596,Inf,-17.4941352254237,0
QTL DV AF,large_neg - small_neg,2,2X,Peri,2,3,GW,-0.381881818181816,0.00912757190996594,Inf,-41.8382700184327,0
QTL DV AF,med_neg - small_neg,2,2X,Peri,2,3,GW,-0.222202840909092,0.00912757190996599,Inf,-24.3441347930087,0
QTL DV AF,large_neg - med_neg,8,2X,Peri,2,3,GW,-0.0643637499999966,0.00912757190996597,Inf,-7.05157413547417,5.32973665201553e-12
QTL DV AF,large_neg - small_neg,8,2X,Peri,2,3,GW,-0.301154545454542,0.00912757190996598,Inf,-32.9939384126598,0
QTL DV AF,med_neg - small_neg,8,2X,Peri,2,3,GW,-0.236790795454545,0.00912757190996605,Inf,-25.9423642771855,0
QTL DV AF,large_neg - med_neg,2,20X,WT,2,3,GW,-0.182614886363651,0.00912757190996587,Inf,-20.0069512642529,0
QTL DV AF,large_neg - small_neg,2,20X,WT,2,3,GW,-0.370047727272741,0.00912757190996592,Inf,-40.541748772059,0
QTL DV AF,med_neg - small_neg,2,20X,WT,2,3,GW,-0.18743284090909,0.00912757190996599,Inf,-20.534797507806,0
QTL DV AF,large_neg - med_neg,8,20X,WT,2,3,GW,-0.0667152272727298,0.0091275719099659,Inf,-7.30919766294988,8.27227175648204e-13
QTL DV AF,large_neg - small_neg,8,20X,WT,2,3,GW,-0.269404545454548,0.00912757190996591,Inf,-29.5154667760436,0
QTL DV AF,med_neg - small_neg,8,20X,WT,2,3,GW,-0.202689318181818,0.00912757190996598,Inf,-22.2062691130935,0
QTL DV AF,large_neg - med_neg,2,2X,WT,2,3,GW,-0.160951249999995,0.00912757190996587,Inf,-17.6335230867107,0
QTL DV AF,large_neg - small_neg,2,2X,WT,2,3,GW,-0.372013636363632,0.00912757190996587,Inf,-40.7571301582902,0
QTL DV AF,med_neg - small_neg,2,2X,WT,2,3,GW,-0.211062386363637,0.00912757190996596,Inf,-23.1236070715793,0
QTL DV AF,large_neg - med_neg,8,2X,WT,2,3,GW,-0.0591623863636342,0.00912757190996601,Inf,-6.48172229670821,2.72031730474964e-10
QTL DV AF,large_neg - small_neg,8,2X,WT,2,3,GW,-0.286338636363634,0.00912757190996598,Inf,-31.3707346475128,0
