response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,2 - 8,20X,Chr,2,1,CV,DV,0.342709956878411,0.134862247914527,Inf,2.54118526257707,0.0110477363026358
Genetic gain,2 - 8,2X,Chr,2,1,CV,DV,0.324975836901191,0.134862247914574,Inf,2.40968723216775,0.015966201366823
Genetic gain,2 - 8,20X,Peri,2,1,CV,DV,0.292070493455877,0.134862247914538,Inf,2.16569498115561,0.0303345028156389
Genetic gain,2 - 8,2X,Peri,2,1,CV,DV,0.363439919514037,0.134862247914551,Inf,2.69489738703089,0.00704103109103922
Genetic gain,2 - 8,20X,WT,2,1,CV,DV,0.306708090450864,0.134862247914554,Inf,2.27423237558067,0.0229520186301464
Genetic gain,2 - 8,2X,WT,2,1,CV,DV,0.346776642100771,0.134862247914558,Inf,2.57133962590087,0.0101305924044938
Genetic gain,2 - 8,20X,Chr,200,1,CV,DV,-3.77645658053115,0.134862247914559,Inf,-28.0023256243192,1.52221366607799e-172
Genetic gain,2 - 8,2X,Chr,200,1,CV,DV,-3.29730140556183,0.134862247914549,Inf,-24.4494026797703,5.10654730998254e-132
Genetic gain,2 - 8,20X,Peri,200,1,CV,DV,-3.7426886287,0.134862247914551,Inf,-27.7519371549506,1.65116576946208e-169
Genetic gain,2 - 8,2X,Peri,200,1,CV,DV,-3.38288298892301,0.134862247914551,Inf,-25.0839878560115,7.43724472047519e-139
Genetic gain,2 - 8,20X,WT,200,1,CV,DV,-3.18895466637646,0.134862247914557,Inf,-23.6460144754287,1.29718906647989e-123
Genetic gain,2 - 8,2X,WT,200,1,CV,DV,-3.24588247178878,0.13486224791455,Inf,-24.0681326463237,5.39238855936806e-128
Genetic gain,2 - 8,20X,Chr,2,2,CV,DV,-0.534770831606397,0.134862247914551,Inf,-3.96531156699412,7.33001389013562e-05
Genetic gain,2 - 8,2X,Chr,2,2,CV,DV,-0.603755314381658,0.134862247914551,Inf,-4.47682968152956,7.57596402706649e-06
Genetic gain,2 - 8,20X,Peri,2,2,CV,DV,-0.382579090208791,0.134862247914549,Inf,-2.83681383133403,0.00455661725349216
Genetic gain,2 - 8,2X,Peri,2,2,CV,DV,-0.474301699933585,0.13486224791455,Inf,-3.51693455557783,0.000436561405057785
Genetic gain,2 - 8,20X,WT,2,2,CV,DV,-0.611037947870125,0.134862247914551,Inf,-4.53083021615716,5.87523426032946e-06
Genetic gain,2 - 8,2X,WT,2,2,CV,DV,-0.770190898712157,0.134862247914551,Inf,-5.71094513566281,1.12350464467765e-08
Genetic gain,2 - 8,20X,Chr,200,2,CV,DV,-4.0808615720402,0.134862247914549,Inf,-30.2594805821856,3.91506163802265e-201
Genetic gain,2 - 8,2X,Chr,200,2,CV,DV,-3.49827237016891,0.13486224791455,Inf,-25.9395970648914,2.38262570058352e-148
Genetic gain,2 - 8,20X,Peri,200,2,CV,DV,-3.94690212283674,0.13486224791455,Inf,-29.2661748107412,2.79579235407621e-188
Genetic gain,2 - 8,2X,Peri,200,2,CV,DV,-3.58219791179923,0.134862247914551,Inf,-26.5619027355151,1.87136714538164e-155
Genetic gain,2 - 8,20X,WT,200,2,CV,DV,-3.35616246872536,0.134862247914551,Inf,-24.8858559057375,1.05861490853355e-136
Genetic gain,2 - 8,2X,WT,200,2,CV,DV,-3.4645118093727,0.134862247914551,Inf,-25.6892633998494,1.54085488811473e-145
Genetic gain,2 - 8,20X,Chr,2,3,CV,DV,-0.557716924792314,0.134862247914547,Inf,-4.1354562408429,3.54250117209565e-05
Genetic gain,2 - 8,2X,Chr,2,3,CV,DV,-0.574335941682672,0.134862247914551,Inf,-4.25868581136636,2.05632252165974e-05
Genetic gain,2 - 8,20X,Peri,2,3,CV,DV,-0.720641579306592,0.13486224791455,Inf,-5.34353824328361,9.114958754069e-08
Genetic gain,2 - 8,2X,Peri,2,3,CV,DV,-0.298787154177127,0.134862247914551,Inf,-2.21549884268902,0.0267258436931953
Genetic gain,2 - 8,20X,WT,2,3,CV,DV,-0.664132590582673,0.134862247914553,Inf,-4.92452558705278,8.4565263690698e-07
Genetic gain,2 - 8,20X,Chr,200,3,CV,DV,-3.96643442811476,0.134862247914549,Inf,-29.4110063375775,3.971753619264e-190
Genetic gain,2 - 8,2X,Chr,200,3,CV,DV,-3.41832799491772,0.13486224791455,Inf,-25.3468116376319,9.74406423342882e-142
Genetic gain,2 - 8,20X,Peri,200,3,CV,DV,-3.93488133547472,0.13486224791455,Inf,-29.1770409905068,3.79318933814682e-187
Genetic gain,2 - 8,2X,Peri,200,3,CV,DV,-3.31973144400778,0.13486224791455,Inf,-24.6157208213761,8.57393204767971e-134
Genetic gain,2 - 8,20X,WT,200,3,CV,DV,-3.17726808742965,0.134862247914551,Inf,-23.5593588017514,1.00660135121722e-122
Genetic gain,2 - 8,2X,WT,200,3,CV,DV,-3.34695719131573,0.13486224791455,Inf,-24.8175990173053,5.789238112174e-136
