response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,DV - R,GW,20X,Chr,200,2,1,negative_QTL,-0.0125082290063891,0.00541011292048747,Inf,-2.3120088601149,0.0207771950563473
QTL fixation,DV - R,CV,2X,Chr,200,2,1,negative_QTL,-0.0109335597957521,0.00541011292048801,Inf,-2.02094853775545,0.043285092627675
QTL fixation,DV - R,GW,2X,Chr,200,2,1,negative_QTL,-0.0150652202156959,0.00541011292048736,Inf,-2.7846406234232,0.00535870790226192
QTL fixation,DV - R,CV,20X,Peri,200,2,1,negative_QTL,-0.0124630512278917,0.00541011292048738,Inf,-2.30365824356378,0.0212418355705983
QTL fixation,DV - R,GW,20X,Peri,200,2,1,negative_QTL,-0.0163315152002104,0.00541011292048727,Inf,-3.01870135434059,0.00253860643015435
QTL fixation,DV - R,CV,2X,Peri,200,2,1,negative_QTL,-0.0118830680335196,0.00541011292048734,Inf,-2.19645471511696,0.0280594130676327
QTL fixation,DV - R,GW,2X,Peri,200,2,1,negative_QTL,-0.0153836009679355,0.00541011292048717,Inf,-2.84348981140124,0.00446224360519865
QTL fixation,DV - R,CV,20X,WT,200,2,1,negative_QTL,-0.01231938677649,0.00541011292048753,Inf,-2.27710344636945,0.0227800489473705
QTL fixation,DV - R,GW,20X,WT,200,2,1,negative_QTL,-0.0147056647108257,0.00541011292048728,Inf,-2.71818073429439,0.00656419712646564
QTL fixation,DV - R,CV,2X,WT,200,2,1,negative_QTL,-0.0119531644739849,0.0054101129204874,Inf,-2.20941127286267,0.0271460476513207
QTL fixation,DV - R,GW,2X,WT,200,2,1,negative_QTL,-0.0152254540495538,0.00541011292048724,Inf,-2.81425808912369,0.00488899592836409
QTL fixation,DV - R,GW,20X,Chr,2,2,2,negative_QTL,0.0161904761893078,0.00541011292048738,Inf,2.99263184100957,0.00276583174988467
QTL fixation,DV - R,CV,2X,Chr,2,2,2,negative_QTL,0.0119047619038755,0.00541011292048731,Inf,2.20046458897261,0.027773949658423
QTL fixation,DV - R,CV,20X,Peri,2,2,2,negative_QTL,0.0130952380945002,0.00541011292048728,Inf,2.42051104791372,0.0154987083288438
QTL fixation,DV - R,CV,20X,WT,2,2,2,negative_QTL,0.0138095238088048,0.00541011292048731,Inf,2.55253892326538,0.0106940959818257
QTL fixation,DV - R,GW,20X,WT,2,2,2,negative_QTL,0.0130952380955225,0.00541011292048735,Inf,2.42051104810266,0.0154987083207897
QTL fixation,DV - R,GW,2X,WT,2,2,2,negative_QTL,0.0135714285714109,0.00541011292048734,Inf,2.50852963161226,0.0121234799485258
QTL fixation,DV - R,CV,2X,Chr,2,8,2,negative_QTL,0.0123809523810714,0.00541011292048735,Inf,2.28848317272389,0.0221093989525951
QTL fixation,DV - R,CV,20X,Peri,2,8,2,negative_QTL,0.0178571428573182,0.00541011292048726,Inf,3.30069688373711,0.000964450182936298
QTL fixation,DV - R,CV,2X,Peri,2,8,2,negative_QTL,0.0164285714286111,0.00541011292048728,Inf,3.03664113301566,0.00239230086055861
QTL fixation,DV - R,GW,2X,Peri,2,8,2,negative_QTL,0.0126190476190403,0.00541011292048734,Inf,2.33249246448327,0.0196747988809243
QTL fixation,DV - R,CV,20X,WT,2,8,2,negative_QTL,0.0114285714286694,0.00541011292048732,Inf,2.1124460055891,0.0346482125442687
QTL fixation,DV - R,CV,2X,WT,2,8,2,negative_QTL,0.0259523809524292,0.00541011292048731,Inf,4.79701280432637,1.61049310369546e-06
QTL fixation,DV - R,CV,20X,Chr,200,8,2,negative_QTL,0.0130569936766134,0.00541011292048728,Inf,2.41344198698118,0.0158026433436548
QTL fixation,DV - R,CV,2X,Chr,200,8,2,negative_QTL,0.0136459397624988,0.0054101129204873,Inf,2.5223022075609,0.0116589496564163
QTL fixation,DV - R,GW,2X,Chr,200,8,2,negative_QTL,0.0125307072635155,0.00541011292048731,Inf,2.31616371925686,0.0205493312960855
QTL fixation,DV - R,GW,20X,Peri,200,8,2,negative_QTL,0.0121534962583737,0.00541011292048719,Inf,2.24644040466335,0.0246758127533966
QTL fixation,DV - R,CV,2X,Peri,200,8,2,negative_QTL,0.0121458893457099,0.00541011292048728,Inf,2.24503435033958,0.0247659274715496
QTL fixation,DV - R,GW,2X,Peri,200,8,2,negative_QTL,0.0125886355022969,0.00541011292048731,Inf,2.32687111846141,0.0199721258002201
QTL fixation,DV - R,CV,20X,WT,200,8,2,negative_QTL,0.0141042078158388,0.00541011292048736,Inf,2.60700802795225,0.00913372188369361
QTL fixation,DV - R,GW,20X,WT,200,8,2,negative_QTL,0.013148693694677,0.00541011292048733,Inf,2.43039172895721,0.0150825116181766
QTL fixation,DV - R,CV,2X,WT,200,8,2,negative_QTL,0.0143552462904561,0.00541011292048745,Inf,2.65340973496034,0.00796830796432589
QTL fixation,DV - R,GW,2X,WT,200,8,2,negative_QTL,0.0123629326759276,0.00541011292048665,Inf,2.28515242798583,0.0223038915260259
QTL fixation,DV - R,CV,20X,Chr,2,2,3,negative_QTL,0.0230952380987222,0.00541011292048783,Inf,4.2689013035683,1.96438157625002e-05
QTL fixation,DV - R,CV,2X,Chr,2,2,3,negative_QTL,0.0230952380941167,0.00541011292048733,Inf,4.26890130271743,1.96438158374235e-05
QTL fixation,DV - R,GW,2X,Chr,2,2,3,negative_QTL,0.0138095238096883,0.00541011292048733,Inf,2.55253892342868,0.0106940959768124
QTL fixation,DV - R,CV,20X,Peri,2,2,3,negative_QTL,0.0207142857139652,0.00541011292048733,Inf,3.82880838503816,0.00012876520995616
QTL fixation,DV - R,CV,2X,Peri,2,2,3,negative_QTL,0.0116666666666308,0.0054101129204873,Inf,2.15645529734709,0.031048130780086
