response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Prediction accuracy,DV - R,GW,2X,WT,200,2,1,-0.0616569915150375,0.0304226666147068,Inf,-2.02667939322688,0.0426952112299719
Prediction accuracy,DV - R,GW,20X,Peri,200,8,1,-0.0743929602471791,0.030422666614709,Inf,-2.44531359427943,0.0144726240691562
Prediction accuracy,DV - R,GW,2X,Peri,200,8,1,-0.0635705612186235,0.0304226666147055,Inf,-2.08957886643294,0.0366556465921592
Prediction accuracy,DV - R,GW,2X,Chr,2,2,2,-0.0631519998485499,0.030422666614708,Inf,-2.07582065860126,0.0379105409597111
Prediction accuracy,DV - R,CV,2X,Peri,2,2,2,0.23059155856192,0.0582664243086664,Inf,3.95753748917835,7.5726405317462e-05
Prediction accuracy,DV - R,CV,20X,WT,2,2,2,-0.286210956720743,0.0626918119921603,Inf,-4.56536424176946,4.98627800404263e-06
Prediction accuracy,DV - R,GW,20X,Peri,200,2,2,-0.0743819526778459,0.0304226666147063,Inf,-2.4449517729616,0.0144871512617882
Prediction accuracy,DV - R,CV,20X,Chr,2,8,2,-0.994086558872432,0.144347397716632,Inf,-6.88676467049253,5.70755213082632e-12
Prediction accuracy,DV - R,CV,2X,Chr,2,8,2,-0.830891408831065,0.164346679771952,Inf,-5.0557237297645,4.28761647478657e-07
Prediction accuracy,DV - R,CV,2X,Peri,2,8,2,-0.42066770898212,0.141649215190704,Inf,-2.9697849607975,0.00298008276046514
Prediction accuracy,DV - R,GW,2X,Chr,200,8,2,-0.0708854716035159,0.0304226666147097,Inf,-2.33002164147051,0.0198050073311534
Prediction accuracy,DV - R,GW,20X,Peri,200,8,2,-0.0846418645687956,0.0304226666147057,Inf,-2.78219742012626,0.00539921855151518
Prediction accuracy,DV - R,GW,2X,Peri,200,8,2,-0.0675936261035272,0.0304226666147096,Inf,-2.22181792804597,0.0262956126334457
Prediction accuracy,DV - R,CV,2X,WT,2,2,3,0.096157646754275,0.0438805599453689,Inf,2.19134958336883,0.0284265045199671
Prediction accuracy,DV - R,CV,20X,Chr,2,8,3,-0.374225832801837,0.0800887609412651,Inf,-4.6726385625604,2.97354778123115e-06
Prediction accuracy,DV - R,GW,2X,Chr,2,8,3,-0.0763298619241303,0.0312999112844121,Inf,-2.43866064764675,0.0147418046313954
Prediction accuracy,DV - R,CV,20X,Peri,2,8,3,-0.672377805699162,0.0914321246558665,Inf,-7.35384645418518,1.92582947914823e-13
Prediction accuracy,DV - R,CV,20X,WT,2,8,3,0.166527059875576,0.0621690704042336,Inf,2.67861589039035,0.0073927144706704
Prediction accuracy,DV - R,CV,2X,WT,2,8,3,-0.477003538570097,0.0888380407389897,Inf,-5.36936130741059,7.90159760232069e-08
Prediction accuracy,DV - R,GW,20X,Peri,200,8,3,-0.0689346207777085,0.0304226666147047,Inf,-2.26589672926269,0.0234577069293717
Prediction accuracy,DV - R,CV,2X,Chr,2,2,4,0.360315173475567,0.0680434902960624,Inf,5.29536583011554,1.18778378031289e-07
Prediction accuracy,DV - R,CV,20X,Peri,2,2,4,-0.327362188859141,0.0752239006724802,Inf,-4.35183746033663,1.35001332385821e-05
Prediction accuracy,DV - R,GW,20X,Peri,2,2,4,-0.059870638883457,0.0304226666147076,Inf,-1.96796157423337,0.0490724591382442
Prediction accuracy,DV - R,CV,20X,WT,2,2,4,0.734296944680987,0.0749468361033157,Inf,9.79757095641427,1.15325537201427e-22
Prediction accuracy,DV - R,CV,2X,WT,2,2,4,-0.268514908455671,0.0752239011643036,Inf,-3.56954244993465,0.000357605269414585
Prediction accuracy,DV - R,CV,20X,Chr,200,8,4,0.0601748796641794,0.0304226666147073,Inf,1.9779620381827,0.0479329893647293
Prediction accuracy,DV - R,CV,2X,Chr,2,2,5,-0.114218683721464,0.0369195122806706,Inf,-3.09372135940333,0.00197663034650976
Prediction accuracy,DV - R,CV,20X,Peri,2,2,5,0.175009448842063,0.0360268891029093,Inf,4.85774523418205,1.18730039494688e-06
Prediction accuracy,DV - R,CV,2X,Peri,2,2,5,-0.0923248803703127,0.0377806043671321,Inf,-2.44371105007077,0.0145370642077383
Prediction accuracy,DV - R,CV,2X,Peri,2,8,5,-0.139278247829408,0.0548245501431519,Inf,-2.54043576218572,0.0110714429759944
