response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,Chr - WT,20X,200,8,4,GW,negative_QTL,-0.0524641975308658,0.0066646380843927,Inf,-7.87202498718224,5.39568389967826e-14
QTL fixation,Peri - WT,20X,200,8,4,GW,negative_QTL,-0.0399160493827172,0.00666463808439262,Inf,-5.98922985423521,6.32257590726937e-09
QTL fixation,Chr - WT,2X,200,8,4,GW,negative_QTL,-0.0199061728395064,0.00666463808439279,Inf,-2.98683478194002,0.00793514678931817
QTL fixation,Peri - WT,2X,200,8,4,GW,negative_QTL,-0.0224716049382716,0.00666463808439249,Inf,-3.37176672667289,0.00215611954085737
QTL fixation,Chr - WT,20X,2,2,3,CV,positive_QTL,-0.0169047619044194,0.00666463808439275,Inf,-2.53648610627589,0.0301105837654989
QTL fixation,Chr - WT,20X,200,2,3,CV,positive_QTL,-0.0648841745915634,0.00666463808439268,Inf,-9.73558860510518,3.40838468559923e-14
QTL fixation,Peri - WT,20X,200,2,3,CV,positive_QTL,-0.0508168739331731,0.00666463808439268,Inf,-7.62485123568474,9.1926466438963e-14
QTL fixation,Chr - WT,2X,200,2,3,CV,positive_QTL,-0.0237600585223052,0.00666463808439271,Inf,-3.56509359119539,0.00105955368806954
QTL fixation,Peri - WT,2X,200,2,3,CV,positive_QTL,-0.019246525237752,0.00666463808439268,Inf,-2.88785752415029,0.0108280867447568
QTL fixation,Chr - Peri,20X,200,8,3,CV,positive_QTL,-0.0225530358449049,0.0066646380843927,Inf,-3.38398508055821,0.00206372673806499
QTL fixation,Chr - WT,20X,200,8,3,CV,positive_QTL,-0.0655108510119387,0.00666463808439269,Inf,-9.82961868032302,2.97539770599542e-14
QTL fixation,Peri - WT,20X,200,8,3,CV,positive_QTL,-0.0429578151670337,0.0066646380843927,Inf,-6.44563359976481,3.45328654560717e-10
QTL fixation,Chr - WT,2X,200,8,3,CV,positive_QTL,-0.0197293343087066,0.0066646380843927,Inf,-2.96030092840433,0.00863313861702786
QTL fixation,Peri - WT,2X,200,8,3,CV,positive_QTL,-0.0260497439648865,0.00666463808439268,Inf,-3.90865094773715,0.000273523945705234
QTL fixation,Chr - WT,20X,200,2,4,CV,positive_QTL,-0.0501146061936115,0.0066646380843927,Inf,-7.51947901131649,1.84630088995164e-13
QTL fixation,Peri - WT,20X,200,2,4,CV,positive_QTL,-0.0481906851987362,0.00666463808439266,Inf,-7.23080302163591,1.46183065652394e-12
QTL fixation,Chr - WT,2X,200,2,4,CV,positive_QTL,-0.0193538161424038,0.00666463808439269,Inf,-2.90395605842825,0.0103012283760211
QTL fixation,Peri - WT,2X,200,2,4,CV,positive_QTL,-0.0257132406730054,0.00666463808439266,Inf,-3.8581600902262,0.000336209747549887
QTL fixation,Chr - Peri,20X,200,8,4,CV,positive_QTL,-0.0209119726895866,0.00666463808439266,Inf,-3.13775068124983,0.00484642755860709
QTL fixation,Chr - WT,20X,200,8,4,CV,positive_QTL,-0.0641794684223354,0.00666463808439268,Inf,-9.62985050495563,2.20934381900406e-14
QTL fixation,Peri - WT,20X,200,8,4,CV,positive_QTL,-0.0432674957327487,0.0066646380843926,Inf,-6.49209982370588,2.53935206195877e-10
QTL fixation,Chr - WT,2X,200,8,4,CV,positive_QTL,-0.0219385515727885,0.00666463808439269,Inf,-3.29178438423602,0.00286140940307089
QTL fixation,Peri - WT,2X,200,8,4,CV,positive_QTL,-0.0185003657644476,0.00666463808439271,Inf,-2.77589953575602,0.0152066899695512
