response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,1 - 3,GW,20X,Chr,2,2,DV,-0.0753666661280797,0.0265042754421534,Inf,-2.84356636319187,0.0360905458110574
Prediction accuracy,1 - 5,GW,20X,Chr,2,2,DV,-0.0762045113691416,0.0262309000795326,Inf,-2.90514283299803,0.0301511561558444
Prediction accuracy,1 - 3,GW,2X,Chr,2,2,DV,-0.085048304701934,0.0268132917434679,Inf,-3.1718710822834,0.0131528372735353
Prediction accuracy,1 - 3,GW,20X,Peri,2,2,DV,-0.0985535716866226,0.0252091800168924,Inf,-3.90943186650985,0.000879126651450179
Prediction accuracy,1 - 5,GW,20X,Peri,2,2,DV,-0.0860913165190395,0.025252457611012,Inf,-3.40922526611815,0.0058750588291181
Prediction accuracy,1 - 2,GW,2X,Peri,2,2,DV,-0.0880309669620012,0.0275751054116899,Inf,-3.19240726908273,0.0122975294981289
Prediction accuracy,1 - 5,GW,20X,WT,2,2,DV,-0.0952534386791469,0.0279628857983131,Inf,-3.40642376349058,0.0059333733769098
Prediction accuracy,2 - 5,GW,20X,WT,2,2,DV,-0.0604345790326798,0.0219915940002967,Inf,-2.74807633461514,0.0472767842346374
Prediction accuracy,3 - 5,GW,20X,WT,2,2,DV,-0.0648227213993773,0.0213718226267238,Inf,-3.03309280315295,0.0204599870485477
Prediction accuracy,4 - 5,GW,20X,WT,2,2,DV,-0.069447189453253,0.0217719140388054,Inf,-3.18976041010786,0.0124048978475583
Prediction accuracy,2 - 4,GW,2X,WT,2,2,DV,-0.0923305652638148,0.0231192080360024,Inf,-3.99367336113041,0.000621963219839539
Prediction accuracy,4 - 5,GW,2X,WT,2,2,DV,0.0672015030621056,0.0219857509451615,Inf,3.05659348319394,0.0190144197469805
Prediction accuracy,1 - 2,CV,20X,Chr,200,2,DV,-0.171200526703558,0.0203763376163228,Inf,-8.40192825262257,5.07371922253697e-14
Prediction accuracy,1 - 3,CV,20X,Chr,200,2,DV,-0.23492301275172,0.0203763376163206,Inf,-11.5292069249754,0
Prediction accuracy,1 - 4,CV,20X,Chr,200,2,DV,-0.238019495582761,0.0203763376163216,Inf,-11.6811715659887,0
Prediction accuracy,1 - 5,CV,20X,Chr,200,2,DV,-0.160806959331976,0.0203763376163236,Inf,-7.89184800330126,1.01918473660589e-13
Prediction accuracy,2 - 3,CV,20X,Chr,200,2,DV,-0.0637224860481614,0.0203763376163228,Inf,-3.12727867235157,0.0151954889160094
